Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Brandon Clarke,23.1,MEM,Big,1258,52,15.8%,88,133.0,55,9.2%,53,0.58,83,10.5%
Jordan Clarkson,27.4,CLE,Wing,665,92,25.7%,77,119.2,92,18.7%,70,0.73,66,9.9%
Jordan Clarkson,27.4,UTA,Wing,1025,91,25.5%,61,114.5,47,9.6%,6,0.38,70,9.6%
Nicolas Claxton,20.5,BKN,Big,161,26,13.5%,27,108.7,82,13.0%,93,0.96,73,11.8%
Chris Clemons,22.3,HOU,Combo,211,47,20.2%,12,93.6,12,11.6%,6,0.57,98,6.0%
Amir Coffey,22.4,LAC,Wing,106,48,15.5%,8,89.2,39,9.0%,37,0.58,90,7.7%
John Collins,22.1,ATL,Big,1362,77,19.5%,86,132.4,35,7.4%,12,0.38,71,11.9%
Zach Collins,21.9,POR,Big,289,15,12.3%,21,106.9,25,6.7%,40,0.54,18,17.1%
Mike Conley,32.1,UTA,Point,1359,57,24.5%,43,109.3,37,23.5%,24,0.96,67,12.1%
Pat Connaughton,26.8,MIL,Wing,1146,15,11.9%,56,113.1,50,9.8%,83,0.82,18,14.0%
Quinn Cook,26.6,LAL,Combo,430,41,19.3%,17,99.4,23,13.2%,18,0.68,27,13.8%
Robert Covington,28.9,HOU,Big,725,36,14.5%,20,106.7,21,6.3%,24,0.44,67,12.3%
Robert Covington,28.9,MIN,Forward,1410,55,16.1%,63,115.4,11,5.8%,12,0.36,28,13.5%
Allen Crabbe,27.6,ATL,Wing,504,11,11.4%,11,95.6,25,7.7%,60,0.67,88,7.9%
Allen Crabbe,27.6,MIN,Wing,131,9,11.3%,2,78.8,7,5.4%,19,0.48,16,14.1%
Torrey Craig,28.9,DEN,Wing,1041,12,11.7%,56,112.9,11,6.1%,27,0.52,79,8.8%
Jae Crowder,29.3,MIA,Big,553,30,13.7%,92,136.2,63,10.0%,78,0.73,95,8.2%
Jae Crowder,29.3,MEM,Forward,1321,52,15.9%,20,101.6,73,12.3%,85,0.77,65,10.7%
Jarrett Culver,20.7,MIN,Combo,1454,35,18.9%,9,91.4,6,10.5%,5,0.56,74,11.2%
Seth Curry,29.2,DAL,Combo,1543,21,17.5%,98,130.4,11,11.6%,12,0.66,91,9.6%
Stephen Curry,31.6,GSW,Point,139,88,31.7%,63,113.0,84,34.8%,47,1.10,47,13.7%
Troy Daniels,28.3,LAL,Wing,387,27,13.5%,38,107.0,0,3.8%,1,0.28,94,6.7%
Anthony Davis,26.6,LAL,Big,2130,96,27.4%,74,123.7,90,15.3%,46,0.56,80,11.0%
Ed Davis,30.4,UTA,Big,281,4,9.5%,10,100.0,27,6.8%,76,0.72,11,18.5%
Terence Davis,22.5,TOR,Combo,1136,23,17.7%,80,114.3,17,12.7%,21,0.72,36,13.4%
DeMar DeRozan,30.2,SAS,Forward,2315,97,28.7%,85,121.5,99,26.1%,91,0.91,64,10.8%
Dewayne Dedmon,30.2,ATL,Big,233,52,15.9%,5,94.2,2,4.2%,1,0.27,74,11.6%
Dewayne Dedmon,30.2,SAC,Big,526,65,17.2%,6,94.9,2,4.3%,1,0.25,5,22.4%
Matthew Dellavedova,29.1,CLE,Combo,804,14,16.8%,6,88.2,89,29.8%,100,1.77,0,18.7%
Donte DiVincenzo,22.7,MIL,Combo,1488,15,16.9%,73,112.0,21,13.0%,32,0.77,32,13.6%
Cheick Diallo,23.1,PHX,Big,406,32,13.9%,88,134.4,43,7.9%,49,0.57,23,16.0%
Hamidou Diallo,21.3,OKC,Wing,837,51,16.2%,15,99.3,10,5.8%,5,0.36,23,13.3%
Gorgui Dieng,29.8,MIN,Big,769,68,17.8%,39,113.1,79,12.6%,74,0.71,55,13.4%
Gorgui Dieng,29.8,MEM,Big,297,36,14.6%,58,117.5,32,7.2%,34,0.49,27,15.2%
Spencer Dinwiddie,26.6,BKN,Combo,1993,97,32.6%,62,109.5,97,34.6%,76,1.06,71,11.3%
Luka Doncic,20.7,DAL,Wing,2047,100,40.7%,76,119.0,100,45.4%,94,1.12,20,13.3%
Luguentz Dort,20.5,OKC,Wing,799,23,13.3%,20,101.7,4,4.4%,2,0.33,75,9.3%
Damyean Dotson,25.5,NYK,Wing,771,49,15.7%,36,105.8,56,10.6%,62,0.68,95,6.3%
Sekou Doumbouya,18.9,DET,Forward,724,49,15.4%,16,97.1,4,3.9%,3,0.25,32,13.2%
PJ Dozier,23.0,DEN,Combo,385,62,21.6%,38,104.0,58,20.7%,59,0.96,30,13.6%
Goran Dragic,33.5,MIA,Point,1645,76,27.6%,71,114.8,55,29.6%,41,1.07,45,13.8%
Andre Drummond,26.2,CLE,Big,220,95,25.9%,48,114.8,71,11.0%,21,0.42,8,19.6%
Andre Drummond,26.2,DET,Big,1651,94,24.4%,32,110.3,85,13.5%,44,0.55,10,18.7%
Jared Dudley,34.3,LAL,Big,292,2,8.7%,60,118.4,74,11.3%,99,1.30,82,10.5%
Kris Dunn,25.6,CHI,Point,1259,6,16.5%,22,103.0,16,20.0%,67,1.21,33,14.3%
Carsen Edwards,21.6,BOS,Combo,284,26,17.7%,3,83.8,5,10.3%,9,0.58,92,8.3%
Wayne Ellington,31.9,NYK,Combo,528,8,15.1%,21,100.0,9,11.6%,30,0.77,89,9.8%
Joel Embiid,25.6,PHI,Big,1505,99,32.2%,59,118.2,92,17.9%,45,0.56,47,14.0%
James Ennis,29.3,PHI,Wing,758,36,14.4%,57,113.2,17,6.9%,18,0.48,42,11.8%
James Ennis,29.3,ORL,Forward,484,37,14.5%,65,116.0,15,6.0%,23,0.42,13,16.0%
Drew Eubanks,22.7,SAS,Big,247,32,13.9%,91,135.8,57,9.4%,68,0.67,5,22.2%
Jacob Evans,22.4,GSW,Wing,385,59,17.3%,6,85.6,63,11.9%,64,0.68,24,13.2%
Dante Exum,24.3,CLE,Wing,385,44,15.3%,84,120.9,64,11.9%,77,0.78,9,14.7%
Derrick Favors,28.3,NOP,Big,1241,18,12.6%,77,125.4,47,8.6%,70,0.68,46,14.3%
Cristiano Felicio,27.3,CHI,Big,380,4,9.1%,89,134.4,7,5.1%,48,0.56,5,22.2%
Terrance Ferguson,21.5,OKC,Wing,1224,0,8.8%,13,97.7,9,5.5%,50,0.62,26,13.1%
Bruno Fernando,21.2,ATL,Big,666,39,14.7%,35,111.5,65,10.4%,75,0.71,17,17.2%
Yogi Ferrell,26.5,SAC,Point,460,18,19.4%,24,103.1,10,16.9%,12,0.87,71,11.9%
Dorian Finney-Smith,26.5,DAL,Forward,2116,8,12.2%,77,118.9,32,7.3%,63,0.60,57,11.4%
Bryn Forbes,26.3,SAS,Wing,1570,61,17.5%,64,115.7,46,9.6%,31,0.55,77,9.2%
Evan Fournier,27.0,ORL,Wing,2075,85,23.7%,81,119.9,81,16.0%,61,0.68,47,11.1%
De'Aaron Fox,21.9,SAC,Point,1631,90,33.1%,55,111.8,78,33.6%,35,1.02,59,12.7%
Tim Frazier,29.0,DET,Point,322,39,22.7%,6,92.9,94,37.6%,98,1.65,0,20.2%
Markelle Fultz,21.4,ORL,Combo,1984,71,24.0%,41,104.4,82,27.5%,80,1.14,38,13.3%
Wenyen Gabriel,22.6,POR,Big,138,8,10.5%,1,80.8,0,3.6%,7,0.35,4,23.2%
Daniel Gafford,21.1,CHI,Big,588,13,12.1%,94,137.3,11,5.3%,25,0.44,17,17.1%
Danilo Gallinari,31.2,OKC,Big,1833,92,23.1%,74,123.7,60,9.9%,23,0.43,95,8.0%
Langston Galloway,27.9,DET,Wing,1684,35,14.2%,80,119.5,36,8.9%,51,0.63,94,7.1%
Darius Garland,19.8,CLE,Combo,1781,64,21.7%,18,99.6,39,18.0%,39,0.83,9,16.3%
Marc Gasol,34.8,TOR,Big,1157,38,14.6%,28,109.3,92,17.2%,98,1.18,25,15.4%
Rudy Gay,33.2,SAS,Big,1455,85,21.2%,32,110.6,76,11.6%,41,0.54,69,12.1%
Paul George,29.5,LAC,Wing,1412,96,30.0%,75,118.5,94,20.5%,63,0.68,33,12.5%
Taj Gibson,34.4,NYK,Big,1020,26,13.5%,72,122.7,40,7.8%,51,0.58,44,14.4%
Harry Giles,21.5,SAC,Big,638,78,19.7%,49,114.9,86,13.6%,72,0.69,28,15.2%
Shai Gilgeous-Alexander,21.3,OKC,Wing,2411,89,24.6%,58,113.2,75,14.5%,44,0.59,63,10.1%
Rudy Gobert,27.3,UTA,Big,2331,40,14.8%,95,138.2,24,6.6%,27,0.45,20,16.7%
Brandon Goodwin,24.1,ATL,Combo,392,68,23.7%,36,103.9,56,20.5%,47,0.87,52,12.6%
Aaron Gordon,24.1,ORL,Forward,2017,84,21.2%,29,104.1,87,16.4%,84,0.77,71,10.3%
Eric Gordon,30.9,HOU,Wing,1016,78,20.8%,32,104.2,27,8.0%,7,0.38,84,8.4%
Devonte' Graham,24.7,CHA,Point,2206,78,27.8%,39,108.3,80,34.5%,75,1.24,57,13.0%
Treveon Graham,26.0,ATL,Forward,246,13,13.1%,15,97.1,55,8.5%,69,0.65,35,13.1%
Treveon Graham,26.0,MIN,Forward,640,12,13.0%,7,87.7,17,6.1%,29,0.47,76,9.6%
Jerami Grant,25.6,DEN,Big,1860,55,16.1%,62,118.8,27,6.8%,20,0.42,91,8.9%
Danny Green,32.4,LAL,Wing,1684,21,12.8%,51,111.2,19,6.9%,29,0.54,37,12.2%
Draymond Green,29.7,GSW,Big,1221,73,18.8%,8,98.6,99,31.0%,100,1.65,12,18.3%
JaMychal Green,29.4,LAC,Big,1248,14,12.2%,55,116.8,7,5.0%,17,0.41,50,13.7%
Javonte Green,26.3,BOS,Wing,374,28,13.5%,52,111.3,13,6.3%,17,0.47,4,16.9%
Jeff Green,33.2,HOU,Forward,390,57,16.3%,99,131.8,69,11.4%,72,0.70,77,9.4%
Jeff Green,33.2,UTA,Forward,545,69,18.3%,40,106.9,13,5.9%,8,0.32,52,11.5%
Blake Griffin,30.6,DET,Big,512,99,29.2%,7,95.5,94,18.5%,64,0.63,74,11.7%
Marko Guduric,24.7,MEM,Wing,397,58,17.2%,25,103.1,67,12.2%,68,0.71,1,20.4%
Rui Hachimura,21.7,WAS,Big,1437,70,18.0%,23,107.5,51,8.9%,33,0.49,93,8.5%
Tim Hardaway Jr.,27.6,DAL,Wing,2090,70,19.7%,67,116.9,45,9.6%,23,0.49,93,7.2%
James Harden,30.2,HOU,Point,2482,100,39.6%,98,127.9,90,36.6%,20,0.93,55,13.0%
Maurice Harkless,26.5,NYK,Wing,285,19,12.1%,43,107.9,30,8.4%,65,0.69,85,8.4%
Maurice Harkless,26.5,LAC,Forward,1131,1,9.7%,71,117.2,9,5.6%,57,0.58,9,16.9%
Montrezl Harrell,25.8,LAC,Big,1724,89,22.6%,75,124.0,61,9.9%,26,0.44,78,11.2%
Gary Harris,25.1,DEN,Wing,1779,37,14.7%,31,104.1,42,9.1%,49,0.62,60,10.2%
Joe Harris,28.2,BKN,Wing,2122,55,16.5%,85,121.4,52,10.0%,46,0.60,32,12.6%
Tobias Harris,27.3,PHI,Forward,2468,88,23.2%,56,112.2,83,14.5%,65,0.63,91,7.9%
Shaquille Harrison,26.1,CHI,Wing,441,56,16.9%,81,119.9,70,12.7%,73,0.75,68,9.8%
Josh Hart,24.7,NOP,Forward,1725,44,14.9%,57,112.3,57,8.7%,61,0.59,49,12.0%
Isaiah Hartenstein,21.5,HOU,Big,228,24,13.4%,97,140.3,35,7.3%,42,0.55,7,21.9%
Jaxson Hayes,19.4,NOP,Big,1029,27,13.5%,96,139.0,39,7.8%,50,0.57,35,14.9%
Gordon Hayward,29.6,BOS,Forward,1737,83,21.2%,80,118.9,91,18.0%,89,0.85,60,11.0%
John Henson,28.8,DET,Big,188,48,15.3%,90,135.7,60,9.9%,65,0.65,3,23.4%
John Henson,28.8,CLE,Big,405,56,16.2%,17,105.2,88,14.5%,90,0.89,48,13.9%
Juan Hernangomez,24.1,MIN,Big,407,45,15.2%,48,114.7,16,5.8%,13,0.38,92,8.6%
Juan Hernangomez,24.1,DEN,Forward,370,16,13.2%,8,88.3,29,7.1%,45,0.54,36,12.9%
Willy Hernangomez,25.4,CHA,Big,320,85,21.3%,33,110.8,82,12.9%,60,0.61,36,14.8%
Tyler Herro,19.8,MIA,Combo,1460,61,21.3%,67,110.4,18,12.8%,11,0.60,62,11.7%
Mario Hezonja,24.7,POR,Forward,803,27,13.6%,27,103.2,36,7.4%,49,0.55,15,14.8%
Buddy Hield,26.9,SAC,Wing,2201,93,26.1%,60,114.0,79,15.3%,44,0.59,34,12.5%
George Hill,33.5,MIL,Combo,1264,17,16.9%,100,131.9,50,19.6%,82,1.15,82,10.6%
Solomon Hill,28.6,MIA,Forward,183,48,15.3%,12,94.2,51,8.0%,44,0.52,8,17.1%
Solomon Hill,28.6,MEM,Forward,874,32,13.8%,39,106.4,77,13.1%,92,0.95,25,13.7%
Aaron Holiday,23.1,IND,Point,1552,25,20.1%,25,103.7,14,18.5%,18,0.92,76,11.8%
Jrue Holiday,29.4,NOP,Combo,2115,86,26.9%,56,108.6,85,28.4%,74,1.06,33,13.6%
Justin Holiday,30.6,IND,Wing,1805,18,12.0%,79,119.5,15,6.8%,33,0.57,81,8.5%
Rondae Hollis-Jefferson,24.8,TOR,Big,1092,60,16.8%,14,104.0,85,13.5%,86,0.80,58,13.1%
Richaun Holmes,26.0,SAC,Big,1229,30,13.8%,89,135.1,8,5.1%,11,0.37,54,13.4%
Rodney Hood,27.0,POR,Forward,618,21,13.4%,91,124.6,28,6.8%,41,0.51,75,9.8%
Al Horford,33.4,PHI,Big,2022,70,18.1%,20,106.6,95,18.7%,95,1.04,87,9.5%
Danuel House,26.4,HOU,Forward,1875,9,12.4%,64,115.6,12,5.9%,36,0.48,79,9.4%
Dwight Howard,33.9,LAL,Big,1266,29,13.6%,92,136.3,5,4.8%,8,0.35,10,19.2%
Kevin Huerter,21.2,ATL,Wing,1755,63,17.8%,42,107.6,84,17.1%,89,0.96,44,11.5%
DeAndre Hunter,21.9,ATL,Forward,2007,60,16.7%,33,104.4,48,7.9%,32,0.47,40,12.7%
Chandler Hutchison,23.5,CHI,Forward,517,68,17.9%,25,102.4,47,7.9%,27,0.44,56,11.4%
Serge Ibaka,30.1,TOR,Big,1476,84,21.1%,54,116.7,49,8.7%,17,0.41,36,14.8%
Andre Iguodala,35.8,MIA,Forward,412,25,13.6%,32,104.3,92,18.6%,99,1.37,1,19.5%
Ersan Ilyasova,32.5,MIL,Big,970,37,14.6%,54,116.4,24,6.6%,28,0.45,86,9.7%
Joe Ingles,32.1,UTA,Forward,2131,67,17.6%,75,118.7,96,24.3%,100,1.38,11,16.5%
Brandon Ingram,22.2,NOP,Forward,2102,96,28.1%,79,118.9,93,19.2%,71,0.68,33,13.1%
Kyrie Irving,27.6,BKN,Point,657,96,34.8%,80,118.6,71,33.1%,22,0.95,86,9.5%
Jonathan Isaac,22.1,ORL,Big,973,65,17.2%,30,110.2,33,7.3%,21,0.42,64,12.5%
Wes Iwundu,24.9,ORL,Forward,911,23,13.5%,44,109.1,56,8.6%,67,0.63,84,8.9%
Frank Jackson,21.5,NOP,Point,734,20,19.8%,31,106.2,2,10.1%,2,0.51,69,12.1%
Jaren Jackson,20.1,MEM,Big,1620,86,21.7%,61,118.5,34,7.3%,5,0.34,72,11.8%
Josh Jackson,22.7,MEM,Forward,365,85,21.9%,52,111.6,75,12.6%,56,0.58,21,13.9%
Justin Jackson,24.6,DAL,Forward,968,35,14.1%,19,99.1,23,6.7%,35,0.47,100,4.1%
Reggie Jackson,29.5,DET,Point,380,86,29.9%,14,99.5,61,30.7%,37,1.03,90,9.0%
Reggie Jackson,29.5,LAC,Combo,344,59,21.1%,92,121.4,64,21.1%,67,1.00,20,15.0%
Justin James,22.8,SAC,Wing,181,40,14.9%,5,85.5,43,9.4%,54,0.63,21,13.3%
LeBron James,34.8,LAL,Forward,2315,100,36.3%,67,116.5,100,47.6%,97,1.31,31,13.3%
DaQuan Jeffries,22.2,SAC,Wing,105,10,11.3%,48,110.3,5,4.9%,12,0.44,92,7.3%
Ty Jerome,22.3,PHX,Combo,273,33,18.8%,8,88.7,71,21.8%,83,1.16,47,12.9%
Cameron Johnson,23.7,PHX,Forward,1231,33,14.0%,72,117.3,40,7.7%,52,0.55,96,7.4%
James Johnson,32.7,MIN,Big,338,86,21.8%,65,120.0,98,23.6%,96,1.08,15,17.5%
James Johnson,32.7,MIA,Big,268,57,16.3%,51,115.3,74,11.2%,71,0.68,39,14.6%
Keldon Johnson,19.9,SAS,Forward,281,36,14.3%,100,147.4,8,5.6%,17,0.39,44,12.4%
Stanley Johnson,23.4,TOR,Forward,109,91,25.3%,5,84.3,89,17.9%,73,0.71,7,17.9%
Tyler Johnson,27.5,BKN,Wing,192,72,19.9%,44,108.0,82,16.2%,82,0.82,98,5.5%
Tyler Johnson,27.5,PHX,Combo,514,24,17.7%,14,95.7,29,15.0%,41,0.85,70,11.3%
Nikola Jokic,24.7,DEN,Big,2334,98,28.8%,68,121.2,100,35.1%,98,1.22,39,14.7%
Damian Jones,24.3,ATL,Big,851,7,10.3%,95,137.6,17,5.9%,48,0.57,53,13.5%
Tyus Jones,23.5,MEM,Point,1193,29,20.4%,33,107.0,65,31.2%,94,1.53,88,9.1%
Derrick Jones Jr.,22.7,MIA,Forward,1351,11,12.5%,96,127.2,25,6.8%,48,0.55,93,7.8%
DeAndre Jordan,31.3,BKN,Big,1233,24,13.4%,93,137.2,84,13.2%,94,0.99,11,18.6%
