Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Ryan Anderson,26.5,NOP,Big,1653,83,21.3%,41,105.2,26,5.3%,12,0.25,96,7.6%
Giannis Antetokounmpo,19.9,MIL,Forward,2507,80,19.4%,78,112.1,91,13.2%,85,0.68,11,15.7%
Carmelo Anthony,30.4,NYK,Forward,1424,100,31.6%,57,107.5,94,16.1%,52,0.51,78,9.2%
Joel Anthony,32.2,DET,Big,367,0,8.4%,88,120.0,2,2.2%,13,0.26,29,16.4%
Pero Antic,32.3,ATL,Big,1015,46,16.1%,35,103.5,47,7.3%,50,0.46,66,12.0%
Trevor Ariza,29.3,HOU,Forward,2924,50,16.1%,59,107.9,83,11.2%,87,0.70,28,13.1%
Darrell Arthur,26.6,DEN,Forward,959,76,18.7%,15,93.7,56,9.3%,46,0.50,56,11.0%
Omer Asik,28.3,NOP,Big,1975,21,13.2%,49,108.0,25,5.3%,34,0.40,25,16.6%
D.J. Augustin,27.0,DET,Point,1261,68,26.4%,77,109.0,68,35.0%,60,1.32,44,14.5%
D.J. Augustin,27.0,OKC,Point,624,8,16.4%,47,102.2,2,18.2%,24,1.11,55,13.6%
Jeff Ayres,27.5,SAS,Big,274,31,14.2%,95,124.1,29,6.1%,40,0.43,9,18.7%
Luke Babbitt,25.4,NOP,Forward,748,7,11.1%,91,123.1,0,3.4%,4,0.31,26,13.2%
Leandro Barbosa,31.9,GSW,Combo,863,37,19.4%,86,112.9,25,16.0%,23,0.82,80,10.2%
J.J. Barea,30.3,DAL,Combo,1236,78,25.3%,34,98.1,85,28.6%,75,1.13,86,9.8%
Andrea Bargnani,29.0,NYK,Big,768,95,24.3%,37,104.2,87,12.2%,56,0.50,85,10.3%
Harrison Barnes,22.4,GSW,Forward,2240,22,13.8%,80,113.0,30,6.8%,44,0.49,76,9.2%
Matt Barnes,34.6,LAC,Wing,2248,18,13.6%,83,113.7,14,6.7%,25,0.50,48,12.0%
Earl Barron,33.2,PHX,Big,117,28,14.0%,2,82.9,31,6.3%,45,0.45,50,13.5%
Will Barton,23.8,DEN,Wing,630,70,20.4%,71,110.3,70,12.0%,51,0.59,40,12.8%
Will Barton,23.8,POR,Wing,246,55,17.6%,6,83.5,75,12.7%,75,0.72,41,12.5%
Brandon Bass,29.5,BOS,Big,1917,66,18.4%,66,111.9,65,9.2%,56,0.50,84,10.6%
Nicolas Batum,25.9,POR,Wing,2376,44,16.3%,35,102.9,92,20.0%,100,1.23,13,15.1%
Jerryd Bayless,26.2,MIL,Combo,1692,52,20.5%,65,104.6,60,22.2%,66,1.08,8,17.2%
Aron Baynes,27.9,SAS,Big,1077,41,15.2%,94,123.2,21,4.6%,18,0.30,19,17.2%
Kent Bazemore,25.3,ATL,Wing,1235,33,15.1%,54,106.9,48,9.6%,60,0.63,6,16.9%
Bradley Beal,21.3,WAS,Wing,2097,81,22.1%,43,104.8,80,14.4%,63,0.65,45,12.1%
Michael Beasley,25.8,MIA,Big,495,95,23.9%,9,94.1,82,11.5%,55,0.48,42,14.6%
Marco Belinelli,28.6,SAS,Combo,1336,17,17.7%,85,112.1,5,10.4%,3,0.59,77,11.1%
Anthony Bennett,21.6,MIN,Big,839,49,16.3%,4,90.7,58,8.6%,65,0.53,75,11.2%
Patrick Beverley,26.3,HOU,Point,1717,10,17.0%,42,101.3,0,17.0%,6,1.00,77,12.2%
Bismack Biyombo,22.2,CHA,Big,1173,5,11.1%,68,112.0,2,2.1%,6,0.19,29,16.4%
Tarik Black,22.9,HOU,Big,362,10,11.9%,41,105.6,12,3.8%,20,0.32,11,18.5%
Tarik Black,22.9,LAL,Big,785,25,13.7%,85,119.1,44,7.1%,62,0.52,69,11.9%
DeJuan Blair,25.5,WAS,Big,100,36,14.8%,15,96.3,22,4.9%,21,0.33,1,26.9%
Steve Blake,34.7,POR,Point,1488,3,15.9%,76,108.5,35,26.4%,90,1.66,11,18.9%
Eric Bledsoe,24.9,PHX,Point,2795,71,26.5%,85,113.0,39,27.4%,18,1.03,23,16.4%
Bojan Bogdanovic,25.5,BKN,Forward,1795,44,15.7%,72,111.5,17,5.7%,11,0.36,48,12.2%
Andrew Bogut,29.9,GSW,Big,1577,29,14.0%,72,113.7,92,14.8%,99,1.06,6,21.2%
Matt Bonner,34.6,SAS,Big,846,13,12.2%,48,107.5,48,7.5%,78,0.62,100,4.5%
Trevor Booker,26.9,UTA,Big,1546,56,17.4%,45,107.0,65,9.2%,64,0.53,39,14.9%
Carlos Boozer,32.9,LAL,Big,1673,85,21.6%,35,103.1,71,10.2%,54,0.47,77,11.1%
Chris Bosh,30.6,MIA,Big,1542,98,27.3%,57,109.7,86,12.0%,42,0.44,84,10.6%
Avery Bradley,23.9,BOS,Combo,2419,34,19.3%,48,101.9,0,8.7%,0,0.45,83,10.2%
Elton Brand,35.6,ATL,Big,415,4,10.6%,5,91.2,21,4.8%,48,0.45,59,12.6%
Corey Brewer,28.7,HOU,Wing,1358,68,20.1%,40,104.0,54,10.4%,30,0.52,46,12.0%
Corey Brewer,28.7,MIN,Combo,672,38,19.5%,25,96.1,37,17.6%,38,0.91,25,15.2%
Aaron Brooks,29.8,CHI,Point,1845,74,26.9%,73,107.8,24,24.6%,2,0.91,53,13.8%
Jabari Brown,21.9,LAL,Wing,549,58,17.9%,75,111.6,64,11.4%,61,0.64,24,13.9%
Lorenzo Brown,24.2,MIN,Point,530,6,16.3%,32,95.9,32,26.3%,85,1.61,27,16.1%
Markel Brown,22.8,BKN,Wing,670,15,13.4%,13,87.8,10,6.0%,17,0.45,90,8.4%
Kobe Bryant,36.2,LAL,Wing,1203,100,36.3%,19,96.1,98,30.1%,86,0.83,38,12.9%
Chase Budinger,26.4,MIN,Wing,1212,35,15.2%,67,109.1,29,8.1%,33,0.53,58,11.3%
Reggie Bullock,23.6,LAC,Wing,199,1,9.2%,98,128.2,2,4.7%,29,0.51,69,10.5%
Trey Burke,22.0,UTA,Point,2268,56,25.1%,24,92.2,23,24.3%,5,0.97,95,9.9%
Alec Burks,23.3,UTA,Wing,894,78,21.5%,56,107.2,82,14.6%,67,0.68,42,12.5%
Caron Butler,34.6,DET,Wing,1592,8,12.4%,77,111.8,21,7.5%,55,0.61,56,11.4%
Jimmy Butler,25.1,CHI,Wing,2507,74,21.0%,88,116.3,79,14.3%,66,0.68,94,7.9%
Rasual Butler,35.4,WAS,Wing,1423,42,16.0%,48,105.7,15,6.8%,13,0.42,87,8.9%
Dwight Buycks,25.7,LAL,Point,101,31,21.4%,53,103.0,8,21.3%,8,1.00,8,19.1%
Nick Calathes,25.7,MEM,Combo,770,51,20.4%,6,89.6,77,26.7%,91,1.31,14,16.1%
Jose Calderon,33.1,NYK,Combo,1265,18,17.8%,63,103.8,72,25.2%,97,1.41,22,15.3%
Kentavious Caldwell-Pope,21.7,DET,Wing,2572,56,17.7%,28,101.4,13,6.6%,10,0.37,88,8.9%
Isaiah Canaan,23.4,HOU,Combo,308,35,19.4%,89,113.7,11,13.2%,12,0.68,46,13.3%
Isaiah Canaan,23.4,PHI,Combo,563,74,24.1%,77,107.8,63,22.3%,42,0.93,55,12.4%
DeMarre Carroll,28.3,ATL,Wing,2178,36,15.2%,95,120.9,33,8.3%,37,0.55,73,10.3%
Vince Carter,37.8,MEM,Wing,1065,67,19.9%,11,87.7,56,11.0%,38,0.55,83,9.2%
Michael Carter-Williams,23.1,MIL,Point,756,82,28.8%,37,99.2,52,29.3%,13,1.02,29,16.1%
Michael Carter-Williams,23.1,PHI,Point,1374,95,31.2%,18,88.4,94,43.1%,68,1.38,18,17.4%
Omri Casspi,26.4,SAC,Forward,1364,67,17.9%,85,114.0,89,11.9%,83,0.66,13,15.7%
Mario Chalmers,28.5,MIA,Combo,2339,45,20.1%,72,106.6,58,21.7%,65,1.08,11,16.6%
Tyson Chandler,32.1,DAL,Big,2280,8,11.7%,99,137.8,24,5.3%,48,0.45,16,17.5%
Wilson Chandler,27.5,DEN,Forward,2461,78,19.0%,46,105.0,46,8.7%,31,0.46,65,10.1%
Ian Clark,23.7,UTA,Combo,124,11,14.5%,51,103.0,3,9.3%,6,0.64,15,15.6%
Jordan Clarkson,22.4,LAL,Combo,1401,75,25.0%,58,103.5,68,24.1%,46,0.96,58,12.0%
Norris Cole,26.1,MIA,Point,1131,15,18.5%,21,90.1,13,22.8%,50,1.23,61,13.0%
Norris Cole,26.1,NOP,Point,658,39,22.8%,55,103.5,15,23.2%,15,1.02,79,12.2%
Darren Collison,27.2,SAC,Point,1559,42,23.0%,90,115.7,31,26.2%,34,1.14,52,13.8%
Nick Collison,34.0,OKC,Big,1067,19,13.1%,18,97.8,82,11.7%,96,0.89,54,13.3%
Mike Conley,27.1,MEM,Point,2215,65,25.9%,87,113.2,40,27.7%,21,1.07,71,12.5%
Chris Copeland,30.6,IND,Forward,784,87,20.9%,26,95.6,65,9.6%,33,0.46,9,15.7%
Bryce Cotton,22.2,UTA,Combo,129,66,23.3%,45,100.0,28,16.4%,15,0.70,74,11.3%
DeMarcus Cousins,24.2,SAC,Big,2006,100,33.4%,54,108.9,99,20.2%,76,0.60,26,16.6%
Robert Covington,23.9,PHI,Wing,1939,69,20.3%,76,111.8,46,9.5%,19,0.47,22,14.0%
Allen Crabbe,22.6,POR,Wing,610,5,11.0%,63,108.3,32,8.3%,79,0.76,76,10.1%
Jamal Crawford,34.6,LAC,Wing,1641,94,27.4%,57,107.5,83,14.9%,35,0.54,89,8.8%
Jae Crowder,24.3,BOS,Forward,1362,54,16.7%,39,102.3,52,9.0%,57,0.54,94,7.3%
Jae Crowder,24.3,DAL,Forward,205,13,12.3%,100,132.1,22,6.5%,54,0.53,85,8.8%
Dante Cunningham,27.5,NOP,Forward,1614,2,9.9%,17,94.6,6,4.5%,30,0.45,63,10.3%
Stephen Curry,26.6,GSW,Point,2606,94,30.7%,100,129.3,73,35.8%,39,1.16,56,13.3%
Samuel Dalembert,34.5,NYK,Big,538,41,15.1%,7,92.8,63,8.9%,73,0.59,4,22.6%
Troy Daniels,23.3,CHA,Wing,101,72,20.9%,93,120.0,61,11.1%,33,0.53,90,8.7%
Troy Daniels,23.3,MIN,Combo,118,28,18.5%,0,61.4,12,13.2%,17,0.71,68,11.7%
Gigi Datome,26.9,BOS,Forward,169,48,16.1%,98,129.2,35,7.1%,24,0.44,72,9.8%
Brandon Davies,23.3,PHI,Big,368,61,18.0%,8,94.0,88,12.6%,86,0.70,35,15.6%
Anthony Davis,21.6,NOP,Big,2450,96,24.7%,84,119.1,79,10.9%,43,0.44,98,7.1%
Ed Davis,25.4,LAL,Big,1770,25,13.6%,85,119.2,56,8.5%,79,0.62,80,10.7%
Glen Davis,28.8,LAC,Big,781,42,15.3%,29,100.8,41,6.8%,46,0.45,43,14.5%
Austin Daye,26.4,SAS,Forward,241,83,19.9%,2,85.0,9,5.1%,0,0.26,7,16.0%
DeMar DeRozan,25.2,TOR,Wing,2094,97,28.7%,33,102.6,88,17.4%,56,0.61,71,10.4%
Dewayne Dedmon,25.2,ORL,Big,796,7,11.6%,78,115.6,1,1.3%,1,0.11,2,24.4%
Matthew Dellavedova,24.1,CLE,Combo,1259,3,13.9%,22,95.7,55,21.5%,100,1.55,48,13.0%
Luol Deng,29.5,MIA,Forward,2413,74,18.5%,70,111.2,57,9.4%,50,0.51,54,11.2%
Boris Diaw,32.5,SAS,Big,1932,68,18.8%,46,107.2,97,18.1%,98,0.96,38,15.1%
Gorgui Dieng,24.8,MIN,Big,2155,39,14.9%,71,113.1,75,10.5%,87,0.70,21,17.0%
Spencer Dinwiddie,21.6,DET,Combo,430,85,25.7%,2,79.4,98,39.1%,98,1.52,51,13.0%
Joey Dorsey,30.9,HOU,Big,762,2,10.2%,19,98.2,13,3.9%,30,0.38,7,19.6%
Toney Douglas,28.6,NOP,Combo,140,26,18.5%,5,86.5,43,18.9%,54,1.02,18,15.5%
Goran Dragic,28.5,MIA,Point,902,45,23.4%,97,118.0,29,26.2%,27,1.12,69,12.7%
Goran Dragic,28.5,PHX,Wing,1730,79,22.0%,85,114.9,90,18.7%,90,0.85,37,13.0%
Larry Drew,24.7,PHI,Point,198,24,20.2%,5,79.6,82,38.0%,98,1.88,0,25.8%
Andre Drummond,21.2,DET,Big,2487,74,20.0%,28,100.6,11,3.7%,5,0.18,81,10.7%
Jared Dudley,29.3,MIL,Forward,1688,19,13.3%,83,113.4,87,11.6%,94,0.88,43,12.4%
Tim Duncan,38.5,SAS,Big,2221,84,21.6%,66,111.8,95,16.6%,92,0.77,62,12.5%
Mike Dunleavy,34.1,CHI,Wing,1834,13,13.4%,87,115.2,45,9.4%,73,0.71,64,10.9%
Kevin Durant,26.1,OKC,Forward,908,98,27.9%,96,128.0,98,21.2%,89,0.76,46,12.4%
Cleanthony Early,23.5,NYK,Wing,579,60,18.2%,12,87.8,52,10.1%,40,0.56,9,16.3%
Wayne Ellington,26.9,LAL,Wing,1624,59,17.9%,25,99.7,53,10.3%,47,0.57,94,7.4%
Monta Ellis,29.0,DAL,Wing,2694,95,28.5%,30,101.9,91,20.0%,71,0.70,53,11.4%
James Ennis,24.3,MIA,Forward,996,24,13.9%,63,108.2,33,7.0%,48,0.50,31,12.9%
Tyler Ennis,20.2,MIL,Point,336,44,23.3%,3,78.9,34,26.3%,32,1.13,13,18.8%
Jeremy Evans,27.0,UTA,Big,224,14,12.3%,98,126.7,31,6.3%,59,0.51,99,6.7%
Reggie Evans,34.5,SAC,Big,760,18,13.0%,12,95.1,37,6.6%,58,0.50,8,19.6%
Tyreke Evans,25.1,NOP,Wing,2685,96,28.7%,31,102.0,98,31.6%,95,1.10,17,14.4%
Dante Exum,19.3,UTA,Combo,1771,12,15.2%,11,91.9,29,16.7%,69,1.10,2,19.7%
Festus Ezeli,25.0,GSW,Big,431,44,15.7%,89,121.2,6,2.8%,4,0.18,14,17.9%
Kenneth Faried,25.0,DEN,Big,2069,66,18.7%,58,109.8,39,6.8%,26,0.36,56,13.2%
Jordan Farmar,27.9,LAC,Point,444,16,18.6%,29,95.6,3,18.8%,11,1.01,35,15.4%
Derrick Favors,23.3,UTA,Big,2273,86,22.0%,63,111.2,64,9.0%,36,0.41,75,11.2%
Raymond Felton,30.3,DAL,Combo,202,46,20.1%,45,100.0,42,18.2%,37,0.90,32,14.4%
Landry Fields,26.3,TOR,Wing,178,2,9.6%,37,103.2,58,11.0%,98,1.14,33,13.3%
Evan Fournier,22.0,ORL,Wing,1650,66,19.6%,70,110.0,65,11.5%,50,0.59,51,11.7%
Randy Foye,31.1,DEN,Combo,1055,40,19.5%,71,106.1,35,17.3%,34,0.89,69,11.6%
Tim Frazier,24.0,PHI,Point,165,40,22.8%,2,70.8,81,37.8%,89,1.66,3,21.2%
Jimmer Fredette,25.7,NOP,Combo,425,29,18.6%,32,97.9,26,16.4%,32,0.89,45,13.4%
Joel Freeland,27.7,POR,Big,572,9,11.8%,44,106.3,16,4.1%,22,0.34,41,14.7%
Channing Frye,31.5,ORL,Big,1856,20,13.2%,59,109.9,48,7.4%,69,0.56,44,14.5%
Danilo Gallinari,26.2,DEN,Forward,1375,91,20.9%,74,111.7,61,9.4%,28,0.45,91,8.5%
Langston Galloway,22.9,NYK,Combo,1400,42,19.6%,35,98.7,38,17.6%,35,0.90,82,10.2%
Francisco Garcia,32.8,HOU,Wing,195,48,16.9%,3,73.8,77,13.0%,79,0.77,25,13.9%
Kevin Garnett,38.5,BKN,Big,853,63,18.1%,16,96.9,88,13.0%,90,0.72,48,13.8%
Marc Gasol,29.8,MEM,Big,2677,96,24.6%,67,112.0,98,19.4%,92,0.79,64,12.3%
Pau Gasol,34.3,CHI,Big,2673,92,23.4%,56,109.7,92,14.3%,77,0.61,74,11.3%
Rudy Gay,28.2,SAC,Wing,2402,94,27.2%,79,111.9,89,18.6%,68,0.68,44,12.2%
Alonzo Gee,27.4,DEN,Wing,426,33,15.1%,63,108.3,7,5.6%,9,0.37,10,16.3%
Alonzo Gee,27.4,POR,Forward,129,56,16.7%,54,106.8,37,7.3%,22,0.44,44,12.4%
Taj Gibson,29.4,CHI,Big,1659,49,16.4%,52,108.5,45,7.2%,44,0.44,59,12.6%
Manu Ginobili,37.3,SAS,Wing,1575,90,25.8%,63,108.3,96,29.1%,97,1.13,6,17.1%
Rudy Gobert,22.3,UTA,Big,2123,24,13.5%,96,124.6,61,8.7%,81,0.65,20,17.0%
Drew Gooden,33.1,WAS,Big,828,48,16.2%,11,94.7,64,8.9%,68,0.55,93,8.5%
Archie Goodwin,20.2,PHX,Combo,451,63,22.8%,26,96.3,20,15.1%,8,0.66,6,18.2%
Aaron Gordon,19.1,ORL,Forward,780,37,15.1%,43,104.0,26,6.6%,19,0.43,19,14.8%
Ben Gordon,31.6,ORL,Wing,764,79,21.9%,49,106.1,63,11.2%,29,0.51,14,14.9%
Eric Gordon,25.9,NOP,Combo,2014,49,20.3%,78,109.1,40,17.8%,29,0.88,40,13.6%
Marcin Gortat,30.7,WAS,Big,2445,42,15.3%,81,117.2,30,6.2%,35,0.40,66,12.0%
Danny Granger,31.5,MIA,Wing,595,32,14.8%,52,106.4,4,5.0%,5,0.34,35,13.3%
Jerami Grant,20.6,PHI,Forward,1303,52,16.2%,6,92.0,54,9.3%,69,0.57,6,16.5%
Danny Green,27.4,SAS,Wing,2284,45,16.3%,94,120.9,52,10.1%,58,0.62,60,11.1%
Draymond Green,24.7,GSW,Big,2475,55,17.2%,50,108.1,94,15.6%,96,0.90,55,13.2%
Erick Green,23.5,DEN,Combo,301,15,17.6%,20,94.9,15,13.8%,20,0.78,94,8.8%
Gerald Green,28.8,PHX,Wing,1423,92,27.0%,67,109.2,60,11.1%,12,0.41,48,11.8%
JaMychal Green,24.4,MEM,Big,116,37,14.8%,99,128.6,18,4.2%,16,0.28,4,22.5%
Jeff Green,28.2,BOS,Forward,1085,94,22.1%,61,108.1,41,7.8%,9,0.35,67,10.0%
Jeff Green,28.2,MEM,Forward,1341,85,20.3%,50,106.2,70,10.0%,43,0.49,83,8.8%
Willie Green,33.3,ORL,Wing,898,51,17.1%,20,96.5,67,11.7%,67,0.68,32,13.5%
Blake Griffin,25.6,LAC,Big,2347,99,27.9%,60,110.2,100,24.6%,95,0.88,85,10.3%
Jorge Gutierrez,25.8,MIL,Combo,124,6,13.9%,100,120.7,23,15.9%,78,1.14,0,23.4%
PJ Hairston,21.9,CHA,Wing,603,56,17.8%,15,92.0,2,4.4%,2,0.25,98,6.6%
Justin Hamilton,24.6,MIA,Big,266,8,11.6%,13,95.1,48,7.5%,82,0.65,78,11.0%
Justin Hamilton,24.6,MIN,Big,414,38,14.8%,81,117.2,69,9.6%,83,0.65,53,13.3%
Tyler Hansbrough,29.0,TOR,Big,1040,2,9.8%,82,118.8,5,2.8%,17,0.28,92,9.0%
Tim Hardaway Jr.,22.6,NYK,Wing,1631,83,22.4%,37,103.3,76,13.0%,48,0.58,71,10.3%
James Harden,25.2,HOU,Wing,2976,98,34.1%,97,121.7,99,34.1%,92,1.00,29,13.6%
Maurice Harkless,21.5,ORL,Forward,610,11,12.3%,9,93.0,2,4.2%,7,0.35,50,12.1%
Devin Harris,31.7,DAL,Combo,1666,43,19.6%,83,111.8,54,20.8%,62,1.06,71,11.4%
Gary Harris,20.1,DEN,Wing,572,38,15.3%,3,73.8,6,5.4%,6,0.35,20,14.1%
Joe Harris,23.2,CLE,Wing,388,7,12.2%,38,103.4,40,9.0%,78,0.74,2,19.1%
Tobias Harris,22.3,ORL,Forward,2364,89,20.9%,69,111.0,50,8.8%,15,0.42,61,10.6%
Udonis Haslem,34.4,MIA,Big,973,26,13.7%,16,97.3,52,7.8%,69,0.56,54,13.3%
Spencer Hawes,26.5,LAC,Big,1183,57,17.5%,8,93.7,72,10.2%,71,0.58,71,11.8%
Chuck Hayes,31.4,TOR,Big,243,3,10.3%,32,102.2,69,9.9%,98,0.96,39,14.8%
Gordon Hayward,24.6,UTA,Wing,2606,91,26.9%,80,113.0,93,21.1%,81,0.78,34,13.3%
Gerald Henderson,26.9,CHA,Wing,2277,71,20.9%,33,102.8,85,15.2%,76,0.73,72,10.3%
John Henson,23.8,MIL,Big,1204,51,16.8%,74,114.3,56,8.4%,58,0.50,8,19.5%
Roy Hibbert,27.9,IND,Big,1923,77,20.7%,22,99.1,49,7.6%,28,0.37,64,12.3%
JJ Hickson,26.2,DEN,Big,1344,68,18.8%,27,100.4,41,6.8%,26,0.36,33,15.8%
Nene Hilario,32.1,WAS,Big,1679,78,20.7%,45,107.0,84,11.9%,71,0.57,31,16.2%
George Hill,28.5,IND,Point,1261,73,26.5%,92,116.0,55,30.4%,37,1.15,97,9.5%
Jordan Hill,27.3,LAL,Big,1869,82,21.3%,20,98.5,68,9.5%,45,0.45,71,11.8%
Solomon Hill,23.6,IND,Wing,2333,46,16.5%,29,101.4,71,12.1%,77,0.73,36,13.1%
Kirk Hinrich,33.8,CHI,Combo,1603,5,13.9%,18,94.0,18,14.4%,55,1.03,31,14.6%
Jrue Holiday,24.4,NOP,Point,1300,69,26.4%,58,104.4,61,32.2%,47,1.22,81,11.9%
Justin Holiday,25.6,GSW,Wing,525,50,17.0%,62,108.2,47,9.5%,43,0.56,63,11.0%
Ryan Hollins,30.1,SAC,Big,377,6,11.2%,89,121.3,19,4.4%,32,0.39,3,23.7%
Rodney Hood,22.0,UTA,Wing,1048,64,19.4%,60,108.1,78,13.6%,71,0.70,75,10.2%
Al Horford,28.4,ATL,Big,2307,79,20.9%,70,112.7,96,17.9%,95,0.85,90,9.5%
Dwight Howard,28.9,HOU,Big,1221,85,21.7%,83,118.9,45,7.2%,21,0.33,9,18.9%
Robbie Hummel,25.7,MIN,Forward,682,6,10.5%,41,103.1,15,5.7%,59,0.54,69,10.0%
Kris Humphries,29.7,WAS,Big,1308,51,16.8%,31,101.4,38,6.7%,34,0.40,89,9.6%
Serge Ibaka,25.1,OKC,Big,2109,52,16.8%,55,109.6,17,4.1%,11,0.25,68,11.9%
Andre Iguodala,30.8,GSW,Wing,2016,22,13.9%,78,111.8,83,15.0%,94,1.08,33,13.3%
Ersan Ilyasova,27.5,MIL,Big,1302,72,19.4%,61,110.5,42,7.0%,25,0.36,94,7.9%
Joe Ingles,27.1,UTA,Wing,1640,24,14.1%,52,106.4,87,17.0%,99,1.20,3,18.9%
Kyrie Irving,22.6,CLE,Point,2716,77,27.4%,95,117.9,18,23.7%,0,0.86,90,11.2%
Jarrett Jack,31.0,BKN,Combo,2205,77,25.1%,68,104.9,86,28.7%,80,1.14,17,15.5%
Reggie Jackson,24.5,DET,Point,869,100,33.8%,50,102.8,100,46.0%,63,1.36,47,14.3%
Reggie Jackson,24.5,OKC,Combo,1372,80,25.4%,52,103.1,74,25.2%,51,0.99,75,11.2%
Bernard James,29.7,DAL,Big,119,9,11.8%,46,107.1,25,5.3%,49,0.45,32,15.9%
LeBron James,29.8,CLE,Wing,2480,98,34.9%,89,116.7,100,36.7%,94,1.05,17,14.3%
Al Jefferson,29.8,CHA,Big,1963,97,24.9%,24,99.8,81,11.1%,46,0.45,99,6.5%
Cory Jefferson,23.8,BKN,Big,412,47,16.2%,9,94.5,15,4.0%,11,0.25,76,11.1%
Richard Jefferson,34.4,DAL,Forward,1162,31,14.5%,87,114.9,31,7.0%,41,0.48,30,13.1%
John Jenkins,23.7,ATL,Wing,230,25,14.1%,99,128.6,39,9.0%,62,0.64,97,6.9%
Brandon Jennings,25.1,DET,Point,1170,84,28.9%,65,105.3,84,38.2%,58,1.32,89,11.2%
Jonas Jerebko,27.7,BOS,Forward,509,46,16.0%,56,107.0,48,8.8%,61,0.55,80,9.1%
Jonas Jerebko,27.7,DET,Big,671,32,14.3%,61,110.5,57,8.5%,75,0.59,70,11.8%
Amir Johnson,27.5,TOR,Big,1970,36,14.7%,86,119.6,66,9.2%,79,0.62,18,17.2%
Chris Johnson,24.5,MIL,Wing,124,4,9.9%,25,100.0,18,7.0%,74,0.71,100,0.0%
Chris Johnson,24.5,PHI,Wing,174,31,14.6%,9,84.2,1,2.8%,1,0.19,31,13.6%
Chris Johnson,24.5,UTA,Wing,189,11,13.1%,90,116.9,6,5.2%,10,0.40,65,10.7%
James Johnson,27.7,TOR,Forward,1343,63,17.2%,93,123.5,80,11.1%,81,0.65,15,15.1%
Joe Johnson,33.3,BKN,Wing,2779,77,21.5%,44,104.9,87,16.9%,82,0.79,67,10.6%
Nick Johnson,21.9,HOU,Wing,206,43,16.1%,1,65.0,9,5.8%,8,0.36,0,20.9%
Tyler Johnson,22.5,MIA,Combo,583,14,16.3%,42,99.4,6,11.3%,14,0.69,34,14.4%
Wesley Johnson,27.3,LAL,Wing,2224,37,15.3%,34,102.9,33,8.3%,36,0.54,59,11.1%
James Jones,34.1,CLE,Forward,548,20,13.8%,81,113.1,13,5.2%,13,0.38,100,6.0%
Perry Jones,23.1,OKC,Forward,542,33,14.7%,13,93.6,4,4.4%,2,0.30,35,12.7%
Terrence Jones,22.8,HOU,Big,887,54,17.2%,72,113.6,39,6.8%,33,0.39,79,10.8%
DeAndre Jordan,26.3,LAC,Big,2808,12,12.0%,98,125.9,7,3.0%,12,0.25,46,14.1%
Jerome Jordan,28.1,BKN,Big,290,39,14.9%,88,120.9,31,6.3%,39,0.42,15,17.8%
Cory Joseph,23.2,SAS,Combo,1361,22,18.0%,95,116.5,49,20.1%,71,1.12,72,11.4%
Chris Kaman,32.5,POR,Big,1387,81,21.1%,51,108.3,54,8.0%,29,0.38,24,16.8%
Enes Kanter,22.5,OKC,Big,808,78,20.8%,92,122.2,27,5.5%,14,0.27,60,12.6%
