Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Trevor Ariza,28.3,WAS,Wing,2715,47,16.6%,93,118.6,56,10.5%,60,0.63,34,13.1%
Darrell Arthur,25.6,DEN,Big,1143,54,17.0%,5,91.5,62,8.3%,60,0.48,74,12.1%
Omer Asik,27.3,HOU,Big,929,23,12.8%,65,111.4,15,3.7%,22,0.29,11,20.1%
D.J. Augustin,26.0,CHI,Point,1813,64,24.5%,92,118.0,64,30.3%,58,1.24,78,11.8%
Gustavo Ayon,28.6,ATL,Big,401,34,13.9%,13,95.1,74,10.0%,91,0.72,9,21.1%
Jeff Ayres,26.5,SAS,Big,855,18,12.1%,95,121.9,63,8.3%,87,0.69,4,26.8%
Chris Babb,23.7,BOS,Wing,106,2,10.1%,1,60.9,0,3.0%,2,0.30,93,8.5%
Luke Babbitt,24.4,NOP,Big,453,56,17.2%,50,106.3,67,8.9%,67,0.52,95,8.5%
Leandro Barbosa,30.9,PHX,Combo,366,46,20.4%,46,101.4,12,14.7%,12,0.72,86,11.3%
J.J. Barea,29.3,MIN,Combo,1413,95,28.0%,18,94.8,98,35.1%,75,1.26,63,13.1%
Andrea Bargnani,28.0,NYK,Big,1252,77,19.9%,33,102.2,46,6.3%,26,0.32,85,10.8%
Harrison Barnes,21.4,GSW,Forward,2097,55,16.5%,20,97.4,41,8.0%,41,0.49,68,10.1%
Matt Barnes,33.6,LAC,Forward,1701,48,15.5%,64,108.9,66,10.1%,77,0.66,32,13.2%
Will Barton,22.8,POR,Wing,310,67,19.8%,15,92.1,70,12.5%,61,0.63,92,8.8%
Brandon Bass,28.5,BOS,Big,2263,58,17.4%,61,109.7,48,6.5%,39,0.37,78,11.7%
Shane Battier,35.1,MIA,Wing,1456,2,9.5%,43,104.6,11,5.7%,50,0.59,98,6.6%
Nicolas Batum,24.9,POR,Wing,2951,55,17.7%,91,118.1,94,20.8%,98,1.18,7,17.3%
Jerryd Bayless,25.2,BOS,Combo,1009,47,20.7%,61,103.3,44,20.8%,40,1.01,67,12.7%
Jerryd Bayless,25.2,MEM,Combo,640,44,20.2%,21,95.7,16,15.6%,18,0.77,100,7.0%
Aron Baynes,26.9,SAS,Big,381,65,18.2%,16,95.4,80,10.7%,76,0.59,23,17.6%
Kent Bazemore,24.3,GSW,Wing,190,75,21.6%,6,84.5,76,13.5%,59,0.62,3,21.3%
Kent Bazemore,24.3,LAL,Wing,609,82,22.5%,62,108.8,89,17.5%,87,0.78,14,15.2%
Bradley Beal,20.3,WAS,Wing,2516,89,23.8%,33,102.0,83,15.5%,63,0.65,79,9.7%
Michael Beasley,24.8,MIA,Big,746,89,22.8%,67,111.6,63,8.3%,37,0.37,58,13.4%
Marco Belinelli,27.6,SAS,Wing,1942,57,17.8%,95,122.3,75,12.9%,81,0.72,52,12.1%
Anthony Bennett,20.6,CLE,Big,590,59,17.5%,2,84.0,22,4.6%,16,0.26,47,15.0%
Patrick Beverley,25.3,HOU,Combo,1741,11,15.4%,82,109.1,9,12.3%,19,0.80,91,10.9%
Chauncey Billups,37.1,DET,Combo,298,26,17.6%,4,84.1,39,19.7%,58,1.12,9,19.9%
Bismack Biyombo,21.2,CHA,Big,987,2,8.4%,87,118.6,1,1.2%,2,0.14,8,21.7%
DeJuan Blair,24.5,DAL,Big,1183,60,17.6%,74,113.6,69,9.0%,66,0.51,37,15.7%
Steve Blake,33.7,GSW,Combo,542,5,13.9%,14,93.3,63,24.5%,98,1.76,26,16.9%
Steve Blake,33.7,LAL,Combo,875,42,19.7%,58,102.9,96,34.5%,96,1.75,16,18.2%
Andray Blatche,27.2,BKN,Big,1576,93,24.2%,51,106.8,87,12.5%,68,0.52,64,12.8%
Eric Bledsoe,23.9,PHX,Combo,1407,91,27.8%,98,116.7,74,27.2%,39,0.98,32,16.0%
Andrew Bogut,28.9,GSW,Big,1764,16,11.8%,93,121.5,65,8.7%,92,0.73,11,20.5%
Matt Bonner,33.6,SAS,Big,602,11,11.3%,86,118.4,42,6.0%,68,0.53,92,10.0%
Trevor Booker,25.9,WAS,Big,1521,26,13.1%,70,112.8,37,5.8%,50,0.44,60,13.0%
Carlos Boozer,31.9,CHI,Big,2131,92,23.9%,22,97.5,78,10.4%,48,0.43,54,13.7%
Chris Bosh,29.6,MIA,Big,2521,75,19.8%,90,119.1,35,5.6%,20,0.28,74,12.0%
Avery Bradley,22.9,BOS,Combo,1838,54,21.6%,54,102.3,0,8.0%,0,0.37,95,10.7%
Elton Brand,34.6,ATL,Big,1388,27,13.1%,68,112.4,61,8.0%,80,0.61,46,15.1%
Corey Brewer,27.7,MIN,Wing,2606,32,14.8%,67,110.9,29,7.5%,34,0.51,63,11.3%
Ronnie Brewer,28.6,HOU,Wing,118,0,5.5%,0,22.2,24,6.8%,100,1.25,17,14.8%
Aaron Brooks,28.8,DEN,Combo,803,63,23.5%,39,100.6,77,28.1%,70,1.20,44,14.0%
Aaron Brooks,28.8,HOU,Point,652,44,21.7%,69,109.4,8,18.9%,8,0.87,47,14.9%
MarShon Brooks,24.8,LAL,Wing,201,79,22.3%,73,112.9,68,12.1%,39,0.54,34,13.0%
Lorenzo Brown,23.2,PHI,Point,157,39,21.0%,2,62.5,36,24.8%,44,1.18,64,14.1%
Shannon Brown,27.9,SAS,Wing,100,51,17.1%,4,76.7,33,7.9%,27,0.47,2,21.6%
Kobe Bryant,35.2,LAL,Combo,176,100,32.9%,44,101.2,100,35.6%,54,1.08,2,26.3%
Chase Budinger,25.4,MIN,Wing,703,38,15.4%,31,101.6,9,5.6%,7,0.36,84,9.3%
Reggie Bullock,22.6,LAC,Wing,342,14,13.1%,14,89.8,2,3.3%,1,0.26,39,12.9%
Trey Burke,21.0,UTA,Point,2220,63,24.2%,34,95.7,51,28.1%,41,1.16,85,11.2%
Alec Burks,22.3,UTA,Wing,2086,89,24.0%,64,110.2,85,16.6%,77,0.69,31,13.2%
Caron Butler,33.6,MIL,Forward,805,89,22.5%,36,101.4,77,12.0%,50,0.53,36,13.0%
Caron Butler,33.6,OKC,Wing,594,24,14.1%,61,108.8,20,6.6%,30,0.47,100,4.4%
Jimmy Butler,24.1,CHI,Wing,2580,48,16.7%,43,104.8,58,10.9%,64,0.66,65,11.0%
Rasual Butler,34.4,IND,Wing,301,30,14.8%,93,120.0,30,7.8%,38,0.53,58,11.6%
Dwight Buycks,24.7,TOR,Combo,141,30,18.7%,7,87.8,5,11.9%,9,0.64,25,16.9%
Andrew Bynum,26.0,CLE,Big,478,88,22.6%,5,91.4,74,9.9%,49,0.44,68,12.3%
Will Bynum,30.8,DET,Combo,1008,89,27.5%,40,100.9,89,32.5%,65,1.18,37,15.4%
Nick Calathes,24.7,MEM,Point,1099,37,20.7%,54,105.4,49,27.6%,73,1.34,8,20.0%
Jose Calderon,32.1,DAL,Point,2459,10,17.7%,95,120.0,20,22.3%,61,1.26,92,10.7%
Kentavious Caldwell-Pope,20.7,DET,Wing,1506,8,12.5%,23,98.9,5,5.0%,17,0.40,99,6.1%
Isaiah Canaan,22.5,HOU,Combo,213,37,19.1%,63,103.8,11,14.1%,14,0.74,28,16.8%
DeMarre Carroll,27.3,ATL,Wing,2332,25,14.2%,83,115.6,42,8.8%,55,0.62,66,10.9%
Vince Carter,36.8,DAL,Wing,1958,88,23.6%,54,107.6,86,16.9%,80,0.72,69,10.4%
Michael Carter-Williams,22.1,PHI,Point,2379,81,28.1%,32,95.5,53,29.2%,20,1.04,42,15.3%
Omri Casspi,25.4,HOU,Forward,1183,57,17.2%,50,106.9,64,10.1%,61,0.59,30,13.5%
Mario Chalmers,27.5,MIA,Point,2161,34,19.9%,83,113.9,29,23.3%,42,1.17,20,17.8%
Tyson Chandler,31.1,NYK,Big,1653,14,11.7%,96,123.7,30,5.4%,55,0.46,27,17.1%
Wilson Chandler,26.5,DEN,Forward,1922,64,18.4%,45,105.5,59,9.3%,45,0.50,86,9.4%
Dionte Christmas,27.1,PHX,Wing,137,20,13.5%,7,86.0,19,6.5%,30,0.48,97,6.8%
Earl Clark,25.8,CLE,Forward,656,52,16.3%,14,94.9,7,3.9%,5,0.24,48,12.3%
Victor Claver,25.2,POR,Big,147,35,13.9%,6,91.9,81,10.9%,94,0.78,37,15.7%
Norris Cole,25.1,MIA,Combo,1918,23,17.3%,37,100.6,30,18.0%,44,1.04,21,17.5%
Jason Collins,34.9,BKN,Big,135,1,8.1%,12,94.7,5,2.1%,14,0.26,5,26.1%
Darren Collison,26.2,LAC,Combo,2001,49,21.1%,96,116.1,51,21.9%,46,1.04,56,13.2%
Nick Collison,33.0,OKC,Big,1333,15,11.7%,91,119.6,80,10.9%,98,0.93,12,19.7%
Mike Conley,26.1,MEM,Point,2433,78,26.9%,71,110.2,58,29.3%,34,1.09,95,10.5%
Chris Copeland,29.6,IND,Forward,181,77,20.2%,95,125.3,73,10.9%,57,0.54,70,10.1%
DeMarcus Cousins,23.2,SAC,Big,2292,100,31.6%,66,111.5,96,17.6%,70,0.56,43,15.2%
Jamal Crawford,33.6,LAC,Combo,2071,86,26.9%,91,112.6,26,17.7%,11,0.66,96,10.6%
Jordan Crawford,25.0,BOS,Combo,1193,72,25.2%,67,105.8,84,30.3%,72,1.20,72,12.5%
Jordan Crawford,25.0,GSW,Combo,587,88,27.4%,35,100.3,18,15.8%,4,0.58,60,13.2%
Jae Crowder,23.3,DAL,Wing,1200,11,12.8%,66,110.5,21,6.7%,37,0.53,53,12.1%
Dante Cunningham,26.5,MIN,Big,1564,32,13.7%,17,95.5,58,7.7%,73,0.56,96,8.2%
Stephen Curry,25.6,GSW,Point,2838,98,31.4%,98,123.9,90,37.2%,46,1.18,58,14.4%
Samuel Dalembert,33.5,DAL,Big,1601,30,13.3%,92,120.2,13,3.5%,15,0.26,16,19.4%
Gigi Datome,25.9,DET,Wing,150,53,17.5%,3,76.4,28,7.4%,20,0.42,29,13.3%
Brandon Davies,22.3,PHI,Big,473,27,13.1%,18,95.7,58,7.6%,75,0.58,10,20.5%
Anthony Davis,20.6,NOP,Big,2337,90,23.0%,79,115.8,59,7.7%,32,0.34,95,9.2%
Ed Davis,24.4,MEM,Big,899,43,15.4%,60,109.5,24,4.7%,25,0.30,77,11.9%
Glen Davis,27.8,LAC,Big,297,36,14.3%,28,101.1,12,3.3%,10,0.23,25,17.3%
Glen Davis,27.8,ORL,Big,1352,76,19.9%,21,97.1,70,9.1%,54,0.46,90,10.2%
Nando De Colo,26.4,SAS,Wing,220,54,17.6%,40,104.1,75,13.0%,83,0.74,24,14.1%
Nando De Colo,26.4,TOR,Combo,192,49,21.1%,47,101.6,72,26.8%,77,1.27,33,15.8%
DeMar DeRozan,24.2,TOR,Wing,3012,98,28.2%,50,106.8,93,18.9%,70,0.67,82,9.5%
Dewayne Dedmon,24.2,ORL,Big,220,15,11.8%,8,92.9,2,1.5%,1,0.12,85,10.7%
Dewayne Dedmon,24.2,PHI,Big,138,16,11.8%,20,96.9,15,3.7%,25,0.31,18,18.7%
Matthew Dellavedova,23.1,CLE,Combo,1162,9,14.8%,88,110.6,40,20.1%,88,1.36,42,14.0%
Luol Deng,28.5,CHI,Wing,856,91,24.5%,51,106.9,92,18.7%,85,0.76,47,12.6%
Luol Deng,28.5,CLE,Wing,1350,68,20.1%,26,100.5,63,11.7%,46,0.58,87,9.1%
Boris Diaw,31.5,SAS,Big,1909,57,17.3%,81,116.3,95,16.0%,98,0.93,36,15.8%
Gorgui Dieng,23.8,MIN,Big,707,46,15.6%,43,105.6,56,7.5%,57,0.48,30,16.8%
Toney Douglas,27.6,GSW,Point,213,3,15.7%,36,96.9,2,11.9%,2,0.76,39,15.7%
Toney Douglas,27.6,MIA,Combo,388,25,17.6%,42,100.9,21,16.8%,37,0.96,75,12.3%
Chris Douglas-Roberts,26.8,CHA,Wing,941,19,13.5%,87,116.7,31,7.9%,47,0.58,57,11.7%
Goran Dragic,27.5,PHX,Point,2658,76,26.9%,97,121.5,46,27.3%,14,1.01,73,13.1%
Andre Drummond,20.2,DET,Big,2598,40,15.0%,89,118.9,5,2.1%,3,0.14,71,12.1%
Jared Dudley,28.3,LAC,Wing,1702,10,12.6%,59,108.1,40,8.6%,74,0.68,60,11.6%
Tim Duncan,37.5,SAS,Big,2152,95,24.7%,51,106.9,93,16.0%,84,0.65,57,13.5%
Mike Dunleavy,33.1,CHI,Wing,2554,43,16.0%,66,110.9,64,11.7%,82,0.73,56,11.9%
Kevin Durant,25.1,OKC,Forward,3109,100,32.8%,98,128.6,98,25.8%,89,0.79,52,12.1%
Wayne Ellington,25.9,DAL,Wing,339,16,13.4%,65,110.5,23,6.8%,33,0.51,96,6.9%
Monta Ellis,28.0,DAL,Wing,3007,98,28.2%,48,106.1,98,24.5%,89,0.87,25,14.1%
Jeremy Evans,26.0,UTA,Big,1125,35,14.0%,59,109.2,33,5.5%,42,0.40,81,11.3%
Reggie Evans,33.5,BKN,Big,362,22,12.6%,4,88.3,6,2.3%,6,0.19,4,27.3%
Reggie Evans,33.5,SAC,Big,490,25,12.9%,54,108.3,26,5.0%,40,0.39,14,19.6%
Tyreke Evans,24.1,NOP,Combo,2011,98,29.6%,60,103.1,88,31.3%,51,1.06,53,13.4%
Kenneth Faried,24.0,DEN,Big,2160,72,19.2%,76,115.0,50,7.1%,37,0.37,55,13.7%
Jordan Farmar,26.9,LAL,Combo,883,82,25.8%,75,107.3,95,34.2%,86,1.33,23,17.2%
Vitor Faverani,25.5,BOS,Big,456,63,17.9%,29,101.3,44,6.3%,35,0.35,9,20.7%
Derrick Favors,22.3,UTA,Big,2198,74,19.3%,68,112.1,51,7.2%,38,0.37,52,14.0%
Raymond Felton,29.3,NYK,Combo,2014,53,21.4%,19,94.9,75,27.5%,79,1.28,46,14.0%
Landry Fields,25.3,TOR,Forward,315,16,13.1%,2,86.8,61,9.8%,84,0.74,50,12.2%
Derek Fisher,39.2,OKC,Combo,1397,7,14.3%,72,107.3,7,12.1%,23,0.85,93,10.8%
Evan Fournier,21.0,DEN,Wing,1410,64,19.2%,47,105.7,67,12.0%,57,0.62,18,14.7%
Randy Foye,30.1,DEN,Combo,2472,39,19.2%,89,112.4,23,17.3%,30,0.90,70,12.6%
Jamaal Franklin,22.3,MEM,Wing,121,22,13.8%,2,71.4,8,5.6%,16,0.40,0,24.3%
Jimmer Fredette,24.7,SAC,Combo,413,75,25.2%,95,114.8,61,23.9%,33,0.95,30,16.6%
Joel Freeland,26.7,POR,Big,713,13,11.7%,23,98.2,51,7.3%,81,0.62,30,16.8%
Channing Frye,30.5,PHX,Big,2306,49,16.0%,67,111.7,43,6.1%,39,0.38,86,10.7%
Francisco Garcia,31.8,HOU,Wing,1021,13,12.9%,28,101.1,38,8.5%,65,0.66,81,9.6%
Kevin Garnett,37.5,BKN,Big,1106,67,18.6%,8,92.9,90,13.0%,88,0.70,33,16.2%
Diante Garrett,25.0,UTA,Combo,954,18,16.2%,16,94.0,33,18.7%,61,1.16,11,19.5%
Marc Gasol,28.8,MEM,Big,1962,85,22.1%,44,105.7,97,18.0%,95,0.81,70,12.2%
Pau Gasol,33.3,LAL,Big,1874,97,26.0%,38,103.8,98,18.5%,89,0.71,65,12.6%
Rudy Gay,27.2,SAC,Wing,1882,95,26.9%,74,113.6,82,15.4%,43,0.57,21,14.3%
Rudy Gay,27.2,TOR,Forward,636,93,29.8%,11,93.5,82,12.0%,27,0.40,27,13.8%
Alonzo Gee,26.4,CLE,Wing,974,7,12.2%,39,103.8,27,7.1%,45,0.58,12,15.4%
Paul George,23.5,IND,Wing,2887,97,27.8%,72,112.6,90,17.8%,61,0.64,44,12.7%
Taj Gibson,28.4,CHI,Big,2301,82,21.4%,40,104.3,54,7.4%,35,0.35,49,14.2%
Manu Ginobili,36.3,SAS,Wing,1526,94,26.3%,92,118.3,100,27.4%,96,1.04,15,15.1%
Rudy Gobert,21.3,UTA,Big,314,30,13.4%,20,97.1,7,2.7%,8,0.20,1,30.9%
Drew Gooden,32.1,WAS,Big,376,71,19.0%,86,118.4,43,6.1%,29,0.32,87,10.7%
Archie Goodwin,19.2,PHX,Wing,465,61,18.6%,41,104.1,12,5.8%,3,0.31,6,17.7%
Ben Gordon,30.6,CHA,Wing,261,70,20.8%,11,88.7,66,11.9%,42,0.57,11,15.6%
Eric Gordon,24.9,NOP,Wing,2053,87,23.2%,56,107.8,84,16.4%,78,0.70,45,12.6%
Marcin Gortat,29.7,WAS,Big,2646,52,16.7%,73,113.5,60,8.0%,57,0.48,63,12.9%
Danny Granger,30.5,IND,Wing,617,58,18.1%,24,99.1,35,8.0%,25,0.44,37,13.0%
Danny Granger,30.5,LAC,Forward,181,82,20.7%,52,107.0,23,5.9%,7,0.29,77,9.6%
Aaron Gray,28.9,SAC,Big,311,20,12.4%,9,93.4,67,8.9%,90,0.72,2,28.6%
Danny Green,26.4,SAS,Wing,1622,37,15.4%,88,117.1,48,9.1%,49,0.59,28,13.7%
Draymond Green,23.7,GSW,Forward,1706,36,15.1%,30,100.4,84,12.6%,93,0.83,20,14.2%
Gerald Green,27.8,PHX,Wing,2301,80,22.3%,89,117.3,37,8.4%,11,0.38,49,12.4%
Jeff Green,27.2,BOS,Wing,2789,78,22.3%,44,105.0,39,8.6%,12,0.38,57,11.7%
Willie Green,32.3,LAC,Wing,810,41,15.9%,16,93.7,46,9.0%,41,0.57,71,10.3%
Blake Griffin,24.6,LAC,Big,2857,99,27.9%,82,116.4,98,18.6%,86,0.67,67,12.4%
Jorge Gutierrez,24.8,BKN,Combo,204,14,15.5%,32,100.0,49,21.7%,89,1.40,12,19.4%
Jordan Hamilton,23.1,DEN,Wing,621,57,18.0%,25,100.0,30,7.7%,21,0.43,73,10.2%
Jordan Hamilton,23.1,HOU,Wing,320,49,17.0%,25,100.0,39,8.5%,32,0.50,43,12.7%
Tyler Hansbrough,28.0,TOR,Big,963,33,13.8%,65,111.4,9,3.0%,9,0.21,41,15.5%
Tim Hardaway Jr.,21.6,NYK,Wing,1723,52,17.2%,71,111.8,10,5.6%,4,0.33,98,6.7%
James Harden,24.2,HOU,Wing,2773,100,29.5%,98,124.4,99,26.6%,91,0.90,25,14.1%
Maurice Harkless,20.5,ORL,Forward,1890,23,13.8%,59,108.1,25,6.2%,34,0.45,16,14.8%
Josh Harrellson,24.7,DET,Big,285,23,12.7%,56,108.6,53,7.3%,74,0.58,94,9.5%
Al Harrington,33.7,WAS,Big,491,81,20.8%,24,99.0,66,8.8%,46,0.42,54,13.8%
Devin Harris,30.7,DAL,Combo,808,67,23.8%,70,106.2,86,31.0%,82,1.30,40,14.1%
Manny Harris,24.1,LAL,Wing,179,69,20.2%,20,97.2,55,10.4%,35,0.51,62,11.3%
Michael Harris,30.4,UTA,Forward,163,18,13.6%,23,97.9,2,2.0%,2,0.15,2,18.0%
Tobias Harris,21.3,ORL,Forward,1824,80,20.5%,66,109.4,32,7.5%,18,0.36,84,9.4%
Udonis Haslem,33.4,MIA,Big,615,20,12.3%,32,101.9,9,3.1%,13,0.25,50,14.2%
Spencer Hawes,25.5,CLE,Big,803,77,20.1%,75,113.7,89,12.9%,83,0.64,44,15.2%
Spencer Hawes,25.5,PHI,Big,1662,68,18.7%,61,109.7,95,16.3%,96,0.87,35,16.2%
Chuck Hayes,30.4,SAC,Big,178,5,10.1%,11,94.3,28,5.1%,65,0.51,29,17.1%
Chuck Hayes,30.4,TOR,Big,573,6,10.5%,15,95.2,55,7.4%,89,0.71,13,19.7%
Gordon Hayward,23.6,UTA,Wing,2779,93,24.6%,42,104.4,97,23.7%,93,0.96,23,14.2%
Gerald Henderson,25.9,CHA,Wing,2452,77,22.1%,30,101.3,77,13.8%,58,0.62,80,9.6%
Xavier Henry,22.6,LAL,Wing,876,81,22.3%,30,101.2,43,8.8%,15,0.39,52,12.2%
John Henson,22.8,MIL,Big,1818,71,18.9%,54,108.0,82,11.2%,77,0.59,48,14.8%
Roy Hibbert,26.9,IND,Big,2403,70,18.8%,25,99.1,40,6.0%,27,0.32,44,15.1%
JJ Hickson,25.2,DEN,Big,1843,73,19.3%,36,103.5,65,8.5%,50,0.44,43,15.2%
Nene Hilario,31.1,WAS,Big,1548,92,23.6%,47,105.9,96,16.6%,88,0.70,50,14.1%
George Hill,27.5,IND,Point,2430,5,15.9%,81,113.3,7,17.1%,32,1.07,88,11.0%
Jordan Hill,26.3,LAL,Big,1491,65,18.2%,80,116.0,44,6.3%,34,0.35,72,12.1%
Solomon Hill,22.6,IND,Wing,170,4,10.6%,17,93.8,7,5.3%,31,0.50,4,20.3%
Kirk Hinrich,32.8,CHI,Combo,2097,35,19.1%,28,98.7,56,22.6%,67,1.18,49,13.7%
Jrue Holiday,23.4,NOP,Point,1137,75,26.9%,49,101.7,81,35.8%,71,1.33,46,15.1%
Ryan Hollins,29.1,LAC,Big,416,6,10.1%,100,145.6,4,2.0%,6,0.19,3,27.5%
Al Horford,27.4,ATL,Big,954,87,22.6%,84,117.0,91,14.0%,81,0.62,59,13.2%
Dwight Howard,27.9,HOU,Big,2393,91,23.3%,88,118.7,71,9.2%,41,0.39,20,18.1%
Robbie Hummel,24.7,MIN,Forward,563,9,11.2%,32,100.7,20,5.6%,43,0.50,98,6.0%
Kris Humphries,28.7,BOS,Big,1338,62,17.9%,57,108.9,68,9.0%,64,0.50,77,11.8%
Serge Ibaka,24.1,OKC,Big,2660,53,16.9%,77,115.1,27,5.1%,24,0.30,75,11.9%
Andre Iguodala,29.8,GSW,Wing,2034,31,14.8%,76,114.4,89,17.0%,98,1.15,19,14.6%
Ersan Ilyasova,26.5,MIL,Forward,1460,73,19.5%,16,96.7,52,8.7%,32,0.44,80,9.5%
Kyrie Irving,21.6,CLE,Point,2487,95,30.1%,63,108.3,68,31.2%,17,1.03,83,11.3%
Jarrett Jack,30.0,CLE,Combo,2210,40,19.6%,51,101.9,60,23.4%,68,1.19,54,13.4%
Reggie Jackson,23.5,OKC,Combo,2240,68,24.4%,74,107.3,58,23.2%,35,0.95,58,13.2%
Bernard James,28.7,DAL,Big,100,4,9.6%,98,126.3,18,4.1%,46,0.42,19,18.6%
LeBron James,28.8,MIA,Forward,2892,98,32.1%,100,131.6,100,31.1%,98,0.97,25,13.8%
Antawn Jamison,37.4,LAC,Big,224,70,18.8%,0,74.7,19,4.4%,11,0.23,99,6.5%
Al Jefferson,28.8,CHA,Big,2542,98,27.0%,52,107.1,86,12.2%,51,0.45,96,8.4%
Richard Jefferson,33.4,UTA,Wing,2208,46,16.6%,80,114.9,52,9.7%,48,0.59,54,12.0%
John Jenkins,22.7,ATL,Wing,128,35,15.1%,10,87.9,57,10.7%,79,0.71,2,21.4%
Brandon Jennings,24.1,DET,Point,2712,73,26.7%,42,97.9,75,33.3%,59,1.25,75,12.5%
Jonas Jerebko,26.7,DET,Forward,658,27,14.3%,84,116.4,50,8.6%,73,0.60,9,17.0%
Amir Johnson,26.5,TOR,Big,2210,40,15.1%,89,118.9,64,8.5%,72,0.56,29,16.9%
Chris Johnson,23.5,BOS,Wing,742,16,13.2%,34,103.1,11,5.7%,22,0.43,93,8.4%
James Johnson,26.7,MEM,Forward,902,84,21.0%,70,109.6,95,17.0%,91,0.81,18,14.7%
Joe Johnson,32.3,BKN,Wing,2564,80,22.3%,75,114.2,78,14.8%,68,0.66,75,9.9%
Orlando Johnson,24.6,IND,Wing,294,29,14.7%,5,82.1,32,7.9%,39,0.54,46,12.6%
Wesley Johnson,26.3,LAL,Forward,2193,25,13.9%,43,104.4,43,8.1%,64,0.59,45,12.4%
James Jones,33.1,MIA,Wing,195,25,14.3%,100,140.0,18,6.3%,24,0.44,95,7.2%
Perry Jones,22.1,OKC,Forward,661,11,11.3%,48,105.9,11,4.4%,23,0.39,89,8.5%
Terrence Jones,21.8,HOU,Big,2042,51,16.6%,78,115.7,49,6.8%,43,0.41,94,9.3%
DeAndre Jordan,25.3,LAC,Big,2865,9,11.0%,97,124.8,14,3.6%,30,0.33,27,17.2%
Cory Joseph,22.2,SAS,Combo,789,19,17.0%,77,108.7,28,17.8%,49,1.05,88,11.1%
Chris Kaman,31.5,LAL,Big,734,95,24.6%,53,107.7,92,14.0%,74,0.57,26,17.2%
Enes Kanter,21.5,UTA,Big,2075,84,21.8%,40,104.2,47,6.3%,22,0.29,51,14.1%
Ryan Kelly,22.6,LAL,Big,1269,46,15.6%,55,108.5,76,10.3%,85,0.66,91,10.2%
Michael Kidd-Gilchrist,20.1,CHA,Wing,1475,28,14.6%,34,102.1,7,5.4%,9,0.37,32,13.1%
Andrei Kirilenko,32.7,BKN,Big,826,39,14.9%,39,103.9,89,12.9%,96,0.87,17,19.3%
Brandon Knight,21.9,MIL,Combo,2374,96,28.4%,65,104.3,67,26.1%,32,0.92,74,12.3%
Kyle Korver,32.6,ATL,Wing,2402,15,13.2%,99,133.8,73,12.7%,92,0.96,20,14.4%
Kosta Koufos,24.7,MEM,Big,1294,54,17.0%,36,103.3,23,4.7%,19,0.28,61,12.9%
Doron Lamb,22.0,ORL,Wing,595,12,12.9%,60,108.2,44,8.8%,75,0.69,30,13.3%
Jeremy Lamb,21.4,OKC,Wing,1430,62,18.9%,35,103.4,60,11.2%,51,0.59,91,8.8%
