player_name,game_date,y_true,y_pred
Donovan Mitchell,2017-11-13,47.8,42.126217
Donovan Mitchell,2017-11-15,24.3,26.031656
Dwyane Wade,2017-11-01,11.2,21.61886
Dwyane Wade,2017-11-03,17.6,30.294502
Dwyane Wade,2017-11-05,49.2,28.110136
Dwyane Wade,2017-11-07,26.099998,19.924854
Dwyane Wade,2017-11-09,14.400001,18.86128
Dwyane Wade,2017-11-11,10.3,19.87218
Dwyane Wade,2017-11-13,35.1,18.355398
Dwyane Wade,2017-11-15,25.9,22.065891
Emmanuel Mudiay,2017-11-13,2.2,16.48194
Eric Gordon,2017-10-30,27.0,29.262604
Eric Gordon,2017-11-01,24.400002,29.761715
Eric Gordon,2017-11-03,40.899998,33.506847
Eric Gordon,2017-11-05,27.2,25.613804
Eric Gordon,2017-11-09,23.400002,22.812426
Eric Gordon,2017-11-11,29.4,29.99949
Eric Gordon,2017-11-12,34.2,30.248453
Eric Gordon,2017-11-14,17.7,27.417006
Eric Gordon,2017-11-16,23.900002,31.307827
Evan Fournier,2017-11-01,37.1,33.17069
Evan Fournier,2017-11-03,31.5,22.098131
Evan Fournier,2017-11-05,11.799999,23.303167
Evan Fournier,2017-11-08,46.899998,29.946886
Evan Fournier,2017-11-10,21.2,30.129778
Evan Fournier,2017-11-11,24.7,39.06576
Evan Fournier,2017-11-13,27.4,29.860487
Evan Fournier,2017-11-15,28.6,34.31617
Evan Turner,2017-10-28,17.0,15.072906
Evan Turner,2017-10-30,22.499998,23.02544
Evan Turner,2017-11-01,27.7,25.489231
Evan Turner,2017-11-02,17.9,13.403098
Evan Turner,2017-11-05,15.3,18.967733
Evan Turner,2017-11-10,19.9,24.639034
Evan Turner,2017-11-13,26.099998,18.866009
Evan Turner,2017-11-15,7.7000003,14.435846
Frank Kaminsky,2017-11-01,19.6,19.093523
Frank Kaminsky,2017-11-03,13.3,22.955425
Gary Harris,2017-10-29,28.7,30.544313
Gary Harris,2017-10-30,34.9,34.54339
Gary Harris,2017-11-01,21.199999,24.41705
Gary Harris,2017-11-03,20.2,28.876207
Gary Harris,2017-11-04,18.6,23.009321
Gary Harris,2017-11-07,38.3,27.45981
Gary Harris,2017-11-09,18.5,22.788988
George Hill,2017-10-31,16.2,15.751442
George Hill,2017-11-01,15.000001,21.047867
Goran Dragic,2017-10-30,29.699999,31.821266
Goran Dragic,2017-11-01,36.0,36.917057
Goran Dragic,2017-11-03,42.1,36.550514
Goran Dragic,2017-11-05,26.8,30.186224
Goran Dragic,2017-11-06,28.6,30.775938
Goran Dragic,2017-11-08,44.800003,42.371235
Goran Dragic,2017-11-10,22.9,30.89416
Goran Dragic,2017-11-12,34.3,35.75055
Goran Dragic,2017-11-15,28.8,31.055805
Harrison Barnes,2017-10-26,35.7,28.441101
Harrison Barnes,2017-10-28,30.800001,32.6025
Harrison Barnes,2017-10-30,13.900001,24.452814
Harrison Barnes,2017-11-01,25.8,31.055607
Harrison Barnes,2017-11-03,42.7,37.347404
Harrison Barnes,2017-11-04,22.8,28.38096
Harrison Barnes,2017-11-07,46.3,48.117626
Harrison Barnes,2017-11-11,35.9,29.437586
Harrison Barnes,2017-11-12,35.100002,28.576378
Harrison Barnes,2017-11-14,35.6,30.821606
J.J. Barea,2017-11-12,20.4,23.824726
JJ Redick,2017-11-07,25.6,35.10833
JJ Redick,2017-11-09,26.300001,33.538292
JJ Redick,2017-11-11,36.199997,28.012678
JJ Redick,2017-11-13,18.400002,19.779715
JJ Redick,2017-11-15,29.1,26.906963
Jae Crowder,2017-11-05,7.6,14.609622
Jae Crowder,2017-11-07,6.7,12.298427
Jamal Murray,2017-11-01,28.6,24.118147
Jamal Murray,2017-11-03,4.7000003,15.380729
Jamal Murray,2017-11-04,15.700001,14.265366
Jamal Murray,2017-11-07,14.4,25.74754
Jamal Murray,2017-11-09,18.6,27.001648
Jamal Murray,2017-11-11,36.3,28.903442
Jamal Murray,2017-11-13,20.999998,21.682245
James Johnson,2017-10-30,15.9,27.086784
James Johnson,2017-11-03,38.0,21.152843
James Johnson,2017-11-05,20.9,25.35151
James Johnson,2017-11-06,50.8,43.098858
James Johnson,2017-11-08,35.9,23.33523
James Johnson,2017-11-10,11.599999,24.721437
James Johnson,2017-11-12,19.6,30.552155
James Johnson,2017-11-15,8.4,24.81305
Jaylen Brown,2017-11-01,29.699999,25.171043
Jaylen Brown,2017-11-03,28.9,28.665222
Jaylen Brown,2017-11-05,30.9,21.259544
Jaylen Brown,2017-11-06,15.299999,19.552187
Jaylen Brown,2017-11-08,26.199999,20.05009
Jaylen Brown,2017-11-10,29.6,34.64713
Jaylen Brown,2017-11-12,30.1,26.534386
Jaylen Brown,2017-11-14,30.3,27.55784
Jaylen Brown,2017-11-16,42.4,26.576685
Jayson Tatum,2017-11-03,20.699999,24.864372
Jayson Tatum,2017-11-05,25.3,21.946049
Jayson Tatum,2017-11-06,41.1,38.287067
Jayson Tatum,2017-11-08,12.7,20.51111
Jayson Tatum,2017-11-10,17.9,24.775745
Jayson Tatum,2017-11-12,19.4,23.76358
Jayson Tatum,2017-11-14,34.8,36.435047
Jayson Tatum,2017-11-16,18.8,24.09036
Jeff Teague,2017-10-27,33.8,27.037584
Jeff Teague,2017-10-30,59.5,53.524647
Jeff Teague,2017-11-01,16.9,39.39856
Jeff Teague,2017-11-04,39.6,30.91404
Jeff Teague,2017-11-05,44.0,38.66584
Jeff Teague,2017-11-08,25.7,36.12744
Jeff Teague,2017-11-11,30.500002,40.01733
Jeff Teague,2017-11-13,28.099998,38.043686
Jeff Teague,2017-11-15,30.199999,34.901485
Jeremy Lamb,2017-10-30,28.1,28.704052
Jeremy Lamb,2017-11-01,22.800001,29.97401
Jeremy Lamb,2017-11-03,52.8,28.6104
Jeremy Lamb,2017-11-05,17.2,22.205837
Jeremy Lamb,2017-11-07,24.0,28.29767
Jeremy Lamb,2017-11-10,23.0,24.93607
Jeremy Lamb,2017-11-15,24.5,31.768616
Jerian Grant,2017-11-01,22.800001,26.955866
Jerian Grant,2017-11-03,21.0,23.656769
Jerian Grant,2017-11-04,42.1,36.34136
Jerian Grant,2017-11-07,24.9,19.964205
Jerian Grant,2017-11-10,7.2000003,14.45694
Jerian Grant,2017-11-11,21.2,19.748844
Jerian Grant,2017-11-15,13.1,17.389484
Joe Ingles,2017-10-30,26.199999,19.955494
Joe Ingles,2017-11-01,26.1,15.936989
Joe Ingles,2017-11-03,29.0,19.189455
Joe Ingles,2017-11-05,17.9,17.111418
Joe Ingles,2017-11-07,27.199999,28.406975
Joe Ingles,2017-11-10,23.699999,20.426764
Joe Ingles,2017-11-11,28.699999,31.039042
Joe Ingles,2017-11-13,8.7,16.851423
Joe Ingles,2017-11-15,19.8,20.728516
John Collins,2017-11-03,38.899998,30.726896
John Collins,2017-11-05,32.100002,16.850164
John Collins,2017-11-06,8.2,18.118265
John Collins,2017-11-10,30.099998,23.885326
John Collins,2017-11-11,7.1000004,16.600435
John Collins,2017-11-13,18.699999,21.47979
John Collins,2017-11-15,20.599998,26.569126
John Henson,2017-11-11,16.9,19.891048
John Henson,2017-11-13,37.1,31.902622
John Henson,2017-11-15,26.0,20.752197
Jonas Valanciunas,2017-11-09,28.599998,31.898373
Jonas Valanciunas,2017-11-12,8.6,23.38736
Jonas Valanciunas,2017-11-14,19.9,25.593904
Jonas Valanciunas,2017-11-15,29.199999,18.246145
Jonathon Simmons,2017-11-10,26.099998,21.753197
Jonathon Simmons,2017-11-11,26.099998,24.201141
Jonathon Simmons,2017-11-13,24.8,23.381783
Jonathon Simmons,2017-11-15,22.1,21.37659
Jordan Clarkson,2017-11-11,10.7,20.47907
Josh Richardson,2017-10-30,17.699999,20.921638
