date,fanduel_player_pool_count,fanduel_GT_players,fanduel_predicted_players,fanduel_GT_points,fanduel_predicted_points,fanduel_predicted_lineup_GT_points,fanduel_GT_lineup_predicted_points,fanduel_GT_salary,fanduel_predicted_salary,fanduel_GT_duplicates,fanduel_predicted_duplicates,fanduel_overlap_players,fanduel_overlap_count,fanduel_overlap_GT_points,fanduel_overlap_predicted_points
2023-03-10,61,"['Tyler Herro', 'Rudy Gobert', 'Tre Jones', 'Jakob Poeltl', 'Delon Wright', 'John Collins', ""De'Andre Hunter"", ""D'Angelo Russell"", 'Spencer Dinwiddie']","['Malik Beasley', 'Tyler Herro', 'James Harden', 'Bradley Beal', 'Naz Reid', 'Rudy Gobert', 'Keldon Johnson', 'Malik Beasley', 'Dejounte Murray']",361.0,,287.7999973297119,,60000.0,66200.0,0,1,"['Rudy Gobert', 'Tyler Herro']",2,100.4000015258789,
2023-03-11,67,"['Donte DiVincenzo', 'Jabari Smith Jr.', 'Draymond Green', 'CJ McCollum', 'Harrison Barnes', 'Saddiq Bey', 'Killian Hayes', 'Stephen Curry', 'Jalen Duren']","['Jonas Valanciunas', 'CJ McCollum', 'Alperen Sengun', 'Killian Hayes', 'Jordan Poole', 'Saddiq Bey', 'Bam Adebayo', 'Harrison Barnes', 'Tyus Jones']",348.79999923706055,,266.1999988555908,,58900.0,62000.0,0,0,"['Killian Hayes', 'CJ McCollum', 'Saddiq Bey', 'Harrison Barnes']",4,139.29999923706055,
2023-03-12,52,"['Michael Porter Jr.', 'Jonas Valanciunas', 'Trey Murphy III', 'Dennis Smith Jr.', 'CJ McCollum', ""D'Angelo Russell"", 'Dorian Finney-Smith', 'Herbert Jones', 'Cameron Johnson']","['Tyrese Maxey', ""Royce O'Neale"", 'Kristaps Porzingis', 'Tyrese Maxey', 'James Harden', 'Malik Beasley', 'Luguentz Dort', 'Luguentz Dort', 'Immanuel Quickley']",352.10000228881836,,198.5999994277954,,58500.0,62200.0,0,2,[],0,0.0,0.0
2023-03-13,56,"['Jimmy Butler', 'Jabari Smith Jr.', 'Jalen Duren', ""De'Andre Hunter"", 'Klay Thompson', 'Kyle Anderson', 'Kevon Looney', 'Khris Middleton', 'Mike Conley']","['Jayson Tatum', 'Chris Paul', 'Malik Monk', 'Donte DiVincenzo', 'Jalen Green', 'Jaden McDaniels', 'Bogdan Bogdanovic', 'Buddy Hield', 'Buddy Hield']",382.20000076293945,,234.00000143051147,,59500.0,61700.0,0,1,[],0,0.0,0.0
2023-03-14,69,"['Luguentz Dort', 'Immanuel Quickley', 'Trey Murphy III', 'Caris LeVert', 'Josh Hart', 'Deni Avdija', 'Evan Mobley', 'Jusuf Nurkic', 'Josh Giddey']","['Jonas Valanciunas', 'Rui Hachimura', ""D'Angelo Russell"", 'Giannis Antetokounmpo', 'Delon Wright', 'RJ Barrett', 'Jonas Valanciunas', 'Jalen Duren', 'Jonas Valanciunas']",360.4999942779541,,235.39999961853027,,59800.0,63900.0,0,2,[],0,0.0,0.0
2023-03-15,58,"['Christian Wood', 'Donovan Mitchell', 'Russell Westbrook', 'Jarred Vanderbilt', 'Donte DiVincenzo', 'Caris LeVert', 'Malik Monk', 'Keldon Johnson', 'Russell Westbrook']","['Draymond Green', 'Alperen Sengun', 'Jabari Smith Jr.', 'Anthony Edwards', 'Keldon Johnson', 'Jayson Tatum', 'Russell Westbrook', 'Marcus Smart', 'Jimmy Butler']",341.09999084472656,,336.90000343322754,,59400.0,71100.0,1,0,"['Keldon Johnson', 'Russell Westbrook']",2,79.89999771118164,
2023-03-16,44,"['Bruce Brown', 'Markelle Fultz', 'T.J. McConnell', 'Nic Claxton', 'Paolo Banchero', 'Cameron Johnson', 'Aaron Gordon', 'Kentavious Caldwell-Pope', 'Jalen Duren']","[""Royce O'Neale"", 'Kevin Huerter', 'Scottie Barnes', 'Keegan Murray', 'Pascal Siakam', 'Giannis Antetokounmpo', 'Luguentz Dort', 'Jrue Holiday', 'Malik Monk']",324.0,,285.4000017642975,,58400.0,64800.0,0,0,[],0,0.0,0.0
2023-03-17,77,"['Mike Conley', 'DeMar DeRozan', 'Marcus Smart', 'Onyeka Okongwu', 'Rudy Gobert', 'Kyle Anderson', 'Jalen Green', 'Tim Hardaway Jr.', ""De'Andre Hunter""]","['Jordan Poole', 'P.J. Washington', 'Dennis Smith Jr.', 'Bogdan Bogdanovic', 'Jaden McDaniels', 'Damian Lillard', 'Dennis Smith Jr.', 'Trey Murphy III', 'Josh Richardson']",390.200008392334,,252.20000076293945,,58700.0,60300.0,0,1,[],0,0.0,0.0
2023-03-18,70,"['Jakob Poeltl', 'Cole Anthony', 'Kyle Kuzma', 'Malcolm Brogdon', 'Wendell Carter Jr.', 'Gary Trent Jr.', 'Fred VanVleet', 'Derrick White', 'Tobias Harris']","['Scottie Barnes', 'Kyle Kuzma', 'Kevon Looney', 'Franz Wagner', 'Desmond Bane', 'Tyrese Maxey', 'Michael Porter Jr.', 'Paolo Banchero', 'Kyle Anderson']",349.3000030517578,,280.3999996185303,,59900.0,63400.0,0,0,['Kyle Kuzma'],1,48.900001525878906,
2023-03-19,75,"[""Royce O'Neale"", 'Jusuf Nurkic', 'Khris Middleton', 'Franz Wagner', 'Cam Reddish', 'Jalen Green', ""Royce O'Neale"", 'Franz Wagner', 'Chris Paul']","['Khris Middleton', 'Jalen Duren', 'Jamal Murray', 'Jarred Vanderbilt', 'Jalen Duren', 'Jalen Green', 'Trae Young', 'Bobby Portis', ""Royce O'Neale""]",332.6000003814697,,213.6999969482422,,59000.0,64500.0,2,1,"['Jalen Green', 'Khris Middleton', ""Royce O'Neale""]",3,108.0,
2023-03-20,52,"['Josh Hart', 'Gordon Hayward', 'Kelly Olynyk', 'Harrison Barnes', 'Naz Reid', 'Klay Thompson', 'Mike Conley', ""De'Aaron Fox"", 'Keegan Murray']","['Kyrie Irving', 'P.J. Washington', 'Terry Rozier', 'Stephen Curry', 'Julius Randle', 'Jaden McDaniels', 'Jaren Jackson Jr.', 'Jalen Brunson', 'Domantas Sabonis']",341.40000343322754,,358.00001525878906,,57300.0,77500.0,0,0,[],0,0.0,0.0
2023-03-21,59,"['Marcus Smart', 'Clint Capela', 'Russell Westbrook', 'Trae Young', ""Royce O'Neale"", 'Tre Jones', 'Paolo Banchero', 'Derrick White', 'Harrison Barnes']","['Tre Jones', 'Paul George', 'Marcus Smart', 'Malaki Branham', 'Keegan Murray', 'James Wiseman', 'Russell Westbrook', 'Shai Gilgeous-Alexander', 'Josh Giddey']",332.5999984741211,,262.29999923706055,,59600.0,63900.0,0,0,"['Marcus Smart', 'Russell Westbrook', 'Tre Jones']",3,103.5,
2023-03-22,80,"['Bruce Brown', 'Tyrese Maxey', 'Mike Conley', 'Bobby Portis', 'Jaden McDaniels', 'Jakob Poeltl', 'Kelly Olynyk', 'Naz Reid', 'Bogdan Bogdanovic']","['Daniel Gafford', 'Bennedict Mathurin', 'Jaren Jackson Jr.', 'Khris Middleton', 'DeMar DeRozan', 'Kevon Looney', 'Devin Booker', 'Zach LaVine', 'Jordan Poole']",305.3000030517578,,251.4000015258789,,57100.0,67100.0,0,0,[],0,0.0,0.0
2023-03-23,41,"['Immanuel Quickley', 'Evan Mobley', 'Eric Gordon', 'Trey Murphy III', 'Mikal Bridges', 'Cole Anthony', ""Royce O'Neale"", 'Jonas Valanciunas', 'Luguentz Dort']","['Ivica Zubac', 'Kelly Oubre Jr.', 'Jonas Valanciunas', 'Jarrett Allen', 'RJ Barrett', 'Spencer Dinwiddie', 'Donovan Mitchell', 'Jarrett Allen', 'Paolo Banchero']",319.1999931335449,,298.99999046325684,,59100.0,70000.0,0,1,['Jonas Valanciunas'],1,47.29999923706055,
2023-03-24,78,"['Dennis Schroder', 'Kristaps Porzingis', 'Derrick White', 'Kevin Huerter', 'Kevin Porter Jr.', 'Gordon Hayward', 'Josh Giddey', 'Robert Williams III', 'Dennis Schroder']","['Kevin Porter Jr.', 'Chris Paul', 'Jalen Duren', 'Jrue Holiday', 'Xavier Tillman', 'Kristaps Porzingis', 'Buddy Hield', 'Deni Avdija', 'Donte DiVincenzo']",402.8999938964844,,285.9999978542328,,58900.0,62800.0,1,0,"['Kevin Porter Jr.', 'Kristaps Porzingis']",2,90.0,
2023-03-25,44,"['Kentavious Caldwell-Pope', 'Kevin Huerter', 'Bruce Brown', 'Harrison Barnes', 'Jamal Murray', 'Trey Murphy III', 'CJ McCollum', 'Jonas Valanciunas', 'Mikal Bridges']","['Nic Claxton', 'Domantas Sabonis', 'Keegan Murray', 'Devin Booker', 'CJ McCollum', 'Kevin Huerter', 'Eric Gordon', 'Aaron Gordon', 'Trey Murphy III']",349.899995803833,,340.8999996185303,,59600.0,66500.0,0,0,"['Kevin Huerter', 'Trey Murphy III', 'CJ McCollum']",3,142.89999771118164,
2023-03-26,83,"['Josh Giddey', 'Mikal Bridges', 'Mark Williams', 'Clint Capela', 'Scottie Barnes', 'Zach Collins', 'Keita Bates-Diop', 'Delon Wright', 'Malcolm Brogdon']","['Tyus Jones', 'Tari Eason', 'Tim Hardaway Jr.', 'Ja Morant', 'Caris LeVert', 'Onyeka Okongwu', 'Jaden McDaniels', 'Kristaps Porzingis', 'Tre Jones']",345.1000061035156,,221.1000018119812,,59300.0,62000.0,0,0,[],0,0.0,0.0
