player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Alec Burks,21600843,2017-02-15,2,2.2846518,3200.0,3200.0,10.0,PG/SG,PG/SG,PG
Georges Niang,21600835,2017-02-15,1,1.1746327,3000.0,3000.0,10.0,PF,PF,PF
Norman Powell,21600837,2017-02-15,3,2.96564,3900.0,3900.0,13.0,SG/SF,SG/SF,SG
Tim Hardaway Jr.,21600846,2017-02-15,3,3.406879,6000.0,6000.0,17.0,PG/SG,PG/SG,SG
Jamal Murray,21600842,2017-02-15,2,1.9275198,3900.0,3900.0,10.0,PG/SG,PG/SG,PG
Mike Muscala,21600846,2017-02-15,2,2.736292,3000.0,3000.0,10.0,PF/C,PF/C,PF
Diamond Stone,21600846,2017-02-15,1,0.87381095,3000.0,3000.0,10.0,C,C,C
Ian Clark,21600847,2017-02-15,1,0.9537247,3500.0,3500.0,10.0,PG/SG,PG/SG,PG
Jordan McRae,21600835,2017-02-15,0,0.12191442,3000.0,3000.0,10.0,SG,SG,SG
Harrison Barnes,21600839,2017-02-15,5,4.9241047,5700.0,5700.0,26.0,SF/PF,SF/PF,PF
Ben McLemore,21600847,2017-02-15,4,3.717272,4500.0,4500.0,10.0,SG,SG,SG
CJ McCollum,21600843,2017-02-15,2,2.4036806,7400.0,7400.0,33.0,PG/SG,PG/SG,SG
Jae Crowder,21600849,2017-02-16,3,3.7470386,5600.0,5600.0,23.0,SF,SF,SF
Steven Adams,21600845,2017-02-15,7,7.168069,5900.0,5900.0,21.0,C,C,C
Klay Thompson,21600847,2017-02-15,5,5.407208,6500.0,6500.0,28.0,SG,SG,SG
D'Angelo Russell,21600844,2017-02-15,4,4.176908,6100.0,6100.0,26.0,PG,PG,PG
Rudy Gobert,21600843,2017-02-15,12,11.920611,7400.0,7400.0,30.0,C,C,C
Jon Leuer,21600839,2017-02-15,8,7.6609316,4600.0,4600.0,15.0,PF,PF,PF
Giannis Antetokounmpo,21600838,2017-02-15,9,8.8859215,10800.0,10800.0,53.0,PG/SF,PG/SF,PG
Michael Kidd-Gilchrist,21600837,2017-02-15,14,13.416782,4900.0,4900.0,17.0,SF,SF,SF
Robert Covington,21600836,2017-02-15,9,9.432791,6400.0,6400.0,23.0,SF,SF,SF
Marc Gasol,21600840,2017-02-15,12,11.282537,7500.0,7500.0,34.0,C,C,C
Eric Bledsoe,21600844,2017-02-15,10,9.103299,8600.0,8600.0,39.0,PG,PG,PG
Trey Lyles,21600843,2017-02-15,0,0.9823787,3000.0,3000.0,10.0,PF,PF,PF
Greg Monroe,21600838,2017-02-15,8,7.837672,5400.0,5400.0,15.0,C,C,C
George Hill,21600843,2017-02-15,5,4.9174294,5800.0,5800.0,25.0,PG,PG,PG
Kyrie Irving,21600835,2017-02-15,2,1.8203012,8400.0,8400.0,39.0,PG,PG,PG
Isaiah Thomas,21600836,2017-02-15,4,3.785243,9400.0,9400.0,48.0,PG,PG,PG
Dion Waiters,21600841,2017-02-15,10,9.17587,7000.0,7000.0,24.0,SG/SF,SG/SF,SG
Lou Williams,21600844,2017-02-15,2,2.6124272,5800.0,5800.0,21.0,SG,SG,SG
Derrick Rose,21600845,2017-02-15,4,4.080525,5800.0,5800.0,24.0,PG,PG,PG
Alex Len,21600844,2017-02-15,9,7.9145355,3800.0,3800.0,11.0,C,C,C
Kyle Korver,21600835,2017-02-15,5,4.4831553,4400.0,4400.0,11.0,SG/SF,SG/SF,SG
Jameer Nelson,21600842,2017-02-15,8,7.9583845,6000.0,6000.0,15.0,PG,PG,PG
Frank Kaminsky,21600837,2017-02-15,5,3.4546044,6000.0,6000.0,15.0,PF/C,PF/C,PF
Carmelo Anthony,21600845,2017-02-15,4,4.241929,7600.0,7600.0,36.0,SF,SF,SF
