player_name,game_id,game_date,y,y_pred
Hassan Whiteside,21600898,2017-03-01,3,2.998377
Marshall Plumlee,21600895,2017-03-01,0,0.06859612
Kentavious Caldwell-Pope,21600900,2017-03-01,1,1.1557395
Dwight Howard,21600897,2017-03-01,4,3.7430294
Cheick Diallo,21600900,2017-03-01,0,0.07759765
Joe Ingles,21600903,2017-03-01,1,1.2377717
Quinn Cook,21600897,2017-03-01,3,2.9892607
Taurean Prince,21600897,2017-03-01,0,0.10034687
Tim Frazier,21600900,2017-03-01,1,0.5950953
Derrick Rose,21600895,2017-03-01,4,3.846254
Ben Bentil,21600897,2017-03-01,0,0.12674132
CJ Miles,21600902,2017-03-01,0,0.07639253
Caris LeVert,21600905,2017-03-01,2,2.2250724
Iman Shumpert,21600901,2017-03-01,1,1.1299862
Channing Frye,21600901,2017-03-01,0,0.066630796
Richard Jefferson,21600901,2017-03-01,2,2.0040429
Jamal Crawford,21600904,2017-03-01,2,2.0364203
Axel Toupane,21600899,2017-03-01,0,0.12674132
DeMarre Carroll,21600896,2017-03-01,1,0.9379802
Clint Capela,21600904,2017-03-01,0,0.07759765
Tyler Johnson,21600898,2017-03-01,4,3.1394837
Kevin Seraphin,21600902,2017-03-01,1,1.1206964
Aaron Gordon,21600895,2017-03-01,0,0.3654928
Chris Paul,21600904,2017-03-01,11,11.352985
Sean Kilpatrick,21600905,2017-03-01,0,0.4360479
LaMarcus Aldridge,21600902,2017-03-01,2,2.1978717
Delon Wright,21600896,2017-03-01,2,1.8403964
DeAndre Jordan,21600904,2017-03-01,0,0.10155199
Lance Thomas,21600895,2017-03-01,1,1.0662613
Solomon Hill,21600900,2017-03-01,2,1.3706325
Amir Johnson,21600901,2017-03-01,0,0.5067519
Mario Hezonja,21600895,2017-03-01,0,0.06802164
Dion Waiters,21600898,2017-03-01,2,2.5009658
Kris Dunn,21600903,2017-03-01,0,0.16916312
Sam Dekker,21600904,2017-03-01,2,2.0128453
Timothe Luwawu-Cabarrot,21600898,2017-03-01,1,1.0662613
Daniel Ochefu,21600896,2017-03-01,0,0.06859612
Jonas Jerebko,21600901,2017-03-01,0,0.076837435
Wilson Chandler,21600899,2017-03-01,0,0.337924
Myles Turner,21600902,2017-03-01,1,0.9343914
Spencer Dinwiddie,21600905,2017-03-01,3,3.4878545
Luke Babbitt,21600898,2017-03-01,1,1.0662613
Joe Johnson,21600903,2017-03-01,3,2.9684772
Pascal Siakam,21600896,2017-03-01,1,1.0318489
Quincy Acy,21600905,2017-03-01,0,0.06859612
Derrick Favors,21600903,2017-03-01,0,0.1900085
Deron Williams,21600901,2017-03-01,2,3.4894414
Aron Baynes,21600900,2017-03-01,0,0.06859612
Richaun Holmes,21600898,2017-03-01,0,0.076837435
Hollis Thompson,21600900,2017-03-01,2,1.9812547
Dorian Finney-Smith,21600897,2017-03-01,0,0.07639253
Jarrett Jack,21600900,2017-03-01,1,1.529839
Arron Afflalo,21600905,2017-03-01,0,0.100347176
Patrick Patterson,21600896,2017-03-01,0,0.067439154
DeMar DeRozan,21600896,2017-03-01,2,1.4282742
Jon Leuer,21600900,2017-03-01,1,1.0440351
Paul George,21600902,2017-03-01,2,1.4821522
Elfrid Payton,21600895,2017-03-01,4,4.034295
Jeff Withey,21600903,2017-03-01,2,1.9812547
Marreese Speights,21600904,2017-03-01,0,0.06680881
Jakob Poeltl,21600896,2017-03-01,0,0.06859612
Darrell Arthur,21600899,2017-03-01,0,0.07639253
Raymond Felton,21600904,2017-03-01,1,1.3172324
Jeff Teague,21600902,2017-03-01,9,8.756315
Alexis Ajinca,21600900,2017-03-01,0,0.07759765
Ron Baker,21600895,2017-03-01,4,3.878223
Ish Smith,21600900,2017-03-01,3,2.8243186
Reggie Jackson,21600900,2017-03-01,4,3.6329887
Jason Terry,21600899,2017-03-01,0,0.07581034
Tony Snell,21600899,2017-03-01,2,2.0975587
Carmelo Anthony,21600895,2017-03-01,2,1.6289315
Nikola Vucevic,21600895,2017-03-01,0,0.43524453
Jonas Valanciunas,21600896,2017-03-01,1,0.94161874
Danilo Gallinari,21600899,2017-03-01,1,1.0579587
Davis Bertans,21600902,2017-03-01,0,0.07639253
Jahlil Okafor,21600898,2017-03-01,2,1.5624535
Dirk Nowitzki,21600897,2017-03-01,1,0.9581508
Marcus Smart,21600901,2017-03-01,8,7.0201917
Markieff Morris,21600896,2017-03-01,5,4.2713876
Lou Williams,21600904,2017-03-01,1,1.1531762
Fred VanVleet,21600896,2017-03-01,0,0.19365951
Chris McCullough,21600896,2017-03-01,0,0.06859612
David Lee,21600902,2017-03-01,0,0.06859612
Boris Diaw,21600903,2017-03-01,0,0.526019
Gerald Henderson,21600898,2017-03-01,2,2.1986587
Nik Stauskas,21600898,2017-03-01,0,0.27190858
Kyle Korver,21600901,2017-03-01,2,2.1279945
