player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Marcus Smart,21601037,2017-03-19,3,2.8625383,6100.0,6100.0,18.0,PG/SG,PG/SG,PG
Kevin Seraphin,21601040,2017-03-19,0,0.045671575,3000.0,3000.0,10.0,PF,PF,PF
David Nwaba,21601043,2017-03-19,0,0.04136732,3000.0,3000.0,10.0,SG,SG,SG
Dario Saric,21601037,2017-03-19,1,1.0327172,7900.0,7900.0,32.0,PF,PF,PF
Allen Crabbe,21601041,2017-03-19,0,0.04136732,4000.0,4000.0,10.0,SG/SF,SG/SF,SG
Darrun Hilliard,21601038,2017-03-19,0,0.04136732,3000.0,3000.0,10.0,SG,SG,SG
Archie Goodwin,21601036,2017-03-19,0,0.058183175,3300.0,3300.0,10.0,SG,SG,SG
Norman Powell,21601040,2017-03-19,2,1.9506973,4000.0,4000.0,10.0,SG/SF,SG/SF,SG
Jared Dudley,21601038,2017-03-19,0,0.041076355,3000.0,3000.0,10.0,SF/PF,SF/PF,PF
Thaddeus Young,21601040,2017-03-19,1,1.1321654,4600.0,4600.0,17.0,PF,PF,PF
DeMarre Carroll,21601040,2017-03-19,1,1.0012829,3600.0,3600.0,10.0,SF,SF,SF
Al Jefferson,21601040,2017-03-19,0,0.04136732,3000.0,3000.0,10.0,C,C,C
Jusuf Nurkic,21601041,2017-03-19,0,0.227909,6700.0,6700.0,27.0,C,C,C
Dewayne Dedmon,21601042,2017-03-19,0,0.041076355,3400.0,3400.0,10.0,C,C,C
Cole Aldrich,21601039,2017-03-19,0,0.04136732,3000.0,3000.0,10.0,C,C,C
JR Smith,21601043,2017-03-19,1,0.99791926,4400.0,4400.0,11.0,SG,SG,SG
Kawhi Leonard,21601042,2017-03-19,0,-0.004786797,10000.0,10000.0,50.0,SF,SF,SF
Lucas Nogueira,21601040,2017-03-19,0,0.04136732,3000.0,3000.0,10.0,PF,PF,PF
