player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Georges Niang,21600835,2017-02-15,2,1.2309312,3000.0,3000.0,10.0,PF,PF,PF
Norman Powell,21600837,2017-02-15,17,17.73458,3900.0,3900.0,13.0,SG/SF,SG/SF,SG
Tim Hardaway Jr.,21600846,2017-02-15,11,11.703658,6000.0,6000.0,17.0,PG/SG,PG/SG,SG
Jamal Murray,21600842,2017-02-15,14,12.215121,3900.0,3900.0,10.0,PG/SG,PG/SG,PG
Mike Muscala,21600846,2017-02-15,7,7.4869137,3000.0,3000.0,10.0,PF/C,PF/C,PF
Diamond Stone,21600846,2017-02-15,0,0.5207459,3000.0,3000.0,10.0,C,C,C
Ian Clark,21600847,2017-02-15,8,8.0575485,3500.0,3500.0,10.0,PG/SG,PG/SG,PG
Jordan McRae,21600835,2017-02-15,0,0.3686133,3000.0,3000.0,10.0,SG,SG,SG
Harrison Barnes,21600839,2017-02-15,16,18.859188,5700.0,5700.0,26.0,SF/PF,SF/PF,PF
Ben McLemore,21600847,2017-02-15,9,9.002431,4500.0,4500.0,10.0,SG,SG,SG
CJ McCollum,21600843,2017-02-15,18,18.413754,7400.0,7400.0,33.0,PG/SG,PG/SG,SG
Jae Crowder,21600849,2017-02-16,7,11.121141,5600.0,5600.0,23.0,SF,SF,SF
Steven Adams,21600845,2017-02-15,11,10.534226,5900.0,5900.0,21.0,C,C,C
Klay Thompson,21600847,2017-02-15,35,34.28866,6500.0,6500.0,28.0,SG,SG,SG
D'Angelo Russell,21600844,2017-02-15,21,20.516462,6100.0,6100.0,26.0,PG,PG,PG
Rudy Gobert,21600843,2017-02-15,13,11.756592,7400.0,7400.0,30.0,C,C,C
Jon Leuer,21600839,2017-02-15,20,18.501268,4600.0,4600.0,15.0,PF,PF,PF
Giannis Antetokounmpo,21600838,2017-02-15,33,29.569973,10800.0,10800.0,53.0,PG/SF,PG/SF,PG
Michael Kidd-Gilchrist,21600837,2017-02-15,6,6.9656696,4900.0,4900.0,17.0,SF,SF,SF
Robert Covington,21600836,2017-02-15,18,18.15484,6400.0,6400.0,23.0,SF,SF,SF
Marc Gasol,21600840,2017-02-15,15,18.562918,7500.0,7500.0,34.0,C,C,C
Eric Bledsoe,21600844,2017-02-15,25,25.205723,8600.0,8600.0,39.0,PG,PG,PG
Trey Lyles,21600843,2017-02-15,0,0.82029396,3000.0,3000.0,10.0,PF,PF,PF
Greg Monroe,21600838,2017-02-15,25,23.61221,5400.0,5400.0,15.0,C,C,C
George Hill,21600843,2017-02-15,19,16.393414,5800.0,5800.0,25.0,PG,PG,PG
Kyrie Irving,21600835,2017-02-15,26,25.72543,8400.0,8400.0,39.0,PG,PG,PG
Isaiah Thomas,21600836,2017-02-15,33,36.09001,9400.0,9400.0,48.0,PG,PG,PG
Dion Waiters,21600841,2017-02-15,23,22.150673,7000.0,7000.0,24.0,SG/SF,SG/SF,SG
Lou Williams,21600844,2017-02-15,21,19.860971,5800.0,5800.0,21.0,SG,SG,SG
Derrick Rose,21600845,2017-02-15,25,22.9195,5800.0,5800.0,24.0,PG,PG,PG
Alex Len,21600844,2017-02-15,15,13.435816,3800.0,3800.0,11.0,C,C,C
Kyle Korver,21600835,2017-02-15,22,24.063425,4400.0,4400.0,11.0,SG/SF,SG/SF,SG
Jameer Nelson,21600842,2017-02-15,16,16.231459,6000.0,6000.0,15.0,PG,PG,PG
Frank Kaminsky,21600837,2017-02-15,27,22.471827,6000.0,6000.0,15.0,PF/C,PF/C,PF
Carmelo Anthony,21600845,2017-02-15,30,27.671875,7600.0,7600.0,36.0,SF,SF,SF
LeBron James,21600835,2017-02-15,31,27.751438,10500.0,10500.0,54.0,SF,SF,SF
Brook Lopez,21600838,2017-02-15,36,32.43361,6700.0,6700.0,27.0,C,C,C
Andrew Wiggins,21600842,2017-02-15,40,39.34306,7900.0,7900.0,33.0,SF,SF,SF
Russell Westbrook,21600845,2017-02-15,38,36.864197,12500.0,12500.0,62.0,PG,PG,PG
Monta Ellis,21600835,2017-02-15,14,10.175848,3700.0,3700.0,10.0,SG,SG,SG
Karl-Anthony Towns,21600842,2017-02-15,24,21.291708,10200.0,10200.0,47.0,PF/C,PF/C,C
Mike Conley,21600840,2017-02-15,17,16.800327,7500.0,7500.0,31.0,PG,PG,PG
Dirk Nowitzki,21600839,2017-02-15,24,20.054092,5500.0,5500.0,16.0,PF/C,PF/C,C
Myles Turner,21600835,2017-02-15,15,12.746164,5900.0,5900.0,24.0,C,C,C
JJ Redick,21600846,2017-02-15,15,14.122627,4500.0,4500.0,15.0,SG,SG,SG
