Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Nikola Vucevic,21.0,PHI,Big,758,26,-2.4%,29,-2.0%,13,-5.9%,49,-0.2%,25,-2.6%,42,-1.8%,19,-3.9%,20,-3.7%
Dwyane Wade,29.8,MIA,Wing,1616,86,+2.7%,93,+5.0%,77,+3.1%,51,+0.0%,68,+1.4%,72,+3.9%,51,-0.1%,65,+1.3%
Von Wafer,26.3,ORL,Wing,404,16,-3.0%,64,+1.1%,66,+1.6%,29,-2.0%,47,-0.4%,81,+5.9%,8,-6.9%,12,-5.0%
Henry Walker,24.1,NYK,Wing,595,26,-2.4%,47,-0.4%,50,+0.2%,73,+2.2%,68,+1.4%,73,+3.9%,8,-7.0%,16,-4.2%
Kemba Walker,21.5,CHA,Combo,1683,34,-1.6%,85,+3.4%,35,-1.7%,63,+0.9%,54,+0.2%,3,-17.5%,5,-8.3%,2,-10.0%
John Wall,21.2,WAS,Point,2374,54,+0.1%,21,-3.1%,78,+3.2%,39,-0.7%,61,+0.9%,96,+13.5%,12,-5.8%,57,+0.4%
Ben Wallace,37.1,DET,Big,921,6,-5.0%,14,-4.3%,26,-3.0%,51,-0.1%,35,-1.3%,25,-5.0%,6,-8.1%,6,-7.3%
Gerald Wallace,29.3,POR,Forward,1496,71,+1.3%,73,+2.0%,89,+5.5%,30,-1.9%,64,+1.0%,15,-8.7%,56,+0.5%,23,-3.1%
Gerald Wallace,29.3,NJN,Forward,570,61,+0.5%,92,+4.6%,2,-12.4%,53,+0.1%,14,-4.2%,67,+2.9%,26,-3.0%,40,-1.2%
Luke Walton,31.6,CLE,Big,235,59,+0.4%,17,-3.6%,82,+4.0%,100,+8.8%,98,+6.5%,12,-9.6%,53,+0.1%,28,-2.4%
Hakim Warrick,29.3,PHX,Forward,430,1,-7.6%,2,-8.8%,8,-7.6%,23,-2.9%,9,-4.8%,17,-8.1%,17,-4.4%,11,-5.3%
CJ Watson,27.5,CHI,Point,1138,23,-2.5%,52,+0.0%,49,+0.0%,5,-7.2%,10,-4.8%,79,+4.7%,45,-0.9%,59,+0.7%
Earl Watson,32.4,UTA,Point,1010,12,-3.4%,34,-1.6%,18,-4.6%,13,-4.7%,11,-4.6%,32,-3.8%,3,-9.8%,4,-8.5%
Martell Webster,24.9,MIN,Wing,1136,79,+2.0%,32,-1.8%,66,+1.7%,86,+3.7%,84,+2.8%,64,+2.4%,59,+0.8%,63,+1.1%
David West,31.2,IND,Big,1922,81,+2.3%,43,-0.8%,98,+9.7%,95,+6.1%,99,+7.7%,5,-13.8%,53,+0.1%,17,-4.1%
Delonte West,28.3,DAL,Combo,1039,25,-2.5%,23,-2.7%,28,-2.5%,39,-0.8%,33,-1.5%,30,-4.0%,37,-1.7%,29,-2.3%
Russell Westbrook,23.0,OKC,Point,2327,29,-2.2%,42,-0.8%,23,-3.6%,21,-3.4%,18,-3.4%,49,-0.3%,68,+1.7%,58,+0.6%
DJ White,25.2,CHA,Big,978,59,+0.4%,61,+0.8%,24,-3.4%,84,+3.6%,70,+1.6%,77,+4.5%,33,-2.1%,42,-1.0%
Chris Wilcox,29.2,BOS,Big,478,32,-2.0%,50,-0.1%,75,+2.6%,40,-0.7%,55,+0.3%,6,-13.4%,31,-2.4%,7,-6.0%
Damien Wilkins,31.8,DET,Wing,792,43,-0.8%,45,-0.5%,89,+5.5%,28,-2.1%,64,+1.1%,64,+2.4%,10,-6.5%,15,-4.5%
Deron Williams,27.3,NJN,Point,1992,87,+2.8%,81,+3.0%,80,+3.7%,42,-0.5%,63,+1.0%,28,-4.2%,80,+3.5%,69,+1.5%
Derrick Williams,20.4,MIN,Forward,1377,52,+0.0%,82,+3.0%,11,-6.5%,83,+3.5%,40,-0.9%,20,-6.5%,54,+0.3%,35,-1.6%
Jordan Williams,21.1,NJN,Big,574,78,+1.9%,20,-3.3%,71,+2.3%,93,+4.8%,90,+3.9%,96,+13.1%,52,+0.0%,87,+3.7%
Lou Williams,25.0,PHI,Point,1626,69,+1.1%,39,-1.2%,73,+2.4%,84,+3.6%,86,+3.1%,27,-4.5%,35,-1.9%,28,-2.4%
Marvin Williams,25.4,ATL,Forward,1454,26,-2.4%,18,-3.4%,32,-2.0%,46,-0.4%,39,-1.0%,37,-2.6%,38,-1.6%,32,-1.9%
Mo Williams,28.9,LAC,Combo,1444,23,-2.5%,57,+0.6%,29,-2.4%,20,-3.6%,21,-3.2%,48,-0.5%,35,-1.9%,37,-1.5%
Reggie Williams,25.1,CHA,Wing,673,57,+0.3%,44,-0.5%,59,+1.1%,42,-0.6%,51,-0.0%,22,-5.8%,75,+2.7%,66,+1.3%
Shawne Williams,25.7,NJN,Forward,479,22,-2.6%,42,-0.9%,5,-9.7%,18,-3.9%,5,-6.2%,51,-0.1%,40,-1.4%,42,-1.1%
Shelden Williams,28.0,NJN,Big,1262,49,-0.3%,49,-0.2%,30,-2.2%,51,-0.1%,40,-0.9%,34,-3.3%,66,+1.5%,54,+0.2%
Terrence Williams,24.3,HOU,Forward,142,28,-2.3%,96,+6.1%,54,+0.5%,5,-7.3%,20,-3.2%,12,-9.6%,9,-6.7%,5,-7.8%
Terrence Williams,24.3,SAC,Wing,355,67,+1.0%,5,-6.6%,100,+11.9%,98,+7.0%,100,+9.0%,92,+10.2%,83,+3.9%,95,+5.9%
Metta World Peace,32.0,LAL,Wing,1715,40,-1.0%,74,+2.1%,11,-6.5%,52,+0.0%,20,-3.2%,35,-3.0%,49,-0.6%,39,-1.3%
Brandan Wright,24.1,DAL,Big,737,88,+2.9%,95,+6.0%,36,-1.6%,76,+2.4%,58,+0.6%,92,+10.3%,21,-3.8%,47,-0.5%
Chris Wright,23.1,GSW,Forward,142,6,-5.2%,3,-8.5%,100,+13.8%,15,-4.3%,74,+1.9%,16,-8.2%,5,-9.0%,3,-9.6%
Dorell Wright,25.9,GSW,Wing,1646,38,-1.2%,86,+3.5%,20,-3.9%,41,-0.6%,28,-2.0%,47,-0.5%,11,-5.9%,17,-4.1%
Jianlian Yi,24.0,DAL,Big,142,2,-7.4%,1,-10.1%,18,-4.7%,9,-5.5%,10,-4.7%,66,+2.6%,8,-6.9%,10,-5.3%
Nick Young,26.4,WAS,Wing,1197,27,-2.3%,8,-5.5%,54,+0.7%,33,-1.4%,48,-0.3%,50,-0.2%,43,-1.1%,44,-0.9%
Nick Young,26.4,LAC,Wing,502,29,-2.2%,27,-2.3%,21,-3.8%,25,-2.5%,21,-3.2%,79,+4.9%,13,-5.3%,41,-1.2%
Sam Young,26.4,MEM,Wing,192,46,-0.6%,26,-2.5%,47,-0.3%,94,+5.2%,84,+2.8%,6,-13.6%,12,-5.7%,5,-8.1%
Sam Young,26.4,PHI,Wing,120,2,-7.2%,4,-7.1%,30,-2.2%,2,-8.8%,5,-6.3%,8,-11.9%,12,-5.6%,7,-6.6%
Thaddeus Young,23.4,PHI,Big,1720,92,+3.8%,87,+3.7%,31,-2.1%,80,+3.0%,60,+0.8%,97,+13.7%,94,+6.6%,98,+8.2%
