Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Blake Griffin,22.6,LAC,Big,2383,99,+6.1%,98,+8.0%,46,-0.6%,88,+4.0%,78,+2.4%,38,-2.5%,85,+4.1%,74,+2.0%
Hamed Haddadi,26.5,MEM,Big,184,50,-0.1%,64,+1.2%,65,+1.5%,67,+1.4%,62,+1.0%,14,-9.1%,2,-10.3%,2,-10.0%
Jordan Hamilton,21.1,DEN,Wing,229,70,+1.2%,46,-0.4%,84,+4.2%,98,+7.2%,97,+5.6%,43,-1.7%,72,+2.2%,62,+0.9%
Richard Hamilton,33.7,CHI,Wing,695,74,+1.5%,66,+1.3%,73,+2.5%,99,+7.5%,97,+5.8%,19,-7.0%,43,-1.0%,25,-2.7%
Tyler Hansbrough,26.0,IND,Big,1371,10,-4.0%,38,-1.3%,5,-9.7%,14,-4.6%,3,-7.0%,85,+7.0%,24,-3.3%,51,-0.2%
Luke Harangody,23.8,CLE,Big,173,28,-2.3%,35,-1.6%,24,-3.1%,65,+1.1%,40,-0.8%,21,-6.4%,50,-0.2%,37,-1.4%
James Harden,22.2,OKC,Wing,1873,95,+4.4%,65,+1.3%,96,+7.6%,43,-0.5%,82,+2.7%,68,+3.3%,77,+3.2%,84,+3.4%
Josh Harrellson,22.7,NYK,Big,475,52,+0.0%,16,-3.7%,9,-7.2%,73,+2.1%,41,-0.8%,73,+4.0%,81,+3.6%,87,+3.8%
Al Harrington,31.7,DEN,Big,1751,59,+0.5%,45,-0.5%,32,-1.9%,26,-2.3%,28,-2.1%,89,+9.2%,10,-6.3%,42,-1.2%
Devin Harris,28.7,UTA,Point,1738,91,+3.6%,71,+1.8%,77,+3.2%,91,+4.5%,90,+3.7%,85,+7.4%,98,+10.0%,99,+9.5%
Manny Harris,22.1,CLE,Wing,391,27,-2.3%,39,-1.1%,96,+7.6%,20,-3.6%,72,+1.8%,19,-7.1%,7,-7.5%,5,-7.5%
Terrel Harris,24.2,MIA,Combo,277,5,-5.6%,12,-4.6%,11,-6.5%,8,-5.7%,5,-6.0%,7,-12.8%,13,-5.6%,4,-8.5%
Tobias Harris,19.3,MIL,Forward,403,33,-1.7%,68,+1.6%,3,-10.4%,57,+0.4%,14,-4.2%,12,-9.7%,36,-1.8%,18,-3.9%
Udonis Haslem,31.4,MIA,Big,1548,4,-5.8%,6,-6.3%,15,-5.5%,31,-1.8%,17,-3.4%,30,-3.9%,13,-5.5%,12,-5.0%
Spencer Hawes,23.5,PHI,Big,918,64,+0.8%,73,+2.0%,95,+7.5%,30,-1.9%,78,+2.2%,23,-5.7%,16,-4.5%,13,-4.8%
Chuck Hayes,28.4,SAC,Big,1026,54,+0.1%,33,-1.7%,75,+2.7%,68,+1.6%,76,+2.1%,80,+5.1%,46,-0.8%,60,+0.8%
Gordon Hayward,21.6,UTA,Wing,1999,82,+2.4%,41,-1.0%,80,+3.6%,92,+4.6%,92,+4.0%,57,+0.9%,95,+6.9%,94,+5.6%
Brendan Haywood,31.9,DAL,Big,1143,51,-0.1%,44,-0.6%,80,+3.6%,55,+0.3%,73,+1.8%,7,-12.1%,75,+2.8%,45,-0.9%
Gerald Henderson,23.9,CHA,Wing,1811,78,+2.0%,80,+2.8%,72,+2.3%,64,+1.0%,68,+1.4%,21,-6.3%,80,+3.5%,73,+2.0%
Xavier Henry,20.6,NOH,Wing,721,19,-2.7%,49,-0.2%,31,-2.2%,5,-7.6%,8,-5.2%,33,-3.4%,51,0.0%,43,-1.0%
Roy Hibbert,24.9,IND,Big,1933,97,+4.8%,73,+2.1%,98,+9.2%,98,+7.4%,100,+8.1%,41,-2.0%,78,+3.3%,71,+1.7%
JJ Hickson,23.2,SAC,Big,620,34,-1.6%,88,+3.7%,31,-2.1%,32,-1.6%,30,-1.9%,89,+9.0%,20,-3.9%,45,-0.7%
JJ Hickson,23.2,POR,Big,595,80,+2.2%,98,+7.8%,2,-12.6%,75,+2.3%,19,-3.3%,93,+10.7%,36,-1.8%,72,+1.8%
Cory Higgins,22.4,CHA,Combo,285,41,-0.9%,65,+1.3%,64,+1.5%,27,-2.2%,38,-1.1%,94,+11.4%,1,-12.2%,9,-5.7%
Nene Hilario,29.1,DEN,Big,825,75,+1.7%,75,+2.3%,46,-0.3%,69,+1.7%,58,+0.6%,82,+6.0%,46,-0.8%,69,+1.5%
Nene Hilario,29.1,WAS,Big,271,92,+3.8%,94,+5.3%,18,-4.7%,93,+4.8%,70,+1.5%,98,+18.6%,8,-6.9%,84,+3.4%
George Hill,25.5,IND,Combo,1253,38,-1.2%,67,+1.5%,16,-5.0%,32,-1.4%,20,-3.2%,47,-0.6%,30,-2.5%,33,-1.9%
Grant Hill,39.1,PHX,Forward,1376,93,+4.0%,87,+3.6%,92,+6.5%,84,+3.6%,95,+4.8%,69,+3.4%,82,+3.7%,87,+3.7%
Jordan Hill,24.3,HOU,Big,438,61,+0.6%,97,+7.0%,73,+2.5%,64,+1.1%,75,+1.9%,89,+8.9%,10,-6.5%,25,-2.8%
Kirk Hinrich,30.8,ATL,Combo,1211,72,+1.4%,93,+5.0%,72,+2.3%,37,-1.0%,54,+0.2%,72,+3.8%,20,-3.9%,40,-1.2%
Jrue Holiday,21.4,PHI,Combo,2177,48,-0.3%,30,-1.9%,23,-3.5%,71,+1.9%,46,-0.4%,60,+1.6%,76,+2.9%,76,+2.2%
Ryan Hollins,27.1,CLE,Big,346,22,-2.6%,28,-2.1%,5,-9.6%,52,+0.0%,8,-5.2%,56,+0.9%,50,-0.2%,54,+0.1%
Ryan Hollins,27.1,BOS,Big,147,12,-3.5%,26,-2.4%,90,+6.0%,34,-1.3%,65,+1.1%,12,-9.9%,0,-13.8%,0,-11.9%
Al Horford,25.4,ATL,Big,347,68,+1.1%,64,+1.2%,57,+0.8%,13,-4.9%,20,-3.2%,72,+3.9%,92,+6.0%,92,+5.2%
Dwight Howard,25.9,ORL,Big,2063,91,+3.5%,56,+0.4%,52,+0.3%,53,+0.1%,57,+0.5%,69,+3.6%,86,+4.5%,89,+4.4%
Josh Howard,31.5,UTA,Wing,972,15,-3.1%,39,-1.1%,34,-1.7%,26,-2.3%,29,-2.0%,97,+15.3%,2,-11.2%,8,-5.8%
Juwan Howard,38.7,MIA,Big,118,1,-8.0%,0,-15.5%,5,-9.6%,97,+6.9%,37,-1.1%,0,-28.3%,88,+4.8%,6,-6.9%
Lester Hudson,27.2,CLE,Combo,261,93,+4.1%,100,+9.5%,74,+2.6%,1,-10.2%,13,-4.3%,98,+17.9%,33,-2.2%,84,+3.4%
Larry Hughes,32.8,ORL,Combo,102,0,-11.9%,6,-6.1%,0,-26.5%,99,+7.7%,7,-5.7%,4,-14.5%,0,-17.2%,0,-16.3%
Kris Humphries,26.7,NJN,Big,2154,92,+3.7%,66,+1.4%,83,+4.1%,79,+3.0%,88,+3.4%,74,+4.2%,84,+4.0%,88,+4.0%
Serge Ibaka,22.1,OKC,Big,1786,26,-2.4%,57,+0.5%,37,-1.5%,50,-0.1%,42,-0.7%,42,-1.8%,33,-2.1%,26,-2.6%
Andre Iguodala,27.8,PHI,Wing,2194,46,-0.6%,41,-0.9%,52,+0.4%,44,-0.5%,50,-0.1%,21,-6.4%,80,+3.5%,67,+1.4%
Ersan Ilyasova,24.5,MIL,Big,1643,46,-0.6%,24,-2.7%,50,+0.2%,77,+2.7%,71,+1.7%,84,+6.5%,16,-4.6%,35,-1.6%
Kyrie Irving,19.6,CLE,Combo,1551,98,+5.1%,92,+4.7%,74,+2.6%,49,-0.2%,65,+1.2%,80,+5.1%,83,+3.9%,88,+4.2%
Royal Ivey,29.9,OKC,Wing,264,89,+3.1%,92,+4.6%,100,+13.1%,79,+2.9%,99,+7.1%,35,-3.2%,14,-5.3%,15,-4.4%
Jarrett Jack,28.0,NOH,Point,1526,21,-2.6%,17,-3.5%,72,+2.3%,30,-1.9%,51,-0.0%,4,-14.2%,67,+1.5%,24,-2.9%
Reggie Jackson,21.5,OKC,Point,405,67,+1.0%,47,-0.4%,99,+10.4%,74,+2.2%,97,+5.9%,9,-11.2%,28,-2.7%,16,-4.2%
Stephen Jackson,33.6,MIL,Wing,709,39,-1.2%,60,+0.8%,86,+4.9%,8,-5.7%,35,-1.3%,57,+1.1%,23,-3.5%,29,-2.3%
Stephen Jackson,33.6,SAS,Wing,471,72,+1.3%,53,+0.2%,87,+5.2%,6,-6.8%,44,-0.6%,34,-3.3%,68,+1.7%,53,+0.1%
Damion James,24.1,NJN,Forward,166,7,-4.9%,31,-1.9%,2,-12.2%,36,-1.1%,6,-5.9%,17,-8.1%,42,-1.3%,22,-3.3%
LeBron James,26.8,MIA,Forward,2317,98,+4.9%,94,+5.2%,99,+9.9%,88,+4.0%,98,+6.5%,48,-0.5%,77,+3.1%,72,+1.8%
Antawn Jamison,35.4,CLE,Forward,2146,94,+4.2%,91,+4.6%,87,+5.1%,33,-1.4%,76,+2.1%,99,+19.0%,29,-2.6%,78,+2.4%
Al Jefferson,26.8,UTA,Big,2065,99,+5.8%,84,+3.3%,98,+9.2%,95,+5.7%,99,+7.4%,58,+1.3%,99,+12.4%,99,+10.0%
Richard Jefferson,31.4,SAS,Wing,1152,11,-3.8%,39,-1.1%,19,-4.3%,6,-6.8%,7,-5.2%,66,+2.6%,55,+0.4%,67,+1.4%
Richard Jefferson,31.4,GSW,Forward,576,43,-0.8%,27,-2.3%,11,-6.4%,95,+6.1%,70,+1.5%,27,-4.5%,16,-4.6%,14,-4.6%
Jared Jeffries,29.9,NYK,Big,715,19,-2.8%,40,-1.0%,50,+0.2%,73,+2.1%,69,+1.5%,10,-10.8%,21,-3.8%,9,-5.7%
Charles Jenkins,22.7,GSW,Point,852,8,-4.7%,15,-4.2%,58,+0.9%,39,-0.9%,54,+0.2%,15,-8.6%,4,-9.4%,3,-9.0%
Brandon Jennings,22.1,MIL,Combo,2317,69,+1.1%,48,-0.3%,86,+4.9%,54,+0.2%,73,+1.9%,62,+2.3%,32,-2.2%,43,-1.0%
Jonas Jerebko,24.7,DET,Big,1370,57,+0.4%,81,+2.9%,36,-1.6%,52,+0.1%,43,-0.7%,33,-3.6%,37,-1.8%,29,-2.3%
Amir Johnson,24.5,TOR,Big,1537,62,+0.6%,89,+4.1%,49,+0.2%,78,+2.8%,72,+1.8%,10,-10.6%,44,-1.0%,21,-3.5%
Armon Johnson,22.7,NJN,Combo,115,4,-6.3%,7,-5.9%,17,-5.0%,3,-8.6%,4,-6.8%,78,+4.6%,12,-5.7%,26,-2.5%
Carldell Johnson,28.8,NOH,Point,105,70,+1.2%,8,-5.5%,95,+7.5%,54,+0.2%,90,+3.7%,0,-32.2%,98,+10.6%,93,+5.4%
Ivan Johnson,27.6,ATL,Big,833,42,-0.9%,66,+1.3%,28,-2.5%,91,+4.4%,75,+2.0%,10,-10.8%,36,-1.8%,12,-5.0%
JaJuan Johnson,22.7,BOS,Big,206,16,-3.0%,83,+3.1%,7,-8.6%,14,-4.5%,6,-5.9%,91,+9.9%,10,-6.3%,44,-0.9%
James Johnson,24.7,TOR,Forward,1519,49,-0.2%,59,+0.8%,80,+3.7%,27,-2.2%,49,-0.2%,81,+5.7%,9,-6.7%,19,-3.7%
Joe Johnson,30.3,ATL,Wing,2119,91,+3.5%,95,+6.0%,74,+2.6%,35,-1.2%,53,+0.2%,55,+0.6%,86,+4.4%,83,+3.3%
Wesley Johnson,24.3,MIN,Wing,1458,50,-0.1%,56,+0.5%,91,+6.0%,13,-4.6%,54,+0.2%,36,-2.9%,57,+0.7%,49,-0.3%
Dahntay Jones,30.8,IND,Wing,920,17,-2.9%,46,-0.4%,9,-7.5%,11,-5.2%,5,-6.3%,71,+3.7%,56,+0.5%,66,+1.3%
Dominique Jones,23.0,DAL,Point,204,3,-6.6%,12,-4.8%,7,-8.2%,5,-7.4%,2,-8.0%,53,+0.3%,6,-7.9%,10,-5.5%
James Jones,31.1,MIA,Wing,578,53,+0.1%,77,+2.5%,14,-5.6%,31,-1.8%,19,-3.3%,25,-5.1%,89,+5.0%,66,+1.3%
Solomon Jones,27.3,NOH,Big,193,1,-7.7%,72,+1.9%,67,+1.8%,0,-23.2%,0,-12.6%,1,-28.2%,93,+6.2%,7,-6.0%
DeAndre Jordan,23.3,LAC,Big,1789,82,+2.4%,65,+1.3%,71,+2.1%,86,+3.8%,88,+3.3%,39,-2.4%,59,+0.8%,51,-0.1%
Cory Joseph,20.2,SAS,Combo,227,4,-5.8%,2,-8.9%,16,-5.1%,88,+4.0%,42,-0.8%,12,-9.8%,16,-4.5%,7,-6.1%
Chris Kaman,29.5,NOH,Big,1367,81,+2.3%,33,-1.8%,49,-0.1%,87,+3.9%,77,+2.1%,95,+11.8%,89,+5.0%,97,+7.1%
Enes Kanter,19.4,UTA,Big,823,3,-6.8%,14,-4.2%,6,-8.9%,6,-6.7%,2,-7.8%,8,-12.1%,1,-11.6%,1,-11.7%
Jason Kapono,30.7,LAL,Wing,254,90,+3.1%,55,+0.3%,76,+3.1%,93,+5.0%,92,+4.1%,26,-4.7%,93,+6.2%,81,+3.0%
Jason Kidd,38.6,DAL,Point,1375,36,-1.4%,49,-0.2%,30,-2.2%,34,-1.3%,30,-1.9%,9,-11.1%,62,+1.1%,34,-1.7%
Linas Kleiza,26.8,TOR,Forward,1018,63,+0.7%,10,-5.3%,57,+0.9%,81,+3.3%,80,+2.5%,22,-5.9%,92,+5.8%,80,+2.8%
