player_name,game_date,stl,stl_pred
DeAndre Jordan,2017-11-05,0.0,0.57961214
DeAndre Jordan,2017-11-07,0.0,0.7355325
DeAndre Jordan,2017-11-10,1.0,0.8415843
DeAndre Jordan,2017-11-11,2.0,1.2240828
DeMar DeRozan,2017-11-01,0.0,0.7783786
DeMar DeRozan,2017-11-03,0.0,1.1357429
DeMar DeRozan,2017-11-05,0.0,1.5253608
DeMar DeRozan,2017-11-07,0.0,1.3679156
DeMar DeRozan,2017-11-09,1.0,1.9086517
DeMar DeRozan,2017-11-12,0.0,1.5717852
DeMar DeRozan,2017-11-14,1.0,2.0486379
DeMar DeRozan,2017-11-15,2.0,1.8049285
DeMar DeRozan,2017-11-17,1.0,1.5271229
DeMarcus Cousins,2017-11-01,6.0,2.7618635
DeMarcus Cousins,2017-11-03,1.0,1.9067792
DeMarcus Cousins,2017-11-04,1.0,2.0452304
DeMarcus Cousins,2017-11-07,0.0,2.0994766
DeMarcus Cousins,2017-11-09,1.0,2.249074
DeMarcus Cousins,2017-11-11,0.0,2.2507148
DeMarcus Cousins,2017-11-13,3.0,2.5891664
DeMarcus Cousins,2017-11-15,4.0,2.326546
DeMarcus Cousins,2017-11-17,0.0,2.3766108
Dennis Schroder,2017-11-03,0.0,0.48409265
Dennis Schroder,2017-11-05,0.0,1.0248766
Dennis Schroder,2017-11-06,2.0,1.0991051
Dennis Schroder,2017-11-10,2.0,1.3336455
Dennis Schroder,2017-11-11,0.0,1.0647366
Devin Booker,2017-11-17,0.0,0.66103065
Draymond Green,2017-10-30,2.0,1.230799
Draymond Green,2017-11-02,1.0,1.1957393
Draymond Green,2017-11-04,2.0,0.878816
Draymond Green,2017-11-06,0.0,0.69011426
Draymond Green,2017-11-08,0.0,0.660437
Draymond Green,2017-11-11,2.0,0.93479013
Draymond Green,2017-11-13,2.0,1.0250295
Draymond Green,2017-11-16,1.0,0.85341895
Dwight Howard,2017-11-05,1.0,0.52893406
Dwight Howard,2017-11-10,1.0,0.4568898
Dwight Howard,2017-11-15,0.0,0.25703645
Giannis Antetokounmpo,2017-10-31,0.0,0.6495093
Giannis Antetokounmpo,2017-11-01,2.0,0.9370013
Giannis Antetokounmpo,2017-11-03,1.0,0.74055856
Giannis Antetokounmpo,2017-11-07,0.0,0.64639723
Giannis Antetokounmpo,2017-11-10,1.0,0.46490002
Giannis Antetokounmpo,2017-11-11,1.0,0.8010496
Giannis Antetokounmpo,2017-11-13,2.0,1.356736
Giannis Antetokounmpo,2017-11-15,3.0,1.6057675
Hassan Whiteside,2017-11-10,3.0,1.4583852
Hassan Whiteside,2017-11-12,1.0,1.321181
Hassan Whiteside,2017-11-15,0.0,0.96212876
Hassan Whiteside,2017-11-17,0.0,1.1483347
James Harden,2017-10-30,4.0,1.7184603
James Harden,2017-11-01,0.0,1.4876249
James Harden,2017-11-03,1.0,1.6574079
James Harden,2017-11-05,2.0,2.2192411
James Harden,2017-11-09,5.0,2.413553
James Harden,2017-11-11,0.0,1.9067512
James Harden,2017-11-12,2.0,1.7109642
James Harden,2017-11-14,0.0,1.0980628
James Harden,2017-11-16,2.0,0.66665894
Jimmy Butler,2017-11-04,0.0,0.99960977
Jimmy Butler,2017-11-05,1.0,1.7769808
Jimmy Butler,2017-11-08,2.0,1.8859258
Jimmy Butler,2017-11-15,3.0,1.8593144
Jimmy Butler,2017-11-17,2.0,1.5881008
Joel Embiid,2017-11-01,3.0,1.502413
Joel Embiid,2017-11-03,2.0,1.1075745
Joel Embiid,2017-11-09,0.0,0.73000044
Joel Embiid,2017-11-11,1.0,0.4564103
Joel Embiid,2017-11-13,0.0,0.39504516
Joel Embiid,2017-11-15,0.0,0.28717536
John Wall,2017-11-01,3.0,1.3155122
John Wall,2017-11-03,1.0,1.0792183
John Wall,2017-11-07,1.0,1.1362076
John Wall,2017-11-09,2.0,1.2241269
John Wall,2017-11-11,1.0,0.953445
John Wall,2017-11-13,1.0,1.0233983
John Wall,2017-11-15,1.0,1.1721549
John Wall,2017-11-17,0.0,1.4841717
Jusuf Nurkic,2017-11-07,1.0,0.81472385
Jusuf Nurkic,2017-11-10,0.0,1.0906861
Jusuf Nurkic,2017-11-13,0.0,0.80021954
Jusuf Nurkic,2017-11-15,0.0,1.1667855
Jusuf Nurkic,2017-11-17,2.0,1.2735946
Karl-Anthony Towns,2017-10-30,1.0,0.91886604
Karl-Anthony Towns,2017-11-01,1.0,0.8658813
Karl-Anthony Towns,2017-11-04,0.0,0.7440667
Karl-Anthony Towns,2017-11-05,0.0,0.7905314
Karl-Anthony Towns,2017-11-08,1.0,0.92082155
Karl-Anthony Towns,2017-11-11,1.0,0.97653604
Karl-Anthony Towns,2017-11-13,1.0,0.78185153
Karl-Anthony Towns,2017-11-15,1.0,1.0117372
Karl-Anthony Towns,2017-11-17,1.0,0.6306454
Kemba Walker,2017-10-30,1.0,0.7485454
Kemba Walker,2017-11-01,0.0,0.86798036
Kemba Walker,2017-11-03,1.0,0.8422085
Kemba Walker,2017-11-05,1.0,0.8175186
Kemba Walker,2017-11-10,1.0,0.8797542
Kemba Walker,2017-11-15,0.0,0.7067255
Kemba Walker,2017-11-17,0.0,0.7743989
Kevin Durant,2017-10-30,0.0,0.4170386
Kevin Durant,2017-11-02,0.0,0.35016063
Kevin Durant,2017-11-04,0.0,0.2880514
Kevin Durant,2017-11-06,1.0,0.7333734
Kevin Durant,2017-11-11,2.0,0.5174171
Kevin Durant,2017-11-13,0.0,0.7438246
Kevin Durant,2017-11-16,1.0,0.8405603
Kevin Love,2017-11-01,0.0,0.973715
Kevin Love,2017-11-03,1.0,1.1117116
Kevin Love,2017-11-05,3.0,1.1877997
Kevin Love,2017-11-13,0.0,1.31428
Khris Middleton,2017-11-11,2.0,1.4586922
Kristaps Porzingis,2017-10-30,0.0,0.24154645
Kristaps Porzingis,2017-11-01,0.0,0.50431013
Kristaps Porzingis,2017-11-03,1.0,0.5610671
Kristaps Porzingis,2017-11-05,0.0,0.6013447
Kristaps Porzingis,2017-11-07,0.0,0.5253184
Kristaps Porzingis,2017-11-11,0.0,0.6921356
Kristaps Porzingis,2017-11-13,2.0,0.8020538
Kristaps Porzingis,2017-11-15,0.0,0.6361815
Kristaps Porzingis,2017-11-17,0.0,0.46970794
Kyle Lowry,2017-11-07,0.0,0.40078512
Kyle Lowry,2017-11-09,0.0,0.33695188
Kyle Lowry,2017-11-12,1.0,0.6155783
Kyle Lowry,2017-11-14,1.0,0.5307119
Kyle Lowry,2017-11-17,0.0,0.6493437
Kyrie Irving,2017-11-01,4.0,1.882864
Kyrie Irving,2017-11-03,2.0,1.9341655
Kyrie Irving,2017-11-05,1.0,1.5299075
Kyrie Irving,2017-11-06,0.0,1.5155699
Kyrie Irving,2017-11-08,1.0,1.4146218
Kyrie Irving,2017-11-10,0.0,1.2280617
Kyrie Irving,2017-11-14,1.0,1.8824594
Kyrie Irving,2017-11-16,1.0,1.4704199
LaMarcus Aldridge,2017-10-30,1.0,0.80817664
LaMarcus Aldridge,2017-11-02,2.0,0.6256527
LaMarcus Aldridge,2017-11-03,0.0,0.6188215
LaMarcus Aldridge,2017-11-05,1.0,0.84145916
LaMarcus Aldridge,2017-11-07,1.0,0.74569666
LaMarcus Aldridge,2017-11-10,1.0,0.67347646
LaMarcus Aldridge,2017-11-11,0.0,0.69557965
LaMarcus Aldridge,2017-11-14,1.0,0.75073075
LaMarcus Aldridge,2017-11-15,0.0,0.24048585
LaMarcus Aldridge,2017-11-17,0.0,0.67356265
LeBron James,2017-10-29,2.0,1.3303181
LeBron James,2017-11-01,2.0,1.0972469
LeBron James,2017-11-03,3.0,1.638785
LeBron James,2017-11-05,1.0,1.3904119
