player_name,game_date,tov,tov_pred
LeBron James,2017-11-07,1.0,3.7535527
LeBron James,2017-11-09,8.0,6.426167
LeBron James,2017-11-11,6.0,5.341489
LeBron James,2017-11-13,5.0,5.7097235
LeBron James,2017-11-15,3.0,4.1989264
LeBron James,2017-11-17,6.0,4.4299164
Marc Gasol,2017-10-30,2.0,2.644935
Marc Gasol,2017-11-01,1.0,2.2652283
Marc Gasol,2017-11-05,3.0,4.0986743
Marc Gasol,2017-11-07,2.0,3.236932
Marc Gasol,2017-11-11,3.0,2.8612127
Marc Gasol,2017-11-13,4.0,3.7259736
Marc Gasol,2017-11-15,2.0,3.0963197
Myles Turner,2017-11-15,1.0,1.1004856
Myles Turner,2017-11-17,0.0,1.4960477
Nikola Jokic,2017-10-30,2.0,3.0716152
Nikola Jokic,2017-11-01,0.0,0.77370775
Nikola Jokic,2017-11-03,1.0,2.045773
Nikola Jokic,2017-11-04,1.0,2.5731606
Nikola Jokic,2017-11-07,1.0,3.251975
Nikola Jokic,2017-11-09,3.0,3.8661823
Nikola Jokic,2017-11-11,1.0,2.3908894
Nikola Jokic,2017-11-13,3.0,3.7292576
Nikola Jokic,2017-11-17,2.0,3.8137631
Nikola Vucevic,2017-10-30,0.0,1.6361346
Nikola Vucevic,2017-11-01,4.0,3.470035
Nikola Vucevic,2017-11-03,5.0,3.5995104
Nikola Vucevic,2017-11-08,1.0,2.1846075
Nikola Vucevic,2017-11-10,1.0,1.5123028
Nikola Vucevic,2017-11-11,2.0,1.778594
Nikola Vucevic,2017-11-13,0.0,1.2140043
Nikola Vucevic,2017-11-15,3.0,1.5361196
Paul George,2017-10-28,3.0,3.182231
Paul George,2017-10-31,3.0,3.7867234
Paul George,2017-11-03,2.0,2.7123103
Paul George,2017-11-05,3.0,2.2335668
Paul George,2017-11-07,0.0,2.7637303
Paul George,2017-11-09,4.0,2.5850394
Paul George,2017-11-10,3.0,3.2334905
Paul George,2017-11-12,3.0,3.827729
Paul George,2017-11-15,5.0,4.188971
Paul George,2017-11-17,3.0,3.350923
Ricky Rubio,2017-10-30,3.0,3.356973
Ricky Rubio,2017-11-01,4.0,3.4335434
Ricky Rubio,2017-11-03,4.0,3.4992242
Ricky Rubio,2017-11-05,2.0,3.0546763
Ricky Rubio,2017-11-11,1.0,2.5780602
Ricky Rubio,2017-11-13,3.0,2.619107
Rudy Gobert,2017-10-30,3.0,2.757996
Rudy Gobert,2017-11-01,2.0,2.4522855
Rudy Gobert,2017-11-03,1.0,0.89881945
Rudy Gobert,2017-11-05,0.0,1.1390858
Rudy Gobert,2017-11-07,2.0,1.457425
Rudy Gobert,2017-11-10,1.0,1.6104738
Russell Westbrook,2017-10-28,2.0,2.9420128
Russell Westbrook,2017-10-31,4.0,3.7278724
Russell Westbrook,2017-11-03,6.0,5.5636215
Russell Westbrook,2017-11-05,1.0,4.236979
Russell Westbrook,2017-11-07,7.0,4.7479773
Russell Westbrook,2017-11-09,3.0,4.7456646
Russell Westbrook,2017-11-10,4.0,4.513983
Russell Westbrook,2017-11-12,4.0,4.517065
Russell Westbrook,2017-11-15,4.0,4.3864098
