player_name,game_date,reb,reb_pred
Kyrie Irving,2017-11-16,5.0,1.8836256
LaMarcus Aldridge,2017-10-30,5.0,7.377395
LaMarcus Aldridge,2017-11-02,10.0,7.8831677
LaMarcus Aldridge,2017-11-03,7.0,8.0834675
LaMarcus Aldridge,2017-11-05,9.0,6.6557174
LaMarcus Aldridge,2017-11-07,6.0,6.7505317
LaMarcus Aldridge,2017-11-10,12.0,7.598199
LaMarcus Aldridge,2017-11-11,7.0,6.655204
LaMarcus Aldridge,2017-11-14,5.0,5.7295685
LaMarcus Aldridge,2017-11-15,10.0,7.373989
LeBron James,2017-10-29,10.0,6.736315
LeBron James,2017-11-01,6.0,7.434677
LeBron James,2017-11-03,11.0,7.898779
LeBron James,2017-11-05,5.0,7.0985703
LeBron James,2017-11-07,8.0,4.7181973
LeBron James,2017-11-09,4.0,5.757106
LeBron James,2017-11-11,11.0,9.262316
LeBron James,2017-11-13,9.0,6.6506643
LeBron James,2017-11-15,6.0,7.9727426
Marc Gasol,2017-10-28,7.0,9.394037
Marc Gasol,2017-10-30,7.0,7.989709
Marc Gasol,2017-11-01,9.0,7.431954
Marc Gasol,2017-11-05,10.0,7.5650806
Marc Gasol,2017-11-07,5.0,7.57451
Marc Gasol,2017-11-11,9.0,9.079194
Marc Gasol,2017-11-13,10.0,8.921834
Marc Gasol,2017-11-15,13.0,9.138578
Myles Turner,2017-11-15,5.0,4.912589
Nikola Jokic,2017-10-29,14.0,11.392759
Nikola Jokic,2017-10-30,8.0,9.700052
Nikola Jokic,2017-11-01,16.0,13.015583
Nikola Jokic,2017-11-03,14.0,10.34648
Nikola Jokic,2017-11-04,7.0,8.139874
Nikola Jokic,2017-11-07,12.0,11.028517
Nikola Jokic,2017-11-09,11.0,11.700677
Nikola Jokic,2017-11-11,17.0,11.3664
Nikola Jokic,2017-11-13,7.0,9.26709
Nikola Vucevic,2017-10-30,8.0,4.9080276
Nikola Vucevic,2017-11-01,5.0,4.7327085
Nikola Vucevic,2017-11-03,3.0,3.9627895
Nikola Vucevic,2017-11-08,5.0,4.8740396
Nikola Vucevic,2017-11-10,7.0,5.964858
Nikola Vucevic,2017-11-11,6.0,5.0564003
Nikola Vucevic,2017-11-13,5.0,4.8998117
Nikola Vucevic,2017-11-15,10.0,6.7171354
Paul George,2017-10-28,5.0,4.0212407
Paul George,2017-10-31,3.0,4.834444
Paul George,2017-11-03,10.0,5.356923
Paul George,2017-11-05,5.0,4.7644854
Paul George,2017-11-07,6.0,4.9748383
Paul George,2017-11-09,8.0,5.239868
Paul George,2017-11-10,9.0,5.2499886
Paul George,2017-11-12,8.0,4.9790545
Paul George,2017-11-15,5.0,4.2154903
Ricky Rubio,2017-10-30,2.0,2.6599002
Ricky Rubio,2017-11-01,5.0,3.082095
Ricky Rubio,2017-11-03,0.0,1.3581775
Ricky Rubio,2017-11-05,2.0,3.0078292
Ricky Rubio,2017-11-11,7.0,3.5175116
Ricky Rubio,2017-11-13,0.0,1.3285179
Rudy Gobert,2017-10-28,8.0,9.056787
Rudy Gobert,2017-10-30,12.0,8.260013
Rudy Gobert,2017-11-01,10.0,8.024129
Rudy Gobert,2017-11-03,7.0,7.433154
Rudy Gobert,2017-11-05,5.0,8.812193
Rudy Gobert,2017-11-07,15.0,9.913989
Rudy Gobert,2017-11-10,12.0,8.886566
Russell Westbrook,2017-10-28,13.0,7.154899
Russell Westbrook,2017-10-31,10.0,7.344892
Russell Westbrook,2017-11-03,6.0,6.7885094
Russell Westbrook,2017-11-05,6.0,6.627683
Russell Westbrook,2017-11-07,11.999999,7.0163794
Russell Westbrook,2017-11-09,7.0,6.2292676
Russell Westbrook,2017-11-10,3.0,5.5272293
Russell Westbrook,2017-11-12,6.0,4.569853
Russell Westbrook,2017-11-15,5.0,4.650835
Stephen Curry,2017-10-30,5.0,2.9890914
Stephen Curry,2017-11-02,8.0,2.9426813
Stephen Curry,2017-11-04,0.0,1.3162942
Stephen Curry,2017-11-06,5.0,3.9117723
Stephen Curry,2017-11-08,8.0,4.737716
Stephen Curry,2017-11-11,4.0,4.49702
Stephen Curry,2017-11-16,6.0,4.1960645
Victor Oladipo,2017-11-05,5.0,4.163686
Victor Oladipo,2017-11-10,6.0,4.538889
Victor Oladipo,2017-11-12,4.0,4.360995
Aaron Gordon,2017-11-03,7.0,7.7341638
Aaron Gordon,2017-11-05,12.0,8.79419
Aaron Gordon,2017-11-08,4.0,7.2353945
Aaron Gordon,2017-11-10,7.0,8.0896635
Aaron Gordon,2017-11-11,3.0,7.0859165
