player_name,game_date,blk,blk_pred
Paul George,2017-10-28,0.0,0.08745706
Paul George,2017-10-31,1.0,0.25231904
Paul George,2017-11-03,0.0,-0.045926183
Paul George,2017-11-05,0.0,0.063617036
Paul George,2017-11-07,0.0,0.035573363
Paul George,2017-11-09,1.0,0.17133771
Paul George,2017-11-10,0.0,0.09757504
Paul George,2017-11-12,0.0,0.006780356
Paul George,2017-11-15,1.0,0.28200796
Ricky Rubio,2017-10-30,0.0,0.2258216
Ricky Rubio,2017-11-01,0.0,-0.050387442
Ricky Rubio,2017-11-03,0.0,-0.036354974
Ricky Rubio,2017-11-05,0.0,-0.050474703
Ricky Rubio,2017-11-11,0.0,0.05396487
Ricky Rubio,2017-11-13,0.0,-0.11801496
Rudy Gobert,2017-10-28,3.0,0.9575681
Rudy Gobert,2017-10-30,6.0,2.4419658
Rudy Gobert,2017-11-01,3.0,2.3795266
Rudy Gobert,2017-11-03,2.0,1.3898973
Rudy Gobert,2017-11-05,0.0,0.39235163
Rudy Gobert,2017-11-07,3.0,1.3987277
Rudy Gobert,2017-11-10,2.0,2.016182
Russell Westbrook,2017-10-28,0.0,-0.21221152
Russell Westbrook,2017-10-31,0.0,-0.1670155
Russell Westbrook,2017-11-03,0.0,-0.084222466
Russell Westbrook,2017-11-05,0.0,-0.19092387
Russell Westbrook,2017-11-07,0.0,-0.2548588
Russell Westbrook,2017-11-09,0.0,-0.07707675
Russell Westbrook,2017-11-10,0.0,-0.09396368
Russell Westbrook,2017-11-12,0.0,-0.2814168
Russell Westbrook,2017-11-15,0.0,-0.07214397
Stephen Curry,2017-10-30,1.0,0.1783583
Stephen Curry,2017-11-02,0.0,-0.049413756
Stephen Curry,2017-11-04,0.0,0.08397977
Stephen Curry,2017-11-06,0.0,0.040069595
Stephen Curry,2017-11-08,1.0,0.25267178
Stephen Curry,2017-11-11,0.0,0.033264875
Stephen Curry,2017-11-16,0.0,0.064283684
Victor Oladipo,2017-11-05,1.0,0.2730495
Victor Oladipo,2017-11-10,0.0,-0.17088154
Victor Oladipo,2017-11-12,0.0,0.09507619
Aaron Gordon,2017-11-03,0.0,0.3780444
Aaron Gordon,2017-11-05,1.0,0.39912757
Aaron Gordon,2017-11-08,1.0,0.7787622
Aaron Gordon,2017-11-10,1.0,0.34162602
Aaron Gordon,2017-11-11,1.0,0.6309813
Andre Drummond,2017-10-29,0.0,0.6512805
Andre Drummond,2017-10-31,0.0,1.0447187
Andre Drummond,2017-11-03,2.0,0.8930821
Andre Drummond,2017-11-04,1.0,0.8389093
Andre Drummond,2017-11-08,1.0,1.622686
Andre Drummond,2017-11-10,2.0,1.3288718
Andre Drummond,2017-11-12,1.0,0.6690006
Andre Drummond,2017-11-15,0.0,0.53329337
Andre Drummond,2017-11-17,3.0,0.754944
Anthony Davis,2017-11-03,3.0,2.24942
Anthony Davis,2017-11-04,3.0,2.252806
Anthony Davis,2017-11-07,2.0,1.72809
Anthony Davis,2017-11-09,2.0,2.2083528
Anthony Davis,2017-11-11,2.0,2.1494634
Anthony Davis,2017-11-13,4.0,2.1528373
Anthony Davis,2017-11-15,1.0,1.7324492
Anthony Davis,2017-11-17,-2.9802322e-08,2.0213437
Ben Simmons,2017-11-03,3.0,1.7422996
Ben Simmons,2017-11-07,3.0,1.508384
Ben Simmons,2017-11-09,0.0,0.5792746
Ben Simmons,2017-11-11,0.0,0.54686534
Ben Simmons,2017-11-13,1.0,0.85813844
Ben Simmons,2017-11-15,1.0,0.92091805
Blake Griffin,2017-10-30,0.0,0.27109432
Blake Griffin,2017-11-01,0.0,0.1607867
Blake Griffin,2017-11-05,0.0,0.06388919
Blake Griffin,2017-11-07,0.0,0.2507087
Blake Griffin,2017-11-10,0.0,0.10336541
Blake Griffin,2017-11-11,0.0,0.095376834
Blake Griffin,2017-11-13,1.0,0.23563887
Blake Griffin,2017-11-17,1.0,-0.048674047
Bradley Beal,2017-11-03,0.0,1.0736972
Bradley Beal,2017-11-05,0.0,0.12544307
Bradley Beal,2017-11-07,0.0,0.47809792
Bradley Beal,2017-11-09,0.0,0.8116751
Bradley Beal,2017-11-11,0.0,0.42981017
Bradley Beal,2017-11-13,0.0,0.82740355
Bradley Beal,2017-11-15,0.0,0.33406192
Bradley Beal,2017-11-17,0.0,0.571642
CJ McCollum,2017-11-02,0.0,0.072967455
CJ McCollum,2017-11-05,0.0,0.1715986
Carmelo Anthony,2017-10-28,0.0,0.5288761
Clint Capela,2017-11-14,0.0,0.5485079
D'Angelo Russell,2017-11-06,1.0,0.5685778
Damian Lillard,2017-10-30,1.0,0.8397973
Damian Lillard,2017-11-01,1.0,0.9646493
Damian Lillard,2017-11-02,0.0,0.4553641
Damian Lillard,2017-11-05,1.0,0.66121006
Damian Lillard,2017-11-07,0.0,0.31830448
Damian Lillard,2017-11-10,0.0,0.32397306
Damian Lillard,2017-11-13,0.0,0.45678848
Damian Lillard,2017-11-15,0.0,0.44643623
Damian Lillard,2017-11-17,1.0,0.71448445
DeAndre Jordan,2017-10-30,0.0,0.88285196
DeAndre Jordan,2017-11-01,2.0,0.95787907
DeAndre Jordan,2017-11-05,1.0,0.97937125
DeAndre Jordan,2017-11-07,0.0,0.7037257
DeAndre Jordan,2017-11-10,0.0,0.21087085
DeAndre Jordan,2017-11-11,0.0,0.14039312
DeMar DeRozan,2017-11-01,0.0,0.018539846
DeMar DeRozan,2017-11-03,0.0,0.049867824
DeMar DeRozan,2017-11-05,0.0,0.083314985
DeMar DeRozan,2017-11-07,0.0,-0.013841644
