player_name,game_date,ast,ast_pred
Draymond Green,2017-11-13,5.0,6.2380476
Draymond Green,2017-11-16,5.0,5.782541
Dwight Howard,2017-11-05,1.0,1.265633
Dwight Howard,2017-11-10,3.0,2.246149
Dwight Howard,2017-11-15,2.0,1.7621439
Giannis Antetokounmpo,2017-10-31,3.0,4.0679293
Giannis Antetokounmpo,2017-11-01,5.0,4.5057626
Giannis Antetokounmpo,2017-11-03,3.0,3.7139392
Giannis Antetokounmpo,2017-11-07,3.0,4.192849
Giannis Antetokounmpo,2017-11-10,5.0,4.7793922
Giannis Antetokounmpo,2017-11-11,3.0,4.8720512
Giannis Antetokounmpo,2017-11-13,7.0,4.503602
Giannis Antetokounmpo,2017-11-15,1.0,2.805094
Hassan Whiteside,2017-11-10,0.0,0.3206816
Hassan Whiteside,2017-11-12,0.0,0.121506676
Hassan Whiteside,2017-11-15,0.0,0.4012111
Hassan Whiteside,2017-11-17,1.0,0.25959536
James Harden,2017-10-30,7.0,9.715431
James Harden,2017-11-01,9.0,11.029259
James Harden,2017-11-03,11.0,11.296238
James Harden,2017-11-05,13.0,11.292923
James Harden,2017-11-09,13.0,12.3262825
James Harden,2017-11-11,8.0,10.383452
James Harden,2017-11-12,15.0,11.046872
James Harden,2017-11-14,11.0,11.083682
James Harden,2017-11-16,7.0,9.787485
Jimmy Butler,2017-11-04,7.0,5.339519
Jimmy Butler,2017-11-05,1.0,3.0037618
Jimmy Butler,2017-11-08,5.0,3.8890452
Jimmy Butler,2017-11-15,5.0,3.8007774
Jimmy Butler,2017-11-17,4.0,3.7665362
Joel Embiid,2017-11-01,6.0,4.645847
Joel Embiid,2017-11-03,5.0,4.332559
Joel Embiid,2017-11-09,2.0,3.9536762
Joel Embiid,2017-11-11,2.0,3.282988
Joel Embiid,2017-11-13,2.0,3.196842
Joel Embiid,2017-11-15,7.0,4.3730407
John Wall,2017-11-01,6.0,8.873535
John Wall,2017-11-03,15.0,12.478341
John Wall,2017-11-07,14.0,11.716249
John Wall,2017-11-09,5.0,9.035374
John Wall,2017-11-11,5.0,6.8823743
John Wall,2017-11-13,9.0,8.036972
John Wall,2017-11-15,6.0,6.7063
John Wall,2017-11-17,8.0,7.7170553
Jusuf Nurkic,2017-11-07,0.0,1.1720822
Jusuf Nurkic,2017-11-10,1.0,2.2676919
Jusuf Nurkic,2017-11-13,1.0,2.2849336
Jusuf Nurkic,2017-11-15,5.0,2.554729
Jusuf Nurkic,2017-11-17,1.0,1.6260005
Karl-Anthony Towns,2017-10-30,1.0,0.9930758
Karl-Anthony Towns,2017-11-01,0.0,0.87396187
Karl-Anthony Towns,2017-11-04,2.0,1.5776215
Karl-Anthony Towns,2017-11-05,2.0,1.3696415
Karl-Anthony Towns,2017-11-08,1.0,1.0643476
Karl-Anthony Towns,2017-11-11,2.0,1.2992938
Karl-Anthony Towns,2017-11-13,1.0,1.390058
Karl-Anthony Towns,2017-11-15,2.0,1.5242875
Karl-Anthony Towns,2017-11-17,2.0,1.398259
Kemba Walker,2017-10-30,6.0,6.3997126
Kemba Walker,2017-11-01,3.0,6.1663294
Kemba Walker,2017-11-03,4.0,5.5519247
Kemba Walker,2017-11-05,9.0,8.929813
Kemba Walker,2017-11-10,11.0,9.982443
Kemba Walker,2017-11-15,7.0,7.9227667
Kemba Walker,2017-11-17,5.0,6.123992
Kevin Durant,2017-10-30,4.0,4.9526563
Kevin Durant,2017-11-02,5.0,5.572643
Kevin Durant,2017-11-04,7.0,6.594948
Kevin Durant,2017-11-06,6.0,5.6552024
Kevin Durant,2017-11-11,4.0,5.1653233
Kevin Durant,2017-11-13,8.0,6.0842133
Kevin Durant,2017-11-16,3.0,4.4515343
Kevin Love,2017-11-01,3.0,2.028369
Kevin Love,2017-11-03,0.0,1.144002
Kevin Love,2017-11-05,1.0,1.5077162
Kevin Love,2017-11-13,2.0,1.5940154
Khris Middleton,2017-11-11,4.0,5.9055376
Kristaps Porzingis,2017-10-30,2.0,2.0474935
Kristaps Porzingis,2017-11-01,3.0,1.9690411
Kristaps Porzingis,2017-11-03,0.0,0.9361168
