Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Brian Cardinal,33.5,DAL,Forward,567,0,9.8%,98,133.7,57,9.3%,94,0.94,41,12.9%
Rodney Carney,26.6,GSW,Forward,308,45,16.1%,25,103.6,4,4.7%,4,0.29,37,13.2%
Matt Carroll,30.2,CHA,Wing,559,47,17.1%,52,106.3,24,7.1%,19,0.41,53,11.2%
Anthony Carter,35.4,DEN,Point,138,9,15.4%,3,84.0,22,24.7%,88,1.60,0,28.3%
Anthony Carter,35.4,NYK,Point,299,16,16.0%,86,114.3,16,22.3%,74,1.40,7,21.7%
Vince Carter,33.8,ORL,Wing,663,88,24.1%,77,113.7,85,16.6%,69,0.69,63,10.6%
Vince Carter,33.8,PHX,Wing,1363,81,22.1%,36,103.2,44,9.2%,21,0.42,93,7.8%
Omri Casspi,22.4,SAC,Wing,1636,27,15.1%,37,103.9,16,6.3%,20,0.42,60,10.8%
Mario Chalmers,24.5,MIA,Point,1498,10,15.6%,71,109.9,7,16.9%,24,1.08,26,16.8%
Tyson Chandler,28.1,DAL,Big,2054,22,12.5%,100,137.8,8,2.4%,10,0.19,37,16.1%
Wilson Chandler,23.5,DEN,Wing,638,67,19.7%,31,101.6,36,8.4%,25,0.43,23,13.3%
Wilson Chandler,23.5,NYK,Forward,1750,75,19.3%,51,110.0,35,7.7%,20,0.40,90,8.8%
Josh Childress,27.4,PHX,Forward,823,24,13.7%,78,115.5,31,7.4%,55,0.54,10,16.1%
Earl Clark,22.8,ORL,Big,338,70,18.3%,24,98.4,12,2.7%,5,0.15,20,18.6%
Jarron Collins,31.9,LAC,Big,146,2,7.4%,5,85.0,1,1.1%,6,0.15,15,20.8%
Jason Collins,31.9,ATL,Big,577,6,9.1%,35,102.4,35,5.0%,77,0.55,5,24.5%
Darren Collison,23.2,IND,Point,2344,50,24.1%,66,109.2,50,28.1%,38,1.16,41,15.1%
Nick Collison,30.0,OKC,Big,1498,8,9.5%,90,120.8,57,6.5%,90,0.68,24,17.8%
Mike Conley,23.1,MEM,Point,2864,45,22.6%,48,104.0,43,27.2%,45,1.20,81,12.3%
Brian Cook,29.9,LAC,Big,407,66,18.0%,59,110.4,45,5.5%,30,0.31,73,11.6%
Daequan Cook,23.5,OKC,Wing,538,17,13.6%,96,123.8,7,5.1%,7,0.37,77,9.6%
DeMarcus Cousins,20.2,SAC,Big,2267,99,27.8%,19,96.0,97,15.1%,76,0.54,23,18.1%
Jamal Crawford,30.6,ATL,Combo,2238,55,23.7%,80,111.6,27,17.7%,20,0.75,69,12.6%
Jordan Crawford,22.0,WAS,Combo,843,80,27.5%,12,94.6,37,19.7%,18,0.72,73,12.2%
Dante Cunningham,23.5,CHA,Forward,516,39,16.0%,47,109.4,2,4.2%,2,0.26,78,10.3%
Dante Cunningham,23.5,POR,Big,1070,26,13.0%,12,90.6,27,4.4%,36,0.34,81,10.9%
Stephen Curry,22.6,GSW,Point,2478,69,25.9%,97,121.5,38,26.8%,17,1.04,33,15.4%
Samuel Dalembert,30.5,SAC,Big,1921,56,16.5%,33,101.6,41,5.3%,33,0.32,22,18.1%
Erick Dampier,35.3,MIA,Big,784,2,7.8%,87,118.7,21,3.8%,66,0.49,6,23.8%
Marquis Daniels,29.8,BOS,Wing,861,31,15.4%,56,107.6,55,10.5%,65,0.68,25,12.9%
Baron Davis,31.6,CLE,Combo,379,100,31.8%,73,110.2,98,43.4%,90,1.37,37,14.6%
Baron Davis,31.6,LAC,Point,1263,84,27.4%,28,99.1,90,37.5%,67,1.37,67,13.6%
Ed Davis,21.4,TOR,Big,1540,16,11.8%,85,117.9,23,4.1%,40,0.35,84,10.8%
Glen Davis,24.8,BOS,Big,2241,77,19.5%,26,99.1,59,6.8%,39,0.35,94,9.2%
Austin Daye,22.4,DET,Forward,1372,55,17.2%,29,104.8,53,8.6%,49,0.50,71,10.7%
DeMar DeRozan,21.2,TOR,Wing,2828,79,21.7%,50,106.3,37,8.4%,11,0.39,64,10.4%
Carlos Delfino,28.2,MIL,Wing,1584,50,17.3%,33,102.0,74,12.3%,74,0.71,75,9.8%
Luol Deng,25.5,CHI,Wing,3194,68,19.9%,66,110.3,72,12.0%,55,0.60,52,11.2%
Boris Diaw,28.5,CHA,Forward,2763,61,17.7%,57,111.1,98,20.4%,98,1.15,12,15.9%
Ike Diogu,27.1,LAC,Big,437,50,15.8%,87,118.8,0,0.0%,0,0.00,52,13.9%
DeSagana Diop,28.8,CHA,Big,170,10,10.2%,2,71.4,60,6.9%,89,0.68,2,26.7%
Keyon Dooling,30.5,MIL,Combo,1703,27,19.4%,41,102.9,47,22.8%,73,1.18,67,12.7%
Joey Dorsey,26.9,TOR,Big,482,33,14.1%,36,102.6,65,7.3%,70,0.52,7,23.8%
Toney Douglas,24.6,NYK,Combo,1935,39,20.9%,67,108.2,39,19.8%,39,0.95,94,9.6%
Chris Douglas-Roberts,23.8,MIL,Wing,831,55,17.9%,43,104.9,48,9.6%,46,0.54,54,11.2%
Zabian Dowdell,26.1,PHX,Combo,233,88,28.9%,16,95.1,92,32.6%,63,1.13,16,17.3%
Goran Dragic,24.5,HOU,Combo,344,37,20.5%,92,118.8,53,23.9%,67,1.17,63,13.2%
Goran Dragic,24.5,PHX,Combo,807,82,27.6%,22,97.9,90,31.9%,65,1.16,12,18.7%
Jared Dudley,25.3,PHX,Wing,2071,36,15.9%,88,118.6,28,7.7%,35,0.48,69,10.0%
Chris Duhon,28.2,ORL,Point,708,7,14.8%,7,88.6,24,25.3%,91,1.71,2,23.1%
Tim Duncan,34.5,SAS,Big,2149,88,22.4%,49,107.0,97,15.0%,88,0.67,74,11.5%
Mike Dunleavy,30.1,IND,Forward,1674,35,15.5%,90,119.5,65,9.6%,63,0.62,65,11.4%
Kevin Durant,22.1,OKC,Forward,3030,96,28.4%,84,118.7,88,12.8%,37,0.45,69,11.4%
Wayne Ellington,22.9,MIN,Wing,1087,45,16.9%,12,95.1,45,9.3%,50,0.55,50,11.3%
Monta Ellis,25.0,GSW,Combo,3213,90,29.1%,59,107.9,49,23.4%,31,0.80,78,12.0%
Francisco Elson,34.7,UTA,Big,562,15,11.6%,52,107.5,76,9.0%,93,0.78,9,22.2%
Melvin Ely,32.5,DEN,Big,323,5,8.9%,67,112.2,34,5.0%,79,0.56,13,21.0%
Semih Erden,24.3,BOS,Big,448,20,12.3%,95,126.7,34,5.0%,52,0.40,10,21.9%
Jeremy Evans,23.0,UTA,Forward,408,20,13.0%,96,131.4,69,10.0%,84,0.77,6,16.8%
Maurice Evans,32.0,ATL,Wing,764,7,11.6%,13,95.7,12,5.9%,42,0.51,98,6.3%
Maurice Evans,32.0,WAS,Wing,694,18,13.9%,55,106.9,1,3.5%,1,0.25,92,8.1%
Reggie Evans,30.5,TOR,Big,793,12,10.6%,17,94.3,63,7.1%,87,0.67,14,20.9%
Tyreke Evans,21.1,SAC,Wing,2101,97,27.7%,17,96.7,98,25.4%,91,0.91,20,13.8%
Christian Eyenga,21.4,CLE,Wing,908,34,15.7%,15,96.0,13,6.1%,12,0.39,19,13.8%
Jordan Farmar,23.9,BKN,Point,1768,57,24.7%,45,102.4,74,34.3%,72,1.39,50,14.3%
Derrick Favors,19.3,BKN,Big,1046,44,15.1%,44,106.1,16,3.5%,17,0.23,39,15.8%
Derrick Favors,19.3,UTA,Big,428,63,17.4%,56,109.4,60,6.8%,50,0.39,82,10.9%
Raymond Felton,26.3,DEN,Combo,632,45,21.5%,53,106.5,84,29.6%,92,1.38,53,14.0%
Raymond Felton,26.3,NYK,Point,2070,72,26.4%,60,107.1,86,36.3%,69,1.38,55,14.2%
Rudy Fernandez,25.6,POR,Combo,1771,22,19.2%,51,105.6,24,17.4%,33,0.91,76,12.0%
Kyrylo Fesenko,23.9,UTA,Big,412,35,14.2%,12,91.6,35,5.0%,41,0.35,20,18.3%
Landry Fields,22.3,NYK,Wing,2532,14,13.1%,92,119.8,38,8.6%,60,0.66,14,14.4%
Derek Fisher,36.2,LAL,Point,2293,2,13.6%,26,97.2,2,13.5%,9,0.99,98,10.2%
Jonny Flynn,21.7,MIN,Point,927,47,22.8%,10,89.3,52,28.2%,53,1.24,3,23.0%
Gary Forbes,25.7,DEN,Wing,688,60,18.5%,61,108.9,41,8.9%,34,0.48,22,13.6%
T.J. Ford,27.6,IND,Point,759,41,22.1%,12,89.5,69,30.6%,71,1.38,24,17.0%
Jeff Foster,33.8,IND,Big,938,10,10.1%,26,98.9,65,7.3%,92,0.73,71,12.0%
Randy Foye,27.1,LAC,Wing,1534,74,20.7%,45,105.2,88,18.0%,88,0.87,24,13.3%
Channing Frye,27.5,PHX,Big,2528,43,15.1%,67,112.4,45,5.5%,45,0.37,95,8.7%
Dan Gadzuric,32.7,BKN,Big,149,42,15.0%,3,83.3,4,2.0%,3,0.13,30,17.0%
Dan Gadzuric,32.7,GSW,Big,285,48,15.7%,3,83.3,51,6.0%,48,0.38,16,20.0%
Sundiata Gaines,24.5,BKN,Combo,145,65,24.9%,24,98.2,69,26.6%,53,1.07,20,16.4%
Danilo Gallinari,22.2,DEN,Forward,429,84,19.7%,86,119.3,43,8.1%,27,0.41,35,13.3%
Danilo Gallinari,22.2,NYK,Forward,1662,63,17.8%,88,119.4,29,7.2%,24,0.41,92,8.7%
Francisco Garcia,28.8,SAC,Wing,1372,35,15.8%,67,110.3,31,7.9%,40,0.50,86,8.8%
Kevin Garnett,34.5,BOS,Big,2215,83,20.5%,74,114.0,91,12.5%,84,0.61,70,12.0%
Marc Gasol,25.8,MEM,Big,2580,58,16.8%,82,116.8,88,11.7%,91,0.70,41,15.4%
Pau Gasol,30.3,LAL,Big,3018,86,21.4%,84,117.6,96,14.8%,90,0.69,91,10.1%
Rudy Gay,24.2,MEM,Wing,2145,83,23.1%,70,110.8,69,11.6%,41,0.50,32,12.3%
Alonzo Gee,23.4,CLE,Wing,936,17,13.7%,69,110.8,12,5.8%,21,0.42,17,14.0%
Alonzo Gee,23.4,WAS,Wing,120,19,14.0%,36,103.2,9,5.7%,15,0.41,5,18.4%
Paul George,20.5,IND,Forward,1189,53,17.1%,37,106.9,45,8.3%,43,0.48,27,14.0%
Daniel Gibson,24.7,CLE,Combo,1810,31,20.1%,65,108.1,31,18.3%,35,0.91,92,10.0%
Taj Gibson,25.4,CHI,Big,1696,46,15.5%,30,100.4,38,5.2%,35,0.34,72,11.8%
Manu Ginobili,33.3,SAS,Wing,2413,94,27.0%,88,118.4,97,24.8%,92,0.92,36,12.1%
Ryan Gomes,28.2,LAC,Forward,2087,8,12.2%,14,101.1,47,8.4%,78,0.69,86,9.5%
Drew Gooden,29.1,MIL,Big,857,90,23.1%,22,98.0,84,10.8%,65,0.47,85,10.7%
Ben Gordon,27.6,DET,Combo,2068,41,21.0%,82,111.8,12,13.2%,12,0.63,43,14.4%
Eric Gordon,21.9,LAC,Wing,2106,92,26.1%,79,114.4,89,19.7%,81,0.76,37,12.0%
Marcin Gortat,26.7,ORL,Big,368,19,12.3%,70,113.3,65,7.3%,83,0.59,21,18.2%
Marcin Gortat,26.7,PHX,Big,1615,53,16.2%,88,119.4,43,5.4%,35,0.33,84,10.8%
Joey Graham,28.4,CLE,Forward,526,37,15.9%,27,104.5,8,5.4%,16,0.34,61,11.6%
Stephen Graham,28.4,BKN,Wing,898,8,11.7%,8,92.2,18,6.5%,49,0.55,11,15.4%
Danny Granger,27.5,IND,Wing,2752,91,26.1%,71,111.1,75,12.7%,37,0.49,31,12.6%
Aaron Gray,25.9,NOP,Big,503,19,12.2%,61,110.7,26,4.3%,41,0.35,8,23.7%
Jeff Green,24.2,BOS,Forward,593,71,19.0%,53,110.4,20,6.1%,10,0.32,84,9.7%
Jeff Green,24.2,OKC,Forward,1811,65,18.1%,39,107.5,39,7.9%,35,0.44,73,10.5%
Willie Green,29.3,NOP,Wing,1640,64,19.2%,39,104.1,32,8.1%,22,0.42,69,10.0%
Donte Greene,22.7,SAC,Wing,1077,48,17.1%,17,96.2,19,6.5%,8,0.38,21,13.7%
Blake Griffin,21.6,LAC,Big,3101,98,26.2%,58,110.1,99,18.4%,91,0.70,68,12.3%
Hamed Haddadi,25.5,MEM,Big,124,72,18.8%,64,111.5,29,4.4%,19,0.24,45,14.7%
Richard Hamilton,32.7,DET,Combo,1485,71,25.0%,47,105.0,41,19.9%,27,0.79,90,10.8%
Tyler Hansbrough,25.0,IND,Big,1462,84,20.6%,41,105.0,30,4.5%,16,0.22,88,10.4%
Luke Harangody,22.8,BOS,Big,172,30,13.7%,13,92.0,49,5.6%,55,0.41,90,10.1%
Luke Harangody,22.8,CLE,Big,391,58,16.6%,9,89.4,73,8.7%,71,0.52,99,6.5%
James Harden,21.2,OKC,Wing,2098,66,19.5%,93,121.6,79,13.6%,69,0.70,49,11.5%
Al Harrington,30.7,DEN,Big,1610,85,21.2%,42,105.6,78,9.3%,59,0.44,55,13.6%
Devin Harris,27.7,BKN,Combo,1720,92,29.3%,69,109.3,94,41.6%,96,1.42,33,14.7%
Devin Harris,27.7,UTA,Combo,528,78,27.3%,84,112.2,63,25.7%,37,0.94,24,15.4%
Manny Harris,21.1,CLE,Combo,838,20,19.2%,20,97.3,16,14.4%,22,0.75,31,14.8%
Udonis Haslem,30.4,MIA,Big,307,23,12.6%,70,113.3,10,2.7%,14,0.21,31,16.8%
Spencer Hawes,22.5,PHI,Big,1710,67,18.0%,20,97.0,85,11.2%,84,0.62,48,14.5%
Chuck Hayes,27.4,HOU,Big,2070,31,13.8%,63,111.1,95,14.1%,99,1.02,55,13.6%
Gordon Hayward,20.6,UTA,Wing,1130,24,14.6%,85,117.3,58,10.7%,78,0.73,6,17.5%
Lazar Hayward,23.9,MIN,Wing,338,49,17.2%,2,83.5,63,10.8%,56,0.63,50,11.4%
Brendan Haywood,30.9,DAL,Big,1284,13,11.0%,52,107.8,5,2.1%,11,0.19,35,16.1%
Luther Head,27.9,SAC,Combo,579,8,17.9%,71,109.4,35,19.6%,59,1.09,55,13.5%
Gerald Henderson,22.9,CHA,Combo,1636,16,19.1%,37,101.7,2,10.4%,2,0.55,98,8.8%
Xavier Henry,19.6,MEM,Wing,507,39,16.2%,7,89.7,7,5.5%,6,0.34,95,7.3%
Roy Hibbert,23.9,IND,Big,2237,91,23.2%,33,101.6,90,12.4%,74,0.53,40,15.7%
JJ Hickson,22.2,CLE,Big,2206,91,23.7%,31,101.2,69,7.7%,33,0.33,48,14.4%
Nene Hilario,28.1,DEN,Big,2286,66,17.8%,99,132.6,83,10.4%,81,0.59,43,15.1%
George Hill,24.5,SAS,Combo,2103,12,18.7%,96,119.8,14,14.3%,24,0.76,84,11.5%
Grant Hill,38.1,PHX,Forward,2404,76,19.4%,65,112.8,84,12.6%,67,0.65,47,12.8%
Jordan Hill,23.3,HOU,Big,1045,54,16.2%,43,105.7,28,4.4%,23,0.27,45,14.8%
Kirk Hinrich,29.8,ATL,Point,684,21,17.5%,62,108.4,10,19.1%,26,1.09,38,15.3%
Kirk Hinrich,29.8,WAS,Combo,1465,18,19.2%,86,112.3,51,23.5%,82,1.23,57,13.5%
Jrue Holiday,20.4,PHI,Combo,2863,57,23.7%,49,105.5,76,28.4%,78,1.20,39,14.5%
Ryan Hollins,26.1,CLE,Big,1121,24,12.8%,96,127.9,16,3.4%,22,0.27,13,20.9%
Al Horford,24.4,ATL,Big,2698,74,19.2%,83,117.5,98,16.9%,97,0.88,81,11.0%
Eddie House,32.5,MIA,Combo,866,2,15.3%,57,106.8,0,9.1%,10,0.59,100,7.5%
Dwight Howard,24.9,ORL,Big,2924,97,25.7%,91,122.2,58,6.7%,21,0.26,29,17.1%
Josh Howard,30.5,WAS,Wing,395,71,20.3%,3,85.6,47,9.5%,31,0.47,61,10.8%
Juwan Howard,37.7,MIA,Big,500,15,11.6%,23,98.1,53,6.2%,76,0.54,21,18.2%
Kris Humphries,25.7,BKN,Big,2048,51,15.9%,62,110.8,62,6.9%,60,0.44,47,14.6%
Serge Ibaka,21.1,OKC,Big,2183,29,13.6%,79,115.9,3,1.7%,2,0.12,85,10.7%
Andre Iguodala,26.8,PHI,Wing,2459,77,21.5%,49,106.0,99,26.1%,98,1.21,39,12.0%
Zydrunas Ilgauskas,35.4,MIA,Big,1125,33,14.1%,44,106.1,15,3.2%,16,0.23,44,15.0%
Ersan Ilyasova,23.5,MIL,Big,1492,60,17.1%,38,103.1,55,6.3%,47,0.37,76,11.4%
Jarrett Jack,27.0,NOP,Combo,1281,67,24.9%,33,100.6,57,24.3%,45,0.97,88,11.1%
Jarrett Jack,27.0,TOR,Point,338,60,25.1%,38,100.7,36,26.7%,21,1.06,17,17.7%
Darnell Jackson,25.0,SAC,Big,430,45,15.3%,31,101.3,48,5.6%,45,0.37,66,12.5%
Stephen Jackson,32.6,CHA,Wing,2399,95,27.1%,42,104.8,88,18.5%,67,0.68,12,15.1%
Damion James,23.1,BKN,Wing,372,26,14.7%,9,93.2,31,7.8%,45,0.53,4,18.5%
LeBron James,25.8,MIA,Forward,3053,100,33.5%,92,119.8,100,34.2%,96,1.02,45,12.9%
Antawn Jamison,34.4,CLE,Forward,1820,90,23.0%,22,102.9,55,9.1%,22,0.40,96,8.2%
Othyus Jeffers,25.2,WAS,Wing,290,12,12.8%,74,112.0,40,8.8%,68,0.69,30,12.6%
Al Jefferson,25.8,UTA,Big,2933,88,22.3%,46,106.2,75,9.0%,52,0.40,97,7.3%
Richard Jefferson,30.4,SAS,Forward,2440,27,14.1%,94,121.2,22,6.4%,39,0.45,53,12.4%
Jared Jeffries,28.9,NYK,Big,456,3,8.0%,3,81.0,58,6.6%,96,0.82,17,19.9%
Brandon Jennings,21.1,MIL,Point,2165,76,26.5%,36,100.1,33,26.1%,7,0.98,90,11.7%
Pooh Jeter,26.9,SAC,Point,780,24,18.4%,21,93.4,53,28.7%,84,1.56,69,13.6%
Amir Johnson,23.5,TOR,Big,1842,36,14.3%,92,122.6,56,6.4%,62,0.45,72,11.9%
Armon Johnson,21.7,POR,Combo,243,63,24.9%,27,98.8,86,29.6%,76,1.19,2,25.6%
James Johnson,23.7,TOR,Wing,688,58,18.1%,40,104.6,83,16.0%,89,0.88,8,16.4%
Joe Johnson,29.3,ATL,Wing,2549,96,27.3%,40,104.3,93,23.0%,87,0.84,68,10.1%
Wesley Johnson,23.3,MIN,Wing,2039,38,16.2%,26,99.9,57,10.7%,60,0.66,40,11.9%
Dahntay Jones,29.8,IND,Wing,538,80,22.0%,80,114.5,59,10.7%,36,0.49,60,10.8%
