Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Al Jefferson,32.8,IND,Big,457,78,20.8%,38,112.5,61,9.9%,39,0.48,85,9.5%
Richard Jefferson,37.4,DEN,Forward,126,4,9.3%,12,95.5,82,11.4%,98,1.23,96,7.5%
Brandon Jennings,28.1,MIL,Combo,189,66,22.3%,13,95.6,93,31.7%,91,1.42,20,15.3%
Jonas Jerebko,30.7,UTA,Big,1044,28,13.9%,54,115.9,12,5.3%,17,0.38,98,6.9%
Amir Johnson,30.5,PHI,Big,1141,20,13.4%,42,113.5,84,13.7%,94,1.02,35,14.9%
Dakari Johnson,22.1,OKC,Big,122,17,12.9%,32,110.8,4,3.9%,8,0.31,93,8.3%
James Johnson,30.7,MIA,Big,1926,75,20.5%,55,116.0,96,22.0%,97,1.08,25,16.0%
Joe Johnson,36.3,HOU,Forward,471,29,14.2%,18,96.9,76,10.3%,86,0.73,65,10.2%
Joe Johnson,36.3,UTA,Big,690,59,17.7%,6,97.9,68,10.4%,64,0.59,65,11.5%
Stanley Johnson,21.4,DET,Wing,1836,48,16.4%,14,95.7,45,8.7%,35,0.53,51,11.1%
Tyler Johnson,25.5,MIA,Combo,1984,29,18.0%,71,110.4,14,12.2%,11,0.68,91,9.9%
Wesley Johnson,30.3,LAC,Wing,1453,14,12.2%,27,101.3,10,5.6%,22,0.46,26,13.3%
Nikola Jokic,22.7,DEN,Big,2418,94,25.5%,73,121.3,99,28.6%,98,1.12,35,14.8%
Jalen Jones,24.4,DAL,Big,152,75,20.5%,4,94.1,5,4.0%,1,0.20,82,9.9%
Tyus Jones,21.5,MIN,Point,1419,5,15.2%,79,117.0,21,21.7%,84,1.43,67,12.1%
Derrick Jones Jr.,20.7,MIA,Wing,190,10,11.6%,7,87.0,4,3.6%,8,0.31,43,11.7%
DeAndre Jordan,29.3,LAC,Big,2403,30,14.1%,92,129.1,38,7.4%,50,0.52,17,17.5%
Cory Joseph,26.2,IND,Combo,2138,14,16.2%,32,100.8,32,16.2%,55,1.01,73,11.2%
Frank Kaminsky,24.6,CHA,Big,1743,70,19.8%,23,108.1,74,11.3%,61,0.57,94,8.2%
Enes Kanter,25.5,NYK,Big,1800,73,20.3%,85,126.0,55,9.2%,35,0.45,42,14.0%
Luke Kennard,21.4,DET,Wing,1358,50,16.9%,63,111.5,70,12.3%,79,0.73,38,12.3%
Michael Kidd-Gilchrist,24.1,CHA,Wing,1833,33,14.8%,44,107.3,11,5.7%,11,0.39,81,8.5%
Sean Kilpatrick,27.8,CHI,Wing,196,91,26.2%,64,111.7,67,11.5%,19,0.44,79,8.7%
Sean Kilpatrick,27.8,BKN,Wing,168,87,23.8%,9,89.9,78,14.7%,59,0.62,5,16.7%
Sean Kilpatrick,27.8,MIL,Wing,182,72,20.8%,26,101.3,60,10.6%,33,0.51,81,8.5%
Maxi Kleber,25.8,DAL,Big,1139,12,12.2%,52,115.3,26,6.6%,55,0.54,91,8.7%
Luke Kornet,22.3,NYK,Big,300,61,18.4%,17,106.7,77,12.0%,76,0.65,83,9.7%
Kyle Korver,36.6,CLE,Wing,1498,26,13.7%,99,132.5,28,7.7%,40,0.56,52,11.0%
Kosta Koufos,28.7,SAC,Big,1341,35,14.5%,39,113.2,64,10.0%,80,0.69,73,10.9%
Kyle Kuzma,22.3,LAL,Forward,2364,78,21.0%,61,110.3,57,9.1%,29,0.43,35,12.0%
Zach LaVine,22.6,CHI,Wing,644,96,30.5%,24,100.5,89,18.8%,59,0.62,72,9.5%
Skal Labissiere,21.6,SAC,Big,1151,72,20.1%,10,101.5,49,8.5%,25,0.42,46,13.6%
Jeremy Lamb,25.4,CHA,Wing,1915,80,22.4%,67,113.0,80,15.4%,71,0.69,76,9.2%
Shane Larkin,25.1,BOS,Combo,733,27,17.4%,21,97.8,52,20.7%,79,1.19,89,10.0%
Joffrey Lauvergne,26.1,SAS,Big,466,67,19.1%,12,103.8,71,11.0%,61,0.57,53,12.9%
Caris LeVert,23.2,BKN,Combo,1817,73,24.3%,45,104.0,79,26.1%,63,1.08,25,14.5%
TJ Leaf,20.5,IND,Big,375,13,12.5%,45,114.3,1,2.7%,1,0.21,92,8.4%
Courtney Lee,32.1,NYK,Wing,2277,50,16.6%,75,113.9,66,11.3%,70,0.68,71,9.6%
Damion Lee,25.0,ATL,Wing,398,58,17.7%,21,100.0,62,11.1%,61,0.63,84,7.9%
Alex Len,24.4,PHX,Big,1336,46,15.7%,69,120.1,57,9.3%,65,0.59,32,15.2%
Kawhi Leonard,26.3,SAS,Wing,207,100,32.5%,80,115.0,90,19.1%,51,0.59,53,10.8%
Meyers Leonard,25.7,POR,Big,221,23,13.6%,96,131.9,76,11.7%,88,0.86,62,11.7%
Jon Leuer,28.5,DET,Big,136,37,14.7%,12,102.4,10,5.1%,12,0.35,30,15.6%
DeAndre Liggins,29.6,MIL,Wing,446,0,8.0%,1,77.0,27,7.7%,93,0.96,27,13.2%
DeAndre Liggins,29.6,NOP,Wing,199,1,8.4%,100,134.5,43,8.7%,95,1.03,8,16.2%
Damian Lillard,27.3,POR,Point,2668,93,32.4%,85,120.4,70,30.2%,31,0.93,85,10.3%
Shaun Livingston,32.1,GSW,Combo,1107,30,18.0%,66,109.7,36,16.6%,45,0.92,54,13.0%
Kevon Looney,21.7,GSW,Big,811,7,11.5%,60,117.3,18,6.1%,53,0.53,62,11.7%
Brook Lopez,29.6,LAL,Big,1720,85,21.9%,36,112.3,73,11.3%,47,0.51,72,11.0%
